UniqueID,Plot,Plot2,Major_taxa,Order,Species,Mass_g,Mortality_per_yr,Longevity_yr,Temperature_C,Trophic,Group,Family,Genus,Reference,Notes_source,Lifespan_measure,Notes_measure,Common name
1,1,2,Mammal,Afrosoricida,Echinops telfairi,180,0.131578947,7.6,34.85,Carnivore,Eutherian,Tenrecidae,Echinops,AnAge Data,HAGRID: 1542; Refs: 3;614;843;445;554;260;000;000;000;000;000;000;000,captivity,captivity; medium sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Lesser hedgehog tenrec
2,1,2,Mammal,Afrosoricida,Echinops telfairi,1.80E+02,2.632,0.37993921,38,Carnivore,Eutherian,Tenrecidae,Echinops,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
3,1,2,Mammal,Afrosoricida,Hemicentetes semispinosus,180,0.925925926,1.08,35.15,Carnivore,Eutherian,Tenrecidae,Hemicentetes,AnAge Data,HAGRID: 1544; Refs: 36;420;434;436;455;500;000;000;000;000,captivity,captivity; small sample size; questionable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Streaked tenrec
4,1,2,Mammal,Afrosoricida,Hemicentetes semispinosus,1.12E+02,1.02,0.980392157,38,Carnivore,Eutherian,Tenrecidae,Hemicentetes,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
5,1,2,Mammal,Afrosoricida,Microgale dobsoni,37.8,0.446428571,2.24,31.05,Carnivore,Eutherian,Tenrecidae,Microgale,AnAge Data,HAGRID: 1545; Refs: 36;420;434;455;610;600;000,captivity,captivity; small sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Dobson's shrew tenrec
6,1,2,Mammal,Afrosoricida,Microgale dobsoni,3.90E+01,0.467,2.141327623,38,Carnivore,Eutherian,Tenrecidae,Microgale,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
7,1,2,Mammal,Afrosoricida,Microgale talazaci,50,0.431034483,2.32,30.95,Carnivore,Eutherian,Tenrecidae,Microgale,AnAge Data,HAGRID: 1546; Refs: 36;420;434;455;731,captivity,captivity; small sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Talazac's shrew tenrec
8,1,2,Mammal,Afrosoricida,Microgale talazaci,5.00E+01,0.45,2.222222222,38,Carnivore,Eutherian,Tenrecidae,Microgale,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
9,1,9,Mammal,Afrosoricida,Setifer setosus,225,0.177304965,5.64,32.35,Omnivore,Eutherian,Tenrecidae,Setifer,AnAge Data,HAGRID: 1547; Refs: 364;204;344;556;106;000;000;000;000;000,captivity,captivity; medium sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Greater hedgehog tenrec
10,1,2,Mammal,Afrosoricida,Tenrec ecaudatus,900,0.287356322,3.48,33.15,Carnivore,Eutherian,Tenrecidae,Tenrec,AnAge Data,HAGRID: 1548; Refs: 36;420;434;436;455;500;000;000;000;000;000,captivity,captivity; small sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Tenrec
11,1,1,Mammal,Artiodactyla,Addax nasomaculatus,92500,0.089285714,11.2,,Herbivore,Eutherian,Bovidae,Addax,AnAge Data,HAGRID: 1550; Refs: 434;455;538;610;671;000,captivity,captivity; large sample size; high quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Addax
12,1,1,Mammal,Artiodactyla,Aepyceros melampus,52500,0.09765625,10.24,,Herbivore,Eutherian,Bovidae,Aepyceros,AnAge Data,HAGRID: 1551; Refs: 4;344;556;106;716;760;000;000;000;000,captivity,captivity; large sample size; high quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Impala
13,1,1,Mammal,Artiodactyla,Aepyceros melampus,5.25E+04,0.196,5.102040816,38,Herbivore,Eutherian,,Aepyceros,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
14,1,1,Mammal,Artiodactyla,Aepyceros melampus,5.25E+04,0.169,5.917159763,38,Herbivore,Eutherian,,Aepyceros,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
15,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,159000,0.111111111,9,,Herbivore,Eutherian,Bovidae,Alcelaphus,AnAge Data,HAGRID: 1552; Refs: 455;671,captivity,captivity; medium sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Hartebeest
16,1,1,Mammal,Artiodactyla,Alcelaphus buselaphus,1.71E+05,0.127,7.874015748,38,Herbivore,Eutherian,,Alcelaphus,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
17,1,1,Mammal,Artiodactyla,Alces alces,3.59E+05,0.159,6.289308176,38,Herbivore,Eutherian,,Alces,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
18,1,1,Mammal,Artiodactyla,Alces alces,3.59E+05,0.093,10.75268817,38,Herbivore,Eutherian,,Alces,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
19,1,1,Mammal,Artiodactyla,Ammotragus lervia,92500,0.115207373,8.68,,Herbivore,Eutherian,Bovidae,Ammotragus,AnAge Data,HAGRID: 1554; Refs: 434;455;610;671;677;000;000,captivity,captivity; large sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Aoudad
20,1,1,Mammal,Artiodactyla,Ammotragus lervia,8.38E+04,0.256,3.90625,38,Herbivore,Eutherian,,Ammotragus,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
21,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,39000,0.126262626,7.92,39.55,Herbivore,Eutherian,Bovidae,Antidorcas,AnAge Data,HAGRID: 1555; Refs: 4;344;484;555;426;710;000;000,captivity,captivity; large sample size; high quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Springbok
22,1,1,Mammal,Artiodactyla,Antidorcas marsupialis,3.90E+04,0.127,7.874015748,38,Herbivore,Eutherian,,Antidorcas,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
23,1,1,Mammal,Artiodactyla,Antilocapra americana,46100,0.161290323,6.2,38.15,Herbivore,Eutherian,Antilocapridae,Antilocapra,AnAge Data,HAGRID: 1549; Refs: 3;642;043;444;145;550;000;000;000;000;000;000;000;000;000;000,captivity,captivity; medium sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Pronghorn
24,1,1,Mammal,Artiodactyla,Antilocapra americana,4.61E+04,0.256,3.90625,38,Herbivore,Eutherian,,Antilocapra,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
25,1,1,Mammal,Artiodactyla,Antilocapra americana,4.61E+04,0.256,3.90625,38,Herbivore,Eutherian,,Antilocapra,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
26,1,1,Mammal,Artiodactyla,Antilope cervicapra,37500,0.10460251,9.56,,Herbivore,Eutherian,Bovidae,Antilope,AnAge Data,HAGRID: 1556; Refs: 434;455;610;671;951,captivity,captivity; large sample size; high quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Blackbuck
27,1,1,Mammal,Artiodactyla,Antilope cervicapra,3.70E+04,0.169,5.917159763,38,Herbivore,Eutherian,,Antilope,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
28,1,1,Mammal,Artiodactyla,Antilope cervicapra,3.70E+04,0.141,7.092198582,38,Herbivore,Eutherian,,Antilope,Carey 2000; Smith 2003; in McCoy Gillooly 2008,McCoy Gillooly 2008,,,
29,1,1,Mammal,Artiodactyla,Axis axis,36000,0.120192308,8.32,39.35,Herbivore,Eutherian,Cervidae,Axis,AnAge Data,HAGRID: 1666; Refs: 455;671;951;996,captivity,captivity; large sample size; high quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Chital
30,1,1,Mammal,Artiodactyla,Axis calamianensis,40500,0.145348837,6.88,,Herbivore,Eutherian,Cervidae,Axis,AnAge Data,HAGRID: 1667; Refs: 671;730;978,captivity,captivity; medium sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Calamian deer
31,1,1,Mammal,Artiodactyla,Axis kuhlii,55000,0.140449438,7.12,,Herbivore,Eutherian,Cervidae,Axis,AnAge Data,HAGRID: 1668; Refs: 671;730;978,captivity,captivity; small sample size; acceptable quality; Reported lifespan divided by 2.5 to estimate average lifespan in the wild to align with McCoy Gillooly 2008,Bawean deer
