Unique_ID,Worksheet,Notes,Reference_code,Reference,
1,Density,Algae,Li 2002,"Li, W. K. W. 2002. Macroecological patterns of phytoplankton in the northwestern North Atlantic Ocean. Nature 419:154–157.",
2,Density,Bacteria,Bratbak Dundas 1984,"Bratbak, G., and I. A. N. Dundas. 1984. Bacterial dry matter content and biomass estimations. Applied and environmental microbiology 48:755–757.",
3,Density,Birds,Beauchamp 1987,"Beauchamp, A.J. 1987. The social structure of the Weka (Gallirallus australis) at Double Cove, Marlboruogh Sounds. Notornis 34: 317-325. ",
4,Density,Birds,Best Powlesland 1985,"Best, H. and Powlesland, R. 1985. Kakapo. New Zealand Wildlife Service, Dunedin. ",
5,Density,Birds,Blake 1977,"Blake, E.R. 1977. Manual of Neotropical birds. Vol. 1. Univ. of Chicago Press, Chicago. ",
6,Density,Birds,Brothers Skira 1984,"Brothers, N. P. and Skira, I. J. 1984. The Weka on Macquarie Island. Notornis 31: 145-154. ",
7,Density,Birds,Brown 1982,"Brown, L. H., Urban, E. K. and Newman, K. 1982. The birds of Africa. Vol. 1. Academic Press, London. ",
8,Density,Birds,Cajal 1988,"Cajal, J. L. 1988. The lesser rhea in the Argentine Puna Region: Present situation. Biol. Conserv. 45: 81-91.",
9,Density,Birds,Campbell Lack 1985,"Campbell, B. and Lack, E. (eds) 1985. A dictionary of birds. T & AD Poyser, Calton.",
10,Density,Birds,Colbourne Kleinpaste 1983,"Colbourne, R. and Kleinpaste, R. 1983. A banding study of North Island brown kiwis in an exotic forest. Notornis 30: 109-124. ",
11,Density,Birds,Colbourne Kleinpaste 1984,"Colbourne, R. and Kleinpaste, R. 1984. North Island brown kiwi vocalisations and their use in censusing populations. Notornis 31: 191-201",
12,Density,Birds,Crome 1976,"Crome, F. H. J. 1976. Some observations on the biology of the cassowary in Northern Qeensland. Emu 76: 8-14. ",
13,Density,Birds,Ebenman 1995,"Ebenman, B., A. Hendenström, U. Wennergren, B. Ekstam, J. Landin, and T. Tyrberg. 1995. The relationship between population density and body size: the role of extinction and mobility. Oikos:225–230.",
14,Density,Birds,Johnsgard 1978,"Johnsgard, P.A. 1978. Ducks, geese and swans of the world. Lincoln.",
15,Density,Birds,Juanes 1986,"Juanes, F. 1986. Population density and body size in birds. The American Naturalist 128:921–929.",
16,Density,Birds,Livezey 1989,"Livezey, B. C. 1989. Flightlessness in grebes (Aves, Podicipedidae): its independent evolution in three genera. Evolution 43: 29-54. ",
17,Density,Birds,Marchant Higgins 1990,"Marchant, S. and Higgins, P. (eds) 1990. Handbook of Australian, New Zealand and Antarctic birds. Vol. 1. Oxford Univ. Press, Oxford.",
18,Density,Birds,Penny Diamond 1971,"Penny, M. J. and Diamond, A. W. 1971. The white-throated rail Dryolimnas cuvieri in Aldabra. Philos. Trans. R. Soc. Lond. B 260: 529-548. ",
19,Density,Birds,Recher Clark 1974,"Recher, H. F. and Clark, S. S. 1974. A biological survey of Lord Howe Island with recommendations for the conservation of the island's wildlife. Biol. Conserv. 6: 263-273. ",
20,Density,Birds,Reid Stack 1974,"Reid, B. and Stack, D. J. 1974. An assessment of the numbers of Takahe in the 'Special area' of the Murchison mountains during the years 1963-1967. Notornis 21: 296-305. ",
21,Density,Birds,Ripley 1977,"Ripley, S.D. 1977. Rails of the world. David R. Godin, Boston. ",
22,Density,Birds,Weller 1975,"Weller, M. W. 1975. Ecological studies of the Auckland island flightless teal. Auk 92: 280-297. ",
23,Density,Damuth Ref: 1,Abaturov 1973,"Abaturov, B. D. & Seredneva, T. A. 1973. The role of the little suslik in the formation of biological production in semiarid land. Soviet Journal of Ecology, 4: 515-518.",
24,Density,Damuth Ref: 2,Abrahamson 1970,"Abrahamson, S. A. A. & Goldman, C. R. 1970. Distribution, density and production of the crayfish Pacifosticus leniusculur Dana in Lake Tahoe, California-Nevada. Oikos, 21: 83-91.",
25,Density,Damuth Ref: 3,Adamczyk 1968,"Adamczyk, K. & Ryszkowski, L., 1968. Estimation of the density of a rodent population using stained bait. Acta Theriologica, 13: 295-311.",
26,Density,Damuth Ref: 4,Adamovitch 1973,"Adamovitch, V. L. & Vatolin, B. A. 1973. Distribution of elk in the Bryansk region and damage to forests by it. Soviet Journal of Ecology, 4: 426-430.",
27,Density,Damuth Ref: 5,Adams 1959,"Adams, L. 1959. An analysis of a population of snowshoe hares in northwestern Montana. Ecological Monographs, 29: 141-170.",
