"scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"Abies bracteata","Pinaceae","Abies bracteata (D. Don) D. Don ex Poit.","Pinaceae","Abies bracteata","(D. Don) D. Don ex Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) D. Don ex Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,37.750869,-119.51983,2001-10-03,"FIA","U.S. Forest Inventory and Analysis (FIA) National Program","Greg Reams",NA,NA,31,"plot"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N",NA,NA,36.08,-121.5,1903-08-13,"GBIF","K","K","K","Herbarium",4513,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N",NA,NA,36.05,-121.47,NA,"GBIF","K","K","K","Herbarium",4513,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.050895,-121.496978,2020-06-14,"GBIF","iNaturalist","iNaturalist","iNaturalist","Observations",3007,"human observation"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.288439,-121.581494,1972-03-20,"GBIF","OBI","OBI","OBI",NA,4679,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.10947,-121.56133,1903-08-13,"GBIF","SD","SD","SD",NA,4760,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.374736,-121.68729,1969-06-15,"GBIF","UCSB","UCSB","UCSB",NA,4856,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.029664,-121.486886,1980-11-09,"GBIF","OBI","OBI","OBI",NA,4679,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.05489,-121.49361,1982-05-15,"GBIF","UCR","UCR","UCR",NA,4853,"specimen"
"Abies bracteata","Pinaceae","Abies bracteata (D.Don) Poit.","Pinaceae","Abies bracteata","(D. Don) Poit.","gymnosperms (conifers)","Accepted","Pinaceae","(D. Don) Poit.","N","Native to region, as per checklist","usda",0,"N","N",NA,36.31187,-121.56827,1964-06-30,"GBIF","UCSC","UCSC","UCSC",NA,4857,"specimen"
