"scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385049917,-113.034845237,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.360574363,-113.073655478,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.380776641,-113.051105397,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.360574363,-113.073655478,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385049917,-113.034845237,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.360574363,-113.073655478,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385049917,-113.034845237,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.360574363,-113.073655478,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.390116176,-113.04104769,1999-07-28,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.380776641,-113.051105397,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.390116176,-113.04104769,1999-07-28,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385049917,-113.034845237,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.360574363,-113.073655478,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.360574363,-113.073655478,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.37335647,-113.060095254,2000-07-05,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Populus tremuloides","Salicaceae","Populus tremuloides Michx.","Salicaceae","Populus tremuloides","Michx.","flowering plants","Accepted","Salicaceae","Michx.","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.360574363,-113.073655478,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
