species,mapped_total,plot_survey,gbif_aggregator,inaturalist,human_observation,specimen,other,pct_plot_survey,pct_gbif_aggregator,pct_inaturalist,pct_human_observation,pct_specimen,pct_other
Acer negundo,1931,1256,34,536,0,105,0,65.04401864319006,1.7607457276022787,27.757638529259452,0,5.4375970999482135,0
Quercus alba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Picea glauca,448,338,0,24,67,19,0,75.44642857142857,0,5.357142857142857,14.955357142857142,4.241071428571429,0
Pinus ponderosa,1860,1710,0,133,0,17,0,91.93548387096774,0,7.150537634408602,0,0.9139784946236559,0
Tsuga heterophylla,453,415,0,14,21,3,0,91.61147902869757,0,3.0905077262693155,4.635761589403973,0.6622516556291391,0
Eschscholzia californica,2372,0,0,2040,2,330,0,0,0,86.00337268128162,0.08431703204047218,13.91231028667791,0
Lupinus arboreus,1557,0,190,1088,0,279,0,0,12.202954399486192,69.87797045600514,0,17.91907514450867,0
Ambrosia artemisiifolia,486,5,9,78,337,57,0,1.02880658436214,1.8518518518518519,16.049382716049383,69.34156378600824,11.728395061728396,0
Taraxacum officinale,466,0,35,78,346,7,0,0,7.510729613733906,16.738197424892704,74.2489270386266,1.502145922746781,0
Trifolium repens,488,1,38,12,429,8,0,0.20491803278688525,7.786885245901639,2.459016393442623,87.90983606557377,1.639344262295082,0
Poa pratensis,497,6,34,0,433,24,0,1.2072434607645874,6.841046277665996,0,87.12273641851107,4.82897384305835,0
Carnegiea gigantea,0,0,0,0,0,0,0,0,0,0,0,0,0
Opuntia ficus-indica,0,0,0,0,0,0,0,0,0,0,0,0,0
Larrea tridentata,499,30,0,434,0,35,0,6.012024048096192,0,86.97394789579158,0,7.014028056112225,0
Sequoia sempervirens,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium corymbosum,464,125,73,88,21,157,0,26.939655172413794,15.732758620689655,18.96551724137931,4.525862068965517,33.83620689655172,0
Prunus serotina,493,349,1,10,125,8,0,70.79107505070994,0.2028397565922921,2.028397565922921,25.35496957403651,1.6227180527383367,0
Betula papyrifera,2008,1839,1,117,0,51,0,91.58366533864542,0.049800796812749,5.826693227091633,0,2.539840637450199,0
Abies concolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arabidopsis thaliana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Welwitschia mirabilis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rafflesia arnoldii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
