"scrubbed_species_binomial","verbatim_family","verbatim_scientific_name","family_matched","name_matched","name_matched_author","higher_plant_group","scrubbed_taxonomic_status","scrubbed_family","scrubbed_author","native_status","native_status_reason","native_status_sources","is_introduced","native_status_country","native_status_state_province","native_status_county_parish","latitude","longitude","date_collected","datasource","dataset","dataowner","custodial_institution_codes","collection_code","datasource_id","observation_type"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.378796051,-113.020604638,1999-08-26,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.351440059,-113.085720475,1999-07-23,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.727103711,-114.234129762,2001-08-21,"VegBank","Glacier National Park","Marion Reid",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.351440059,-113.085720475,1999-07-23,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.386423402,-113.005607076,1999-08-12,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.385236975,-113.036544438,1999-07-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.454137543,-113.192684621,1999-07-30,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,48.684376144,-114.159941506,2001-08-13,"VegBank","Glacier National Park","Steve Cooper",NA,NA,91,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.361174875,-113.107001793,1999-08-11,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
"Pinus ponderosa","Pinaceae","Pinus ponderosa P.& C. Lawson","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)","Accepted","Pinaceae","P. Lawson & C. Lawson","N","Native to region, as per checklist","powo, usda",0,"N","N",NA,37.281484941,-112.95207288,2000-05-22,"VegBank","Zion National Park","Marion Reid",NA,NA,23,"plot"
