"scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","source_citation","project_pi","verbatim_family","verbatim_scientific_name","name_submitted","family_matched","name_matched","name_matched_author","higher_plant_group","tnrs_warning","matched_taxonomic_status","scrubbed_taxonomic_status","scrubbed_family","scrubbed_genus","scrubbed_specific_epithet","scrubbed_taxon_name_no_author","scrubbed_taxon_canonical","scrubbed_author","scrubbed_taxon_name_with_author","scrubbed_species_binomial_with_morphospecies","access","id"
"Pinus ponderosa","whole plant height","69.1896","m","Maximum height",NA,NA,NA,"http://www.americanforests.org/resources/bigtrees/register.php",NA,NA,NA,"Pinus ponderosa var. ponderosa","Pinus ponderosa var. ponderosa","Pinaceae","Pinus ponderosa var. ponderosa",NA,"gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. ponderosa","Pinus ponderosa ponderosa",NA,"Pinus ponderosa var. ponderosa","Pinus ponderosa var. ponderosa","public",3103903
"Pinus ponderosa","plant flowering begin","5","month","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3107706
"Pinus ponderosa","plant flowering begin","6","month","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3114259
"Pinus ponderosa","plant flowering begin","6/5/1929","date","first-flowering time",NA,NA,NA,NA,"Travers, S.E., Dunnell, K.L. 2009. First-flowering dates of plants in the Northern Great Plains. Ecology 90:2332.","Steven Travers","steven.travers@ndsu.edu","Pinus scopulorum","Pinaceae Pinus scopulorum","Pinaceae","Pinus scopulorum","(Engelm.) Lemmon","gymnosperms (conifers)",NA,"Synonym","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa var. scopulorum","Pinus ponderosa scopulorum","Engelm.","Pinus ponderosa var. scopulorum Engelm.","Pinus ponderosa var. scopulorum","public",3119736
"Pinus ponderosa","seed mass","60","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3132376
"Pinus ponderosa","seed mass","37.04","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3133897
"Pinus ponderosa","seed mass","38.5","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3133928
"Pinus ponderosa","seed mass","37.88","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3133923
"Pinus ponderosa","seed mass","33.3","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3133924
"Pinus ponderosa","seed mass","38","mg","data compilation; average of 1000 seeds",NA,NA,NA,"http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H. 2008. Seed Information Database (release 7.1, May 2008) http://www.kew.org/data/sid ","Liu, K., Eastwood, R.J., Flynn, S., Turner, R.M., and Stuppy, W.H.","sid@kew.org ","Pinus ponderosa","Pinus ponderosa","Pinaceae","Pinus ponderosa","P. Lawson & C. Lawson","gymnosperms (conifers)",NA,"Accepted","Accepted","Pinaceae","Pinus","ponderosa","Pinus ponderosa","Pinus ponderosa","P. Lawson & C. Lawson","Pinus ponderosa P. Lawson & C. Lawson","Pinus ponderosa","public",3133929
