"standardized_trait_name","aliases","expected_unit_class","value_type","standard_unit","trait_class","notes","value_min","value_max","range_source","range_citation_quality","range_reference_doi_url"
"leaf_area","leaf area;leaf_area;lamina area;leafarea;individual leaf area (cm2);individual leaf area","area","numeric","mm2","leaf_economics","Individual leaf or lamina area measurements.",1,3e+06,"Poorter et al. 2009 Funct Ecol 23:1188-1201. DOI:10.1111/j.1365-2435.2009.01559.x; Díaz et al. 2016 Nature 529:167-171. DOI:10.1038/nature16489. Upper ~3e6 mm2 = Victoria amazonica (~2.8 m2).","high","https://doi.org/10.1111/j.1365-2435.2009.01559.x"
"specific_leaf_area","specific leaf area;sla;specific_leaf_area;specific leaf area (cm2/g);sla (cm2/g)","ratio","numeric","mm2_per_mg","leaf_economics","Leaf area per unit dry mass. Source units vary widely.",0.5,500,"Wright et al. 2004 Nature 428:821-827. DOI:10.1038/nature02403 (GLOPNET); Kattge et al. 2020 Glob Change Biol 26:119-188. DOI:10.1111/gcb.14904 (TRY). CAM ~0.5; fast herbs ~300-500.","high","https://doi.org/10.1038/nature02403"
"leaf_dry_matter_content","leaf dry matter content;ldmc;leaf_dry_matter_content;leaf dry matter content (g/g)","ratio","numeric","mg_per_g","leaf_economics","Dry mass / saturated fresh mass. Physical upper bound <1000 mg/g.",10,990,"Pérez-Harguindeguy et al. 2013 Aust J Bot 61:167-234. DOI:10.1071/BT12225.","high","https://doi.org/10.1071/BT12225"
"leaf_n","leaf n;leaf nitrogen;leaf_nitrogen;nitrogen concentration;foliar n;foliar nitrogen","concentration","numeric","mg_per_g","leaf_economics","Leaf nitrogen per unit dry mass; check basis carefully.",0.5,60,"Wright et al. 2004 Nature 428:821-827. DOI:10.1038/nature02403; Reich & Oleksyn 2004 PNAS 101:11001-11006. DOI:10.1073/pnas.0403588101; Kattge et al. 2020 TRY. Most plants 10-40 mg/g; N-fixers up to ~60.","moderate","https://doi.org/10.1038/nature02403"
"leaf_p","leaf p;leaf phosphorus;leaf_phosphorus;phosphorus concentration;foliar p;foliar phosphorus","concentration","numeric","mg_per_g","leaf_economics","Leaf phosphorus per unit dry mass.",0.05,10,"Reich & Oleksyn 2004 PNAS 101:11001-11006. DOI:10.1073/pnas.0403588101; Kattge et al. 2020 TRY. Typical 0.5-5 mg/g; extreme upper ~10.","moderate","https://doi.org/10.1073/pnas.0403588101"
"leaf_carbon","leaf c;leaf carbon;leaf_carbon;foliar carbon;foliar c;carbon concentration","concentration","numeric","mg_per_g","leaf_economics","Leaf carbon per unit dry mass; often measured alongside N and P.",350,600,"Elser et al. 2000 Nature 408:578-580. DOI:10.1038/35046141; Kattge et al. 2020 TRY. Most plant tissue 40-55% C by mass = 400-550 mg/g.","provisional",""
"leaf_cn_ratio","leaf cn ratio;leaf_cn_ratio;cn ratio;c:n;c n ratio","ratio","numeric","dimensionless","leaf_economics","Leaf carbon to nitrogen ratio; dimensionless; relates to decomposition rate.",5,200,"Reich & Oleksyn 2004 PNAS 101:11001-11006. DOI:10.1073/pnas.0403588101. Fast-growing herbs ~5-10; sclerophylls and conifers up to ~200.","provisional",""
"leaf_chlorophyll","leaf chlorophyll;leaf_chlorophyll;chlorophyll content;chl;chlorophyll a b","concentration","numeric","ug_per_cm2","leaf_economics","Leaf chlorophyll content per unit area; links to remote sensing reflectance.",1,100,"Asner et al. 2009 Glob Ecol Biogeogr 18:745-756. DOI:10.1111/j.1466-8238.2009.00474.x. Shade leaves ~60-100; sun leaves ~20-50 ug/cm2.","provisional",""
"leaf_lifespan","leaf lifespan;leaf_lifespan;leaf longevity;leaf life span","time","numeric","months","leaf_economics","Mean leaf lifespan in months; links SLA to decomposition rate.",1,48,"Reich et al. 1997 PNAS 94:13730-13734. DOI:10.1073/pnas.94.25.13730. Deciduous ~1-8 months; evergreen needles up to ~48 months.","provisional",""
"leaf_water_content","leaf water content;leaf_water_content;leaf rwc;relative water content;fresh weight dry weight ratio","ratio","numeric","g_per_g","leaf_economics","Leaf water content relative to dry mass; drought tolerance indicator.",0.5,30,"Nolan et al. 2020 Nat Ecol Evol 4:270-279. DOI:10.1038/s41559-019-1060-4. Succulents up to ~30 g/g; sclerophylls ~0.5-2 g/g.","provisional",""
