"source_provider","provider_dataset_id","query_term","title","authors","abstract","source_subjects","field_of_science","storage_size","candidate_score","candidate_keep","candidate_rationale","doi","paper_url","data_links","fetch_page"
"scientific_data","10.1038/s41597-023-02270-4","""leaf dry matter content"" plant","Chromosome-level assemblies of cultivated water chestnut Trapa bicornis and its wild relative Trapa incisa","Minghao Qu; Xiangrong Fan; Chenlu Hao; Yi Zheng; Sumin Guo; Sen Wang; Wei Li; Yanqin Xu; Lei Gao; Yuanyuan Chen","<jats:title>Abstract</jats:title><jats:p>Water chestnut (<jats:italic>Trapa</jats:italic> L.) is a floating-leaved aquatic plant with high edible and medicinal value. In this study, we presented chromosome-level genome assemblies of cultivated large-seed species <jats:italic>Trapa bicornis</jats:italic> and its wild small-seed relative <jats:italic>Trapa incisa</jats:italic> by using PacBio HiFi long reads and Hi-C technology. The <jats:italic>T. bicornis</jats:italic> and <jats:italic>T. incisa</jats:italic> assemblies consisted of 479.90 Mb and 463.97 Mb contigs with N50 values of 13.52 Mb and 13.77 Mb, respectively, and repeat contents of 62.88% and 62.49%, respectively. A total of 33,306 and 33,315 protein-coding genes were predicted in <jats:italic>T. bicornis</jats:italic> and <jats:italic>T. incisa</jats:italic> assemblies, respectively. There were 159,232 structural variants affecting more than 11 thousand genes detected between the two genomes. The phylogenetic analysis indicated that the lineage leading to <jats:italic>Trapa</jats:italic> was diverged from the lineage to <jats:italic>Sonneratia</jats:italic> approximately 23 million years ago. These two assemblies provide valuable resources for future evolutionary and functional genomic research and molecular breeding of water chestnut.</jats:p>",,,,13,TRUE,"plant_hits=3; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/s41597-023-02270-4","https://doi.org/10.1038/s41597-023-02270-4",,1
"scientific_data","10.1038/s41597-022-01810-8","plant* trait*","A database of seed plants on taxonomy, geography and ecology in the Qinling-Daba Mountains and adjacent areas","Xinghang Zhang; Baiping Zhang; Jiayu Li; Yonghui Yao; Jing Wang; Junjie Liu; Fuqin Yu","<jats:title>Abstract</jats:title><jats:p>The Qinling-Daba Mountains span subtropical and warm temperate zones and are one of the most remarkable biodiversity hotspots in China. Establishing a complete checklist of seed plants organized by nature reserves in the Qinling-Daba Mountains and adjacent areas is an important basis for managing and utilizing plant resources. First, we collected seed plant species data from published checklists representing 58 nature reserves in the Qinling-Daba Mountains and adjacent areas; second, we comprehensively and systematically sorted and integrated these data; third, we proofread and revised the data with the help of the R language and <jats:italic>Flora of China dataset</jats:italic>; and finally, we set up a seed plant database containing 96148 records, including the name, order, family, genus, life form, and endemism of each species for the entirety of the Qinling-Daba Mountains. The database contains 9491 species of seed plants belonging to 1729 genera, 211 families, and 59 orders, accounting for 39% of China’s seed plants.</jats:p>",,,,12,FALSE,"plant_hits=4; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/s41597-022-01810-8","https://doi.org/10.1038/s41597-022-01810-8","10.6084/m9.figshare.17919548",1
"scientific_data","10.1038/s41597-026-07181-8","plant* trait*","A long-term ecosystem monitoring dataset from the ICP Integrated Monitoring network: biogeochemical data from 1977–2020 across 14 European countries","James Weldon; Wenche Aas; Barbara Albiniak; Algirdas Augustaitis; Ieva Baužienė; Camilla Capelli; Nicholas Clarke; Thomas Cummins; Heleen A. de Wit; Thomas Dirnböck; Ika Djukic; Karin Eklöf; Martin Forsius; Martyn Futter; Ulf Grandin; Sergei Gromov; Adéla Holubová Šmejkalová; Ricardo Ibañez; Iveta Indriksone; Sara Jutterström; Johannes Kobler; Heidi Koger; Angelika Kölbl; Andrzej Kostrzewski; Anna Koukhta; Pavel Krám; Robert Kruszyk; Esther Lasheras; Kairi Lõhmus; Mikołaj Majewski; Ulla Makkonen; Hampus Markensten; Rafael Miranda; Michael Mirtl; Filip Moldan; Giancarlo Papitto; Johannes Peterseil; Ainis Pivoras; Thomas Plha; Gisela Pröll; Pernilla Rönnback; Carolina Santamaría; Jesús Miguel Santamaría; Krzysztof Skotak; David Elustondo; Mercedes Valerio; Sarah Venier; Lieke E. Vlaar; Liisa Ukonmaanaho; Jussi Vuorenmaa; Nicole Wellbrock","<jats:title>Abstract</jats:title>
                  <jats:p>The International Cooperative Programme on Integrated Monitoring of Air Pollution Effects on Ecosystems (ICP IM) presents a comprehensive long-term dataset of ongoing integrated ecosystem monitoring from European forested catchments. The dataset encompasses measurements from 46 monitoring stations across 14 European countries, with temporal coverage mostly extending from the early 1990s to 2020 (48 sites are currently active). The integrated monitoring approach applies over 20 monitoring subprogrammes to simultaneously measure physical, chemical, and biological properties across multiple ecosystem compartments including atmosphere, precipitation, throughfall, soil water, groundwater, runoff water, soil, vegetation, and biota. All measurements follow standardised protocols detailed in the ICP IM Manual, ensuring data quality and comparability across sites and time periods. The dataset supports research on ecosystem responses to air pollution, climate change impacts, and biogeochemical cycling. Data are available under a Creative Commons By Attribution (CC BY) licence, providing valuable long-term environmental monitoring data for the scientific community.</jats:p>",,,,11,FALSE,"plant_hits=3; trait_hits=0; measurement_hits=1; exclude_hits=0","10.1038/s41597-026-07181-8","https://doi.org/10.1038/s41597-026-07181-8",,1
"scientific_data","10.1038/s41597-025-05226-y","""leaf dry matter content"" plant","The first high-quality chromosome-level genome of Parupeneus biaculeatus using HiFi and Hi-C data","Zhisen Luo; Murong Yi; Xiaodong Yang; Zihao Luo; Xiafang Li; Changping Jiang; Bin Kang; Liangliang Huang; Hung-Du Lin; Xiongbo He; Yunrong Yan","<jats:title>Abstract</jats:title>
          <jats:p>
            <jats:italic>Parupeneus biaculeatus</jats:italic>, also known as pointed goatfish, belongs to the family Mullidae and is distinguished by its unique hyoid barbels containing sensory organs and a specialized foraging strategy, setting it apart from other fish species and making it an ideal model for studying biological adaptations and evolutionary processes. In this study, we present a high-quality chromosome-level genome assembly for <jats:italic>P</jats:italic>. <jats:italic>biaculeatus</jats:italic> using HiFi long reads and Hi-C data. The assembled genome has a total length of 657.58 Mb with a contig N50 of 9.35 Mb, organized into 22 chromosomes covering 99.34% of the genome. A total of 22,490 protein-coding genes were predicted, of which 98.37% were functionally annotated. Repeat analysis revealed that 34.83% of the genome consists of repetitive sequences. The genome assembly achieved an estimated completeness of 99.30% according to BUSCO analysis. This genomic resource provides new opportunities for understanding the biological traits, adaptive mechanisms, and evolutionary history of <jats:italic>P</jats:italic>. <jats:italic>biaculeatus</jats:italic>, and lays a foundation for further genomic studies within the family Mullidae.</jats:p>",,,,10,TRUE,"plant_hits=1; trait_hits=3; measurement_hits=0; exclude_hits=1","10.1038/s41597-025-05226-y","https://doi.org/10.1038/s41597-025-05226-y",,1
"scientific_data","10.1038/sdata.2017.16","plant* trait*","The French Muséum national d’histoire naturelle vascular plant herbarium collection dataset","Gwenaël Le Bras; Marc Pignal; Marc L. Jeanson; Serge Muller; Cécile Aupic; Benoît Carré; Grégoire Flament; Myriam Gaudeul; Claudia Gonçalves; Vanessa R. Invernón; Florian Jabbour; Elodie Lerat; Porter P. Lowry; Bérangère Offroy; Eva Pérez Pimparé; Odile Poncy; Germinal Rouhan; Thomas Haevermans","<jats:title>Abstract</jats:title><jats:p>We provide a quantitative description of the French national herbarium vascular plants collection dataset. Held at the <jats:italic>Muséum national d’histoire naturelle</jats:italic>, Paris, it currently comprises records for 5,400,000 specimens, representing 90% of the estimated total of specimens. Ninety nine percent of the specimen entries are linked to one or more images and 16% have field-collecting information available. This major botanical collection represents the results of over three centuries of exploration and study. The sources of the collection are global, with a strong representation for France, including overseas territories, and former French colonies. The compilation of this dataset was made possible through numerous national and international projects, the most important of which was linked to the renovation of the herbarium building. The vascular plant collection is actively expanding today, hence the continuous growth exhibited by the dataset, which can be fully accessed through the GBIF portal or the MNHN database portal (available at: <jats:ext-link xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""uri"" xlink:href=""https://science.mnhn.fr/institution/mnhn/collection/p/item/search/form"">https://science.mnhn.fr/institution/mnhn/collection/p/item/search/form</jats:ext-link>). This dataset is a major source of data for systematics, global plants macroecological studies or conservation assessments.</jats:p>",,,,9,FALSE,"plant_hits=3; trait_hits=0; measurement_hits=0; exclude_hits=0","10.1038/sdata.2017.16","https://doi.org/10.1038/sdata.2017.16",,1
"scientific_data","10.1038/s41597-025-05138-x","plant* trait*","A dataset of scientific dates from archaeological sites in eastern Africa spanning 5000 BCE to 1800 CE","Victor Iminjili; Alison Crowther; Michael T. Fisher; Andrea Kay; Patrick Roberts; Steve Goldstein; Nicole Boivin; Ricardo Fernandes","<jats:title>Abstract</jats:title>
          <jats:p>Large collections of archaeological spatiotemporal data can reveal past cultural and demographic trends, land use strategies, and processes of environmental adaptation. Within Africa, archaeological Big Data can contribute to the study of the spread of agriculture, domesticated species, and specific artefacts and technologies, as well as their ecological impacts. Although reviews addressing these topics are available for different parts of the continent, existing mid-late Holocene archaeology datasets have yet to be compiled into a central, open-access, standardized informatic-oriented dataset. Here we present <jats:italic>Wanyika</jats:italic>, a dataset of scientific dates from archaeological sites in eastern Africa spanning almost 7 millennia, from ~5000 BCE to 1800 CE. This dataset compiles published scientific dates and associated botanical, faunal, iron, and ceramic finds from sites in Kenya, Tanzania, the Comoros Islands, and Madagascar. The records also include data for megafauna extinctions in Madagascar. We describe the spatiotemporal coverage of the dataset, how the data were collected, the structure of the dataset, and the applied quality control measures.</jats:p>",,,,7,TRUE,"plant_hits=1; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-05138-x","https://doi.org/10.1038/s41597-025-05138-x",,1
"scientific_data","10.1038/sdata.2016.54","plant* trait*","High-throughput ab-initio dilute solute diffusion database","Henry Wu; Tam Mayeshiba; Dane Morgan","<jats:title>Abstract</jats:title><jats:p>We demonstrate automated generation of diffusion databases from high-throughput density functional theory (DFT) calculations. A total of more than 230 dilute solute diffusion systems in Mg, Al, Cu, Ni, Pd, and Pt host lattices have been determined using multi-frequency diffusion models. We apply a correction method for solute diffusion in alloys using experimental and simulated values of host self-diffusivity. We find good agreement with experimental solute diffusion data, obtaining a weighted activation barrier RMS error of 0.176 eV when excluding magnetic solutes in non-magnetic alloys. The compiled database is the largest collection of consistently calculated <jats:italic>ab-initio</jats:italic> solute diffusion data in the world.</jats:p>",,,,7,TRUE,"plant_hits=1; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/sdata.2016.54","https://doi.org/10.1038/sdata.2016.54","10.6084/m9.figshare.1546772",1
"scientific_data","10.1038/s41597-024-03130-5","""leaf dry matter content"" plant","Dataset on the effects of psychological care on depression and suicide ideation in underrepresented children","Xuerong Liu; Wei Li; Jie Gong; Qianyu Zhang; Xiaobing Tian; Ji-Dong Ren; Lei Xia; Yanyan Li; Yu Zhan; Jing-Xuan Zhang; Hu Chuan-Peng; Ji Chen; Zhengzhi Feng; Yue-Guang Liu; Xian-Yong An; Xiang Yuan; Yi Zhang; Jian Yang; Wan-Xia Li; Yao Peng; Yu-Jia Liao; Si-Yu Cheng; Lu Liu; Hong-Jiang Yu; Tian-Tian Liu; Li-Jun Liang; Meng-Zhu Cheng; Xi Zhao; Xiang-Yu Deng; Hui-Lei Xu; Xue-Hua Li; Yi-Han Wen; Jun Lei; Xiao He; Hong-Ying Liu; Lei Zhang; Zhen-Mi Liu; Xiandong Meng; Xia Jiang; Yuan-Yuan Li; Jiajun Xu; Zhiyi Chen","<jats:title>Abstract</jats:title><jats:p>Massive increases in the risks of depressive disorders and the ensuing suicide have become the overarching menace for children/adolescents. Despite global consensus to instigate psychological healthcare policy for these children/adolescents, their effects remain largely unclear neither from a small amount of official data nor from small-scale scientific studies. More importantly, in underprivileged children/adolescents in lower-middle-economic-status countries/areas, the data collection may not be as equally accessible as in developed countries/areas, thus resulting in underrepresented observations. To address these challenges, we released a large-scale and multi-center cohort dataset (n = 249,772) showing the effects of primary psychological healthcare on decreasing depression and suicidal ideation in these children/adolescents who were underrepresented in previous studies or current healthcare systems, including unattended children/adolescents, orphans, children/adolescents in especially difficult circumstances, and “left-behind” and “single-parenting” children/adolescents. We provided all individual data recording the depressive symptoms and suicide ideation that had been collected at baseline (Oct 2022) and half-year follow-up (May 2023) from practicing this psychological healthcare system.</jats:p>",,,,5,FALSE,"plant_hits=1; trait_hits=0; measurement_hits=1; exclude_hits=0","10.1038/s41597-024-03130-5","https://doi.org/10.1038/s41597-024-03130-5",,1
"scientific_data","10.1038/s41597-025-05521-8","""leaf dry matter content"" plant","A Field-Level Asset Mapping Dataset for England’s Agricultural Sector","Hassan Aftab Sheikh; Alok Singh; Neetu Kushwaha; Christophe Christiaen; Nataliya Tkachenko; Juan Sabuco; Ben Caldecott","<jats:title>Abstract</jats:title>
          <jats:p>Agriculture sector is a major contributor to greenhouse gas emissions, yet the lack of asset-level farm data, including ownership, land use, and production, hinders effective transition finance and decarbonisation efforts. To address this gap, we developed an open-source farm-level dataset using natural language processing (NLP) and unsupervised learning, mapping farm names to spatial polygons to fill ownership and entity gaps. In England, this approach identified 117,116 farming entities with essential attributes such as addresses, land areas, crop types, production output, and geospatial coordinates. Such emerging datasets are also critical for financial instruments supporting sustainable agriculture, enabling verification of carbon credits, enhance sustainability-linked loans and improve risk assessment for climate finance.</jats:p>",,,,4,FALSE,"plant_hits=0; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/s41597-025-05521-8","https://doi.org/10.1038/s41597-025-05521-8",,1
"scientific_data","10.1038/s41597-019-0058-x","plant* trait*","Geometric description of self-interaction potential in symmetric protein complexes","Charly Empereur-Mot; Hector Garcia-Seisdedos; Nadav Elad; Sucharita Dey; Emmanuel D. Levy","<jats:title>Abstract</jats:title><jats:p>Proteins can self-associate with copies of themselves to form symmetric complexes called homomers. Homomers are widespread in all kingdoms of life and allow for unique geometric and functional properties, as reflected in viral capsids or allostery. Once a protein forms a homomer, however, its internal symmetry can compound the effect of point mutations and trigger uncontrolled self-assembly into high-order structures. We identified mutation hot spots for supramolecular assembly, which are predictable by geometry. Here, we present a dataset of descriptors that characterize these hot spot positions both geometrically and chemically, as well as computer scripts allowing the calculation and visualization of these properties for homomers of choice. Since the biological relevance of homomers is not readily available from their X-ray crystallographic structure, we also provide reliability estimates obtained by methods we recently developed. These data have implications in the study of disease-causing mutations, protein evolution and can be exploited in the design of biomaterials.</jats:p>",,,,4,FALSE,"plant_hits=0; trait_hits=1; measurement_hits=0; exclude_hits=0","10.1038/s41597-019-0058-x","https://doi.org/10.1038/s41597-019-0058-x","10.6084/m9.figshare.6586958",1
