"dryad_dataset_doi","dryad_version_id","dryad_file_id","file_path","file_size","mime_type","file_status","download_href","candidate_score","candidate_keep","query_term","source_title","source_authors","source_subjects","source_abstract","file_supported_tabular","file_supported_container"
"doi:10.5061/dryad.h9w0vt4fn",64263,298252,"Kleinschmidt_FuncEcol_2020_Table_S1.csv",3728,"application/vnd.ms-excel","copied","/api/v2/files/298252/download",72,TRUE,"""leaf dry matter content"" plant; ""leaf nitrogen"" plant; ""wood density"" plant","Successional habitat filtering of rainforest trees is explained by potential growth more than by functional traits","Peter Hietz; Svenja Kleinschmidt","reforestation; Specific leaf area; successional habitat; Tropical wet forest; Wood density; leaf nitrogen; leaf dry matter content; theoretical hydraulic conductivity","Species along successional gradients differ in functional traits, which may function as environmental filters and also explain differences in growth rates. Alternatively, species might be filtered by growth rates and these are explained by differences in other traits. We explored the relationships between leaf and wood traits, growth and successional habitat, and asked if growth is related to habitat because both are driven by a similar set of traits or if growth is the main trait explaining habitat and relationships with other traits are indirect. Tropical trees are often classified as second-growth (SG) or old-growth (OG) specialists, and generalists. Since succession is a continuous process and lumping species into three groups may not do justice to gradual differences, we tested if a continuous variable based on relative tree abundance in OG and SG forests might be a better predictor than classifying trees’ habitat preferences into categories. We measured height growth of 47 trees species planted in a reforestation trial in Costa Rica and evaluated size-standardized potential growth during the first years when there was little shading among trees. Growth and habitat were related to wood density (WD), theoretical hydraulic conductivity (Kh), specific leaf area (SLA), leaf dry matter content (LDMC) and leaf nitrogen content (N). Potential growth rates and Kh were significantly correlated with habitat measured on a continuous scale, while growth and LDMC differed among the three groups of habitat specialization. Growth was also correlated with WD and Kh. Habitat specialization was correlated with the first principal component of the functional traits space. However, structural equation models suggest that the relationship with leaf and wood traits is mostly indirect and potential growth is the most important trait directly related to environmental filtering along a successional gradient. In our dataset, classifiying the successional status of species using the proportion of records from OG forests explains traits about as well as a classification into three groups, but provides more information about the species’ position along the successional gradient.",TRUE,FALSE
"doi:10.5061/dryad.mg54p",25116,88630,"Data_kusumoto_et_al_JPE.xlsx",2518816,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","created","/api/v2/files/88630/download",70,TRUE,"""leaf carbon"" plant","Data from: Functional response of plant communities to clearcutting: management impacts differ between forest vegetation zones","Buntarou Kusumoto; Takayuki Shiono; Mai Miyoshi; Ryo Maeshiro; Shin-jiro Fujii; Timo Kuuluvainen; Yasuhiro Kubota","seed plants; Functional Divergence; the present day; phytosociological data","1. Understanding of the ecological impacts of logging practices on biodiversity and associated ecosystem processes is essential for developing sustainable forest management approaches. We documented the impacts of clearcutting on the functional structure of tree and herbaceous communities in hemiboreal, cool-temperate, warm-temperate and subtropical forests in the Japanese archipelago and identified forest vegetation that is vulnerable to deterioration of important ecosystem functions. 2. We combined species data for leaf, stem, flower and fruit traits related to productivity, nutrient cycling and habitat quality for wildlife with phytosociological vegetation data from unmanaged and previously-clearcut forests, then calculated functional structure indices (community mean of trait values, functional richness and functional divergence) of plant communities. 3 .For tree species, functional structure indices of specific leaf area (SLA), leaf carbon and nitrogen concentrations, maximum height, wood density and flower size differed between unmanaged and clearcut forests, while for herb species, only maximum height differed between the two forest types. 4. Functional structure indices showed divergent patterns across forest vegetation zones. In hemiboreal, cool-temperate and warm-temperate forests, the community means of SLA and leaf nitrogen concentration were greater and that of leaf carbon concentration was smaller in clearcut than in unmanaged forests. Although clearcut forests had greater species richness than unmanaged forests, functional richness and/or functional divergence of maximum height were smaller in clearcut forests. In hemiboreal and cool-temperate forests, functional richness and functional divergence of SLA were also smaller in clearcut forests. In contrast, subtropical forests showed no differences in species richness and functional structures between unmanaged and clearcut forests. 5. Synthesis and applications. Functional redundancy of plant communities differs among traits and among forest vegetation zones. After intensive logging, hemiboreal, cool-temperate and warm-temperate forests were more vulnerable to the loss of ecosystem functions related to leaf and stem traits of tree species than were subtropical forests, which appeared relatively resilient. Locally adaptive management to maintain multiple ecosystem functions should be developed based on the degree of functional complementarity among plant species in forest communities.",FALSE,FALSE
"doi:10.5061/dryad.6m905qg4v",263375,2267982,"Dryad-adaptive_plasticity_towards_N_and_P.xlsx",115944,"application/vnd.openxmlformats-officedocument.spreadsheetml.sheet","copied","/api/v2/files/2267982/download",68,TRUE,"plant* trait*","Plant trait responses to variation in N and P availability","Vanessa Minden; Koen Verhoeven; Harry olde Venterink","Biological sciences; adaptation; trait plasticity; Plant functional traits; Plant invasions; endangered plant species; nutrient limitation; phenotypic plasticity; specific leaf area (SLA); leaf area; SPAD; Nature and Landscape Conservation; Ecology; Ecology, Evolution, Behavior and Systematics","Global change drivers such as eutrophication and plant invasions will create novel environments for many plant species. Through adaptive trait plasticity plants may maintain their performance under these novel conditions and may outcompete those showing low adaptive trait plasticity. In a greenhouse study, we determined if plasticity in traits is adaptive or maladaptive in endangered, non-endangered and invasive plant species in response to variation of nitrogen (N) and phosphorus (P) availability (N:P ratios 1.7, 15 and 135) and whether plastic trait responses are adaptive and/or costly for fitness (i.e. biomass). Species choice comprised 17 species from three functional groups (legumes, non-legume forbs and grasses), either classified as endangered, non-endangered or invasive. After two months plants were harvested and nine traits related to carbon assimilation and nutrient uptake were measured (leaf area, SLA, LDMC, SPAD, RMR, root length, SRL, root surface area and PME activity). We found more traits responding plastically to variation in P than in N. Plasticity only created costs when P was varied. Plasticity in traits was mostly adaptively neutral towards fitness, with plasticity in three traits being similarly adaptive across all species groups: SPAD (as a measure of chlorophyll content, adaptive to N and P limitation), leaf area and root surface area (adaptive to P limitation). We found little differences in trait plasticity between endangered, non-endangered and invasive species. Synthesis . Along a gradient from N limitation, balanced N:P supply and P limitation we found that the type of fluctuating nutrient (i.e. if N or P is varied) is decisive for the adaptive value of a trait. Variation in P availability (from balanced supply to P limitation) created both a stronger reduction in fitness as well as created plasticity costs in more traits than variation in N availability (from balanced supply to N limitation). However, the patterns observed in our study may change if nutrient availability is altered, either by nutrient inputs or by a shift in nutrient availabilities, e.g. by decreasing N input as foreseen by European Legislation, but without simultaneously decreasing P input.",FALSE,FALSE
"doi:10.5061/dryad.6m905qg4v",263375,2267983,"README.md",3556,"","copied","/api/v2/files/2267983/download",68,TRUE,"plant* trait*","Plant trait responses to variation in N and P availability","Vanessa Minden; Koen Verhoeven; Harry olde Venterink","Biological sciences; adaptation; trait plasticity; Plant functional traits; Plant invasions; endangered plant species; nutrient limitation; phenotypic plasticity; specific leaf area (SLA); leaf area; SPAD; Nature and Landscape Conservation; Ecology; Ecology, Evolution, Behavior and Systematics","Global change drivers such as eutrophication and plant invasions will create novel environments for many plant species. Through adaptive trait plasticity plants may maintain their performance under these novel conditions and may outcompete those showing low adaptive trait plasticity. In a greenhouse study, we determined if plasticity in traits is adaptive or maladaptive in endangered, non-endangered and invasive plant species in response to variation of nitrogen (N) and phosphorus (P) availability (N:P ratios 1.7, 15 and 135) and whether plastic trait responses are adaptive and/or costly for fitness (i.e. biomass). Species choice comprised 17 species from three functional groups (legumes, non-legume forbs and grasses), either classified as endangered, non-endangered or invasive. After two months plants were harvested and nine traits related to carbon assimilation and nutrient uptake were measured (leaf area, SLA, LDMC, SPAD, RMR, root length, SRL, root surface area and PME activity). We found more traits responding plastically to variation in P than in N. Plasticity only created costs when P was varied. Plasticity in traits was mostly adaptively neutral towards fitness, with plasticity in three traits being similarly adaptive across all species groups: SPAD (as a measure of chlorophyll content, adaptive to N and P limitation), leaf area and root surface area (adaptive to P limitation). We found little differences in trait plasticity between endangered, non-endangered and invasive species. Synthesis . Along a gradient from N limitation, balanced N:P supply and P limitation we found that the type of fluctuating nutrient (i.e. if N or P is varied) is decisive for the adaptive value of a trait. Variation in P availability (from balanced supply to P limitation) created both a stronger reduction in fitness as well as created plasticity costs in more traits than variation in N availability (from balanced supply to N limitation). However, the patterns observed in our study may change if nutrient availability is altered, either by nutrient inputs or by a shift in nutrient availabilities, e.g. by decreasing N input as foreseen by European Legislation, but without simultaneously decreasing P input.",FALSE,FALSE
"doi:10.5061/dryad.jsxksn0f8",216765,2054197,"biomass_polytunnel.csv",1101,"text/csv","copied","/api/v2/files/2054197/download",65,TRUE,"""stomatal conductance"" plant; ""turgor loss point"" plant","Coordination of hydraulic and morphological traits across dominant grasses in eastern Australia","Robert Griffin-Nolan; Jeff Chieppa; Alan Knapp; Uffe Nielsen; David Tissue","Biological sciences; plant traits; leaf hydraulics; stomatal conductance; Drought; turgor loss point; grass","1. Leaf hydraulic traits characterize plant drought tolerance and responses to climate change. Yet, plant hydraulics are biased towards northern hemisphere woody species. We collected rhizomes of several perennial grass species along a precipitation gradient in eastern Australia and grew them in an experimental garden to investigate potential tradeoffs between drought tolerance and plant morphology. 2. We measured the following leaf hydraulic traits: the leaf water potential (Ψleaf) at 50% and 88% loss of leaf hydraulic conductance (P50Kleaf and P88Kleaf), the Ψleaf at 50% loss of stomatal conductance (P50gs), leaf turgor loss point (TLP), leaf dry matter content (LDMC), leaf modulus of elasticity (ε), and the slope of the relationship between predawn and midday Ψleaf. We also measured basal area, tiller density, seed head density, root collar diameter, plant height, and aboveground biomass of each individual. 3. As expected, grass species varied widely in leaf-level drought tolerance, with loss of 88% hydraulic conductance occurring at a Ψleaf ranging from -1.52 to -4.01 MPa. However, all but one species lost leaf turgor, and most reached P50gs before this critical threshold. Taller more productive grass species tended to have drought vulnerable leaves characterized by low LDMC and less negative P88Kleaf. Species with greater tiller production experienced stomatal closure and lost turgor at more negative Ψleaf. Although our sample size was limited, we found no relationships between these species’ traits and their climate of origin. 4. Overall, we identified important hydraulic and morphological tradeoffs in Australian grasses that were surprisingly similar to those observed for woody plants: (1) xylem of taller species was less drought tolerant and (2) turgor loss occurs and stomatal closure begins before significant loss of Kleaf. These data build upon a small yet growing field of grass hydraulics and may be informative of species responses to further drought intensification in Australia.",TRUE,FALSE
"doi:10.5061/dryad.jsxksn0f8",216765,2054198,"growth_traits_polytunnel.csv",2978,"text/csv","copied","/api/v2/files/2054198/download",65,TRUE,"""stomatal conductance"" plant; ""turgor loss point"" plant","Coordination of hydraulic and morphological traits across dominant grasses in eastern Australia","Robert Griffin-Nolan; Jeff Chieppa; Alan Knapp; Uffe Nielsen; David Tissue","Biological sciences; plant traits; leaf hydraulics; stomatal conductance; Drought; turgor loss point; grass","1. Leaf hydraulic traits characterize plant drought tolerance and responses to climate change. Yet, plant hydraulics are biased towards northern hemisphere woody species. We collected rhizomes of several perennial grass species along a precipitation gradient in eastern Australia and grew them in an experimental garden to investigate potential tradeoffs between drought tolerance and plant morphology. 2. We measured the following leaf hydraulic traits: the leaf water potential (Ψleaf) at 50% and 88% loss of leaf hydraulic conductance (P50Kleaf and P88Kleaf), the Ψleaf at 50% loss of stomatal conductance (P50gs), leaf turgor loss point (TLP), leaf dry matter content (LDMC), leaf modulus of elasticity (ε), and the slope of the relationship between predawn and midday Ψleaf. We also measured basal area, tiller density, seed head density, root collar diameter, plant height, and aboveground biomass of each individual. 3. As expected, grass species varied widely in leaf-level drought tolerance, with loss of 88% hydraulic conductance occurring at a Ψleaf ranging from -1.52 to -4.01 MPa. However, all but one species lost leaf turgor, and most reached P50gs before this critical threshold. Taller more productive grass species tended to have drought vulnerable leaves characterized by low LDMC and less negative P88Kleaf. Species with greater tiller production experienced stomatal closure and lost turgor at more negative Ψleaf. Although our sample size was limited, we found no relationships between these species’ traits and their climate of origin. 4. Overall, we identified important hydraulic and morphological tradeoffs in Australian grasses that were surprisingly similar to those observed for woody plants: (1) xylem of taller species was less drought tolerant and (2) turgor loss occurs and stomatal closure begins before significant loss of Kleaf. These data build upon a small yet growing field of grass hydraulics and may be informative of species responses to further drought intensification in Australia.",TRUE,FALSE
"doi:10.5061/dryad.jsxksn0f8",216765,2054199,"gs_australia_120420.csv",8001,"text/csv","copied","/api/v2/files/2054199/download",65,TRUE,"""stomatal conductance"" plant; ""turgor loss point"" plant","Coordination of hydraulic and morphological traits across dominant grasses in eastern Australia","Robert Griffin-Nolan; Jeff Chieppa; Alan Knapp; Uffe Nielsen; David Tissue","Biological sciences; plant traits; leaf hydraulics; stomatal conductance; Drought; turgor loss point; grass","1. Leaf hydraulic traits characterize plant drought tolerance and responses to climate change. Yet, plant hydraulics are biased towards northern hemisphere woody species. We collected rhizomes of several perennial grass species along a precipitation gradient in eastern Australia and grew them in an experimental garden to investigate potential tradeoffs between drought tolerance and plant morphology. 2. We measured the following leaf hydraulic traits: the leaf water potential (Ψleaf) at 50% and 88% loss of leaf hydraulic conductance (P50Kleaf and P88Kleaf), the Ψleaf at 50% loss of stomatal conductance (P50gs), leaf turgor loss point (TLP), leaf dry matter content (LDMC), leaf modulus of elasticity (ε), and the slope of the relationship between predawn and midday Ψleaf. We also measured basal area, tiller density, seed head density, root collar diameter, plant height, and aboveground biomass of each individual. 3. As expected, grass species varied widely in leaf-level drought tolerance, with loss of 88% hydraulic conductance occurring at a Ψleaf ranging from -1.52 to -4.01 MPa. However, all but one species lost leaf turgor, and most reached P50gs before this critical threshold. Taller more productive grass species tended to have drought vulnerable leaves characterized by low LDMC and less negative P88Kleaf. Species with greater tiller production experienced stomatal closure and lost turgor at more negative Ψleaf. Although our sample size was limited, we found no relationships between these species’ traits and their climate of origin. 4. Overall, we identified important hydraulic and morphological tradeoffs in Australian grasses that were surprisingly similar to those observed for woody plants: (1) xylem of taller species was less drought tolerant and (2) turgor loss occurs and stomatal closure begins before significant loss of Kleaf. These data build upon a small yet growing field of grass hydraulics and may be informative of species responses to further drought intensification in Australia.",TRUE,FALSE
"doi:10.5061/dryad.jsxksn0f8",216765,2054200,"plc.australia.120320.csv",8746,"text/csv","copied","/api/v2/files/2054200/download",65,TRUE,"""stomatal conductance"" plant; ""turgor loss point"" plant","Coordination of hydraulic and morphological traits across dominant grasses in eastern Australia","Robert Griffin-Nolan; Jeff Chieppa; Alan Knapp; Uffe Nielsen; David Tissue","Biological sciences; plant traits; leaf hydraulics; stomatal conductance; Drought; turgor loss point; grass","1. Leaf hydraulic traits characterize plant drought tolerance and responses to climate change. Yet, plant hydraulics are biased towards northern hemisphere woody species. We collected rhizomes of several perennial grass species along a precipitation gradient in eastern Australia and grew them in an experimental garden to investigate potential tradeoffs between drought tolerance and plant morphology. 2. We measured the following leaf hydraulic traits: the leaf water potential (Ψleaf) at 50% and 88% loss of leaf hydraulic conductance (P50Kleaf and P88Kleaf), the Ψleaf at 50% loss of stomatal conductance (P50gs), leaf turgor loss point (TLP), leaf dry matter content (LDMC), leaf modulus of elasticity (ε), and the slope of the relationship between predawn and midday Ψleaf. We also measured basal area, tiller density, seed head density, root collar diameter, plant height, and aboveground biomass of each individual. 3. As expected, grass species varied widely in leaf-level drought tolerance, with loss of 88% hydraulic conductance occurring at a Ψleaf ranging from -1.52 to -4.01 MPa. However, all but one species lost leaf turgor, and most reached P50gs before this critical threshold. Taller more productive grass species tended to have drought vulnerable leaves characterized by low LDMC and less negative P88Kleaf. Species with greater tiller production experienced stomatal closure and lost turgor at more negative Ψleaf. Although our sample size was limited, we found no relationships between these species’ traits and their climate of origin. 4. Overall, we identified important hydraulic and morphological tradeoffs in Australian grasses that were surprisingly similar to those observed for woody plants: (1) xylem of taller species was less drought tolerant and (2) turgor loss occurs and stomatal closure begins before significant loss of Kleaf. These data build upon a small yet growing field of grass hydraulics and may be informative of species responses to further drought intensification in Australia.",TRUE,FALSE
"doi:10.5061/dryad.jsxksn0f8",216765,2054201,"Pot_assignments.csv",3007,"text/csv","copied","/api/v2/files/2054201/download",65,TRUE,"""stomatal conductance"" plant; ""turgor loss point"" plant","Coordination of hydraulic and morphological traits across dominant grasses in eastern Australia","Robert Griffin-Nolan; Jeff Chieppa; Alan Knapp; Uffe Nielsen; David Tissue","Biological sciences; plant traits; leaf hydraulics; stomatal conductance; Drought; turgor loss point; grass","1. Leaf hydraulic traits characterize plant drought tolerance and responses to climate change. Yet, plant hydraulics are biased towards northern hemisphere woody species. We collected rhizomes of several perennial grass species along a precipitation gradient in eastern Australia and grew them in an experimental garden to investigate potential tradeoffs between drought tolerance and plant morphology. 2. We measured the following leaf hydraulic traits: the leaf water potential (Ψleaf) at 50% and 88% loss of leaf hydraulic conductance (P50Kleaf and P88Kleaf), the Ψleaf at 50% loss of stomatal conductance (P50gs), leaf turgor loss point (TLP), leaf dry matter content (LDMC), leaf modulus of elasticity (ε), and the slope of the relationship between predawn and midday Ψleaf. We also measured basal area, tiller density, seed head density, root collar diameter, plant height, and aboveground biomass of each individual. 3. As expected, grass species varied widely in leaf-level drought tolerance, with loss of 88% hydraulic conductance occurring at a Ψleaf ranging from -1.52 to -4.01 MPa. However, all but one species lost leaf turgor, and most reached P50gs before this critical threshold. Taller more productive grass species tended to have drought vulnerable leaves characterized by low LDMC and less negative P88Kleaf. Species with greater tiller production experienced stomatal closure and lost turgor at more negative Ψleaf. Although our sample size was limited, we found no relationships between these species’ traits and their climate of origin. 4. Overall, we identified important hydraulic and morphological tradeoffs in Australian grasses that were surprisingly similar to those observed for woody plants: (1) xylem of taller species was less drought tolerant and (2) turgor loss occurs and stomatal closure begins before significant loss of Kleaf. These data build upon a small yet growing field of grass hydraulics and may be informative of species responses to further drought intensification in Australia.",TRUE,FALSE
"doi:10.5061/dryad.jsxksn0f8",216765,2054202,"pv_curve_data.csv",8329,"text/csv","copied","/api/v2/files/2054202/download",65,TRUE,"""stomatal conductance"" plant; ""turgor loss point"" plant","Coordination of hydraulic and morphological traits across dominant grasses in eastern Australia","Robert Griffin-Nolan; Jeff Chieppa; Alan Knapp; Uffe Nielsen; David Tissue","Biological sciences; plant traits; leaf hydraulics; stomatal conductance; Drought; turgor loss point; grass","1. Leaf hydraulic traits characterize plant drought tolerance and responses to climate change. Yet, plant hydraulics are biased towards northern hemisphere woody species. We collected rhizomes of several perennial grass species along a precipitation gradient in eastern Australia and grew them in an experimental garden to investigate potential tradeoffs between drought tolerance and plant morphology. 2. We measured the following leaf hydraulic traits: the leaf water potential (Ψleaf) at 50% and 88% loss of leaf hydraulic conductance (P50Kleaf and P88Kleaf), the Ψleaf at 50% loss of stomatal conductance (P50gs), leaf turgor loss point (TLP), leaf dry matter content (LDMC), leaf modulus of elasticity (ε), and the slope of the relationship between predawn and midday Ψleaf. We also measured basal area, tiller density, seed head density, root collar diameter, plant height, and aboveground biomass of each individual. 3. As expected, grass species varied widely in leaf-level drought tolerance, with loss of 88% hydraulic conductance occurring at a Ψleaf ranging from -1.52 to -4.01 MPa. However, all but one species lost leaf turgor, and most reached P50gs before this critical threshold. Taller more productive grass species tended to have drought vulnerable leaves characterized by low LDMC and less negative P88Kleaf. Species with greater tiller production experienced stomatal closure and lost turgor at more negative Ψleaf. Although our sample size was limited, we found no relationships between these species’ traits and their climate of origin. 4. Overall, we identified important hydraulic and morphological tradeoffs in Australian grasses that were surprisingly similar to those observed for woody plants: (1) xylem of taller species was less drought tolerant and (2) turgor loss occurs and stomatal closure begins before significant loss of Kleaf. These data build upon a small yet growing field of grass hydraulics and may be informative of species responses to further drought intensification in Australia.",TRUE,FALSE
