W,N,H.alt,P.fla,C.ari,C.pub,E.hum,C.the,C.chi,S.vir,I.sin,I.gra,L.sea,A.mon,B.alo,C.squ,S.gla
W0,N0,0.197693242,-0.25,0.053834412,0.25,0,-0.157377428,0,0.019453985,0.25,0.308774325,-0.079352478,0.25,-0.25,0,0
W0,N10,0,0.286862886,-0.370147412,-0.25,0,-0.135598908,0,-0.25550255,0.180355674,-0.039832303,-0.065142358,0.236315789,0,0,0.25
W0,N60,-0.25,0,-0.47360514,-0.215993266,0,0.488325891,0,-0.262480801,0.202844311,-0.533974223,0.223532888,-0.25,-0.246540497,0,0
W20,N0,-0.25,0,-0.422216287,0,0,0.202222264,0,-0.162248177,-0.361904762,0.262295099,0.293088623,0.210709478,0,0,0
W20,N10,-0.508700766,0,-0.286422043,0,-0.143553223,0.001955671,0,0.244924589,0,0.19617285,0.009532508,-0.5,0,0,-0.25
W20,N60,0,0,-0.424726049,-0.25,-0.244834149,-0.413520992,0,0.162786511,0.1663207,-0.291227827,0.034224337,-0.25,-0.094526902,-0.25,0
W40,N0,-1,0.428935158,-0.202044326,0,-0.194444444,-0.523076923,0,-0.280890784,-0.235788114,-0.115225964,0.269866084,-0.39556962,0,0,-0.5
W40,N10,-0.081698241,0,-0.183854631,0,-0.25,-0.132648275,0.231928822,-0.471020112,0,-0.224841715,0.441622794,0.25,-0.203799769,0,-0.25
W40,N60,0,-0.118441682,-0.092596268,0,-0.25,0.387032139,0,-0.2321246,-0.541468065,-0.277534039,0.311135886,0.5,0.25,0.123612018,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Species,Abbr.,,,,,,,,,,,,,,,
Euphorbia_humifusa,H.alt,,,,,,,,,,,,,,,
Corispermum_puberulum,P.fla,,,,,,,,,,,,,,,
Ixeridium_graminifolium,C.ari,,,,,,,,,,,,,,,
Setaria_viridis,C.pub,,,,,,,,,,,,,,,
Incarvillea_sinensis,E.hum,,,,,,,,,,,,,,,
Cynanchum_thesioides,C.the,,,,,,,,,,,,,,,
Chenopodium_aristatum,C.chi,,,,,,,,,,,,,,,
Bassia_dasyphylla,S.vir,,,,,,,,,,,,,,,
Leymus_secalinus,I.sin,,,,,,,,,,,,,,,
Pennisetum_flaccidum,I.gra,,,,,,,,,,,,,,,
Cynanchum?chinensis,L.sea,,,,,,,,,,,,,,,
Cleistogenes_squarrosa,A.mon,,,,,,,,,,,,,,,
Heteropappus?altaicus,B.alo,,,,,,,,,,,,,,,
Agropyron_mongolicum,C.squ,,,,,,,,,,,,,,,
Stipa_glareosa,S.gla,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
