W,N,H.alt,P.fla,C.ari,C.pub,E.hum,C.the,C.chi,S.vir,I.sin,I.gra,L.sea,A.mon,B.alo,C.squ,S.gla
W0,N0,11.205,4.1025,2.5125,0,0.0025,0.939,0,13.66,0,4.28075,13.385,0,0.12,0,0
W0,N10,0,7.4225,4.10625,0.88875,0,2.42825,0,30.78,2.6075,4.654,23.635,0.0325,0,0,0
W0,N60,10.5025,0,16.8875,1.73,0,2.54325,0,21.605,0.01575,3.2305,53.09,2.345,0.305,0,0
W20,N0,0.5525,0,13.8665,0,0,2.07725,0,29.22975,1.633,5.71375,18.535,1.10025,0,0,0
W20,N10,7.32,0,8.0825,0,1.3125,1.1375,0,34.84575,0.7275,5.8525,12.041,0.245,0,0,0.2925
W20,N60,0.075,0,13.36,4.305,0.91,4.2175,0,22.3175,0.7725,11.24775,53.685,3.9825,4.6425,0.315,0
W40,N0,4.052,14.955,12.1875,0,0.48,1.42125,0,20.3575,0.188,13.9065,10.6975,0.425,0,0,0.06
W40,N10,5.1175,0,9.405,0,0.1025,1.205,0.8325,31.595,0,20.572,25.5625,0,5.1175,0,0.08
W40,N60,0,32.9,16.05,0,0.025,4.16825,0,44.9875,6.265,12.14,47.7325,0,0,0.9675,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Species,Abbr.,,,,,,,,,,,,,,,
Euphorbia_humifusa,H.alt,,,,,,,,,,,,,,,
Corispermum_puberulum,P.fla,,,,,,,,,,,,,,,
Ixeridium_graminifolium,C.ari,,,,,,,,,,,,,,,
Setaria_viridis,C.pub,,,,,,,,,,,,,,,
Incarvillea_sinensis,E.hum,,,,,,,,,,,,,,,
Cynanchum_thesioides,C.the,,,,,,,,,,,,,,,
Chenopodium_aristatum,C.chi,,,,,,,,,,,,,,,
Bassia_dasyphylla,S.vir,,,,,,,,,,,,,,,
Leymus_secalinus,I.sin,,,,,,,,,,,,,,,
Pennisetum_flaccidum,I.gra,,,,,,,,,,,,,,,
Cynanchum?chinensis,L.sea,,,,,,,,,,,,,,,
Cleistogenes_squarrosa,A.mon,,,,,,,,,,,,,,,
Heteropappus?altaicus,B.alo,,,,,,,,,,,,,,,
Agropyron_mongolicum,C.squ,,,,,,,,,,,,,,,
Stipa_glareosa,S.gla,,,,,,,,,,,,,,,
