Species,Abbr.,LDMC,height
Euphorbia_humifusa,H.alt,273.5161914,24.46081657
Corispermum_puberulum,P.fla,308.9055804,48.2396108
Ixeridium_graminifolium,C.ari,165.7085115,17.82465903
Setaria_viridis,C.pub,229.7911179,12.44444333
Incarvillea_sinensis,E.hum,245.0633495,2.969516636
Cynanchum_thesioides,C.the,216.4676111,18.11153699
Chenopodium_aristatum,C.chi,274.336,30.93254
Bassia_dasyphylla,S.vir,246.0851141,24.8218295
Leymus_secalinus,I.sin,209.6361782,30.68171306
Pennisetum_flaccidum,I.gra,205.6362868,12.32249071
Cynanchum?chinensis,L.sea,350.6915446,49.51520739
Cleistogenes_squarrosa,A.mon,473.0509168,31.10201143
Heteropappus?altaicus,B.alo,108.1077629,14.86111111
Agropyron_mongolicum,C.squ,345.8,18.180555
Stipa_glareosa,S.gla,379.8792256,26.01307235
