Sample,N,C,S
A1,1.22,53.95,NA
A1,1.24,53.08,NA
A2,1.11,53.62,NA
A2,1.16,56.14,NA
A3,1.07,53.65,NA
A3,1.04,53.84,NA
A4,1.32,52.18,NA
A4,1.29,52.32,NA
A5,1.12,52.78,NA
A5,1.13,52.53,NA
A6,1.28,53.96,NA
A6,1.31,54.34,NA
A7,1.55,53.07,NA
A7,1.49,53.46,NA
A8,1.07,53.7,NA
A8,1.08,53.46,NA
A9,1.15,52.87,NA
A9,1.17,53.49,NA
A10,1.06,53.18,NA
A10,1.1,53.4,NA
B1,0.86,54.05,NA
B1,0.82,53.66,NA
B2,0.81,53.56,NA
B2,0.8,53.8,NA
B3,0.87,52.8,NA
B3,0.88,52.93,NA
B4,0.89,53.71,NA
B4,0.87,54,NA
B5,0.92,52.5,NA
B5,0.92,53.18,NA
B6,0.9,53.82,NA
B6,0.9,54.19,NA
B7,0.93,54.86,NA
B7,0.91,54.75,NA
B8,0.8,54.01,NA
B8,0.8,53.88,NA
B9,0.98,54.06,0.18
B9,0.99,53.99,0.18
B10,0.83,53.71,0.18
B10,0.82,53.48,0.19
C1,0.9,53.48,0.19
C1,0.89,53.57,0.19
C2,0.89,54.31,0.19
C2,0.91,53.61,0.21
C3,1.07,54.11,0.21
C3,1.09,54.21,0.2
C4,0.87,54.72,0.18
C4,0.87,54.95,0.17
C5,0.83,55.73,0.19
C5,0.83,55.73,0.2
C6,1.06,54.28,0.19
C6,1.02,53.8,0.18
C7,1.08,56.33,0.2
C7,1.05,56.02,0.2
C8,0.98,55.84,0.19
C8,1,55.33,0.19
C9,0.86,55.68,0.19
C9,0.87,55.6,0.19
C10,0.78,54.47,0.17
C10,0.78,54.27,0.17
D1,0.83,54.7,0.17
D1,0.8,55.47,0.16
D2,0.66,53.28,0.17
D2,0.66,54.23,0.15
D3,0.85,54.42,0.17
D3,0.84,54.42,0.2
D4,0.89,54.11,0.21
D4,0.89,54.18,0.2
D5,1.06,53.4,0.21
D5,1.06,53.35,0.23
D6,0.74,53.19,0.19
D6,0.74,52.91,0.19
D7,1.04,55.17,0.18
D7,1,54.75,0.18
D8,0.78,53.79,0.17
D8,0.78,53.74,0.16
D9,0.92,53.47,0.16
D9,0.88,53.61,0.17
D10,0.9,54.43,0.19
D10,0.91,55.22,0.19
