site,site,subsite, shrub_num, year,shoot_length, pi, pi_full, latitude, longitude, elevation,speciescode, species
Spiekeroog,SP,A,1,2017,54.56,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,1,2016,86.34,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,1,2015,23.22,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,2,2017,52.18,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,2,2016,59.16,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,2,2015,20.86,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,3,2017,59.13,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,3,2016,64.93,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,4,2017,61.57,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,4,2016,62.46,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,5,2017,75.75,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,5,2016,83.75,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,6,2017,81.89,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,6,2016,126.74,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,7,2017,51.81,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,7,2016,50.61,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,8,2017,47.97,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,8,2016,66.36,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,8,2015,44.93,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,9,2017,34.29,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,9,2016,79.2,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,9,2015,48.06,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,10,2017,35.46,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,10,2016,76.17,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,10,2015,24.06,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,11,2017,54.71,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,11,2016,83.75,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,11,2015,69.99,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,12,2017,42.56,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,12,2016,26.34,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,13,2017,33.81,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,13,2016,69.31,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,14,2017,22.51,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,14,2016,59.91,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,14,2015,31.89,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,14,2014,38.28,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,15,2017,42.33,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,15,2016,83.44,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,16,2017,26.69,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,16,2016,41.14,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,16,2015,31.23,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,16,2014,54.84,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,17,2017,49.98,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,17,2016,56.93,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,18,2017,181.38,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,18,2016,149.07,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,18,2015,59.14,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,19,2017,38.74,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,19,2016,49.71,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,19,2015,22.48,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,20,2017,50.57,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,20,2016,73.96,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,21,2017,116.31,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,21,2016,130.94,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,22,2017,69.13,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,23,2017,106.99,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,23,2016,97.64,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,24,2017,99.36,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,24,2016,145.82,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,25,2017,99.11,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,25,2016,103.97,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,A,25,2015,33.37,KZ,Katharina Zech,53.7734,7.7238,4,EN,Empetrum nigrum
Spiekeroog,SP,B,26,2017,48.83,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,26,2016,55.14,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,26,2015,44.68,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,26,2014,40.08,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,27,2017,81.88,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,27,2016,132.89,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,27,2015,89.74,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,28,2017,58.48,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,28,2016,75.16,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,28,2015,52.03,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,28,2014,49.27,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,29,2017,81.19,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,29,2016,89.6,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,29,2015,44.19,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,29,2014,31.41,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,30,2017,37.18,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,30,2016,72.3,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,30,2015,54.21,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,31,2017,54.25,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,31,2016,43.97,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,32,2017,79.83,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,32,2016,66.52,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,33,2017,56.31,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,33,2016,60.61,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,33,2015,32.6,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,33,2014,42.49,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,34,2017,110.72,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,34,2016,132.17,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,35,2017,53.52,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,35,2016,78.92,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,35,2015,54.39,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,36,2017,63.8,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,36,2016,84.53,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,37,2017,84.9,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,37,2016,78.28,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,37,2015,21.28,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,38,2017,30.29,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,38,2016,70.07,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,39,2017,62.16,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,39,2016,78.65,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,39,2015,59.06,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,39,2014,24.32,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,40,2017,52.01,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,40,2016,45.52,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,40,2015,27.03,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,40,2014,12.84,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,41,2017,21.88,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,41,2016,37.39,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,42,2017,53.41,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,42,2016,50.95,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,42,2015,40.1,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,43,2017,54.49,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,43,2016,50.76,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,44,2017,68.26,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,44,2016,97.75,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,44,2015,42.25,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,45,2017,80.69,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,45,2016,78.51,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,45,2015,46.11,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,45,2014,40.64,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,46,2017,56.31,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,46,2016,32.27,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,47,2017,65.71,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,47,2016,75.39,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,47,2015,34.33,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,48,2017,123.69,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,49,2017,63.42,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,49,2016,103.88,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,50,2017,50.57,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,B,50,2016,16.71,KZ,Katharina Zech,53.7718,7.7187,5,EN,Empetrum nigrum
Spiekeroog,SP,C,51,2017,47.44,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,51,2016,83.26,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,51,2015,89.86,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,52,2017,58.84,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,52,2016,57.44,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,52,2015,57.46,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,53,2017,114.84,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,53,2016,87.7,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,54,2017,52.54,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,54,2016,69.9,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,54,2015,86.7,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,55,2017,53.74,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,55,2016,94.72,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,55,2015,47.76,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,56,2017,77.22,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,56,2016,79.12,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,57,2017,69.32,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,57,2016,77.74,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,58,2017,40.71,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,58,2016,47.74,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,58,2015,27.93,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,59,2017,55.19,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,59,2016,58.48,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,59,2015,14.98,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,60,2017,47.89,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,60,2016,61.77,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,61,2017,36.14,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,61,2016,80.78,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,61,2015,77.63,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,62,2017,24.45,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,62,2016,54.33,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,63,2017,48.37,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,63,2016,44.84,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,63,2015,42.93,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,64,2017,94.32,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,64,2016,90.15,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,64,2015,116.58,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,65,2017,67.6,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,65,2016,72.16,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,65,2015,32.91,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,66,2017,44.38,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,66,2016,61.67,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,66,2015,56.69,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,67,2017,55.42,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,67,2016,72.55,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,68,2017,46.71,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,68,2016,58.43,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,68,2015,32.43,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,68,2014,19.68,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,69,2017,68.59,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,69,2016,77.92,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,69,2015,53.42,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,70,2017,86.06,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,70,2016,104.38,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,70,2015,29.38,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,71,2017,69.43,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,71,2016,87.91,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,72,2017,26.23,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,72,2016,37.78,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,72,2015,20.45,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,73,2017,49.86,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,73,2016,56.13,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,74,2017,47.03,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,74,2016,55.81,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,74,2015,61.77,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,75,2017,69.84,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,75,2016,63.65,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,C,75,2015,40.16,KZ,Katharina Zech,53.7695,7.7183,4,EN,Empetrum nigrum
Spiekeroog,SP,D,76,2017,27.84,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,76,2016,42.26,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
Spiekeroog,SP,D,76,2015,30.36,KZ,Katharina Zech,53.7612,7.6734,1,EN,Empetrum nigrum
