Site,Soil_Depth,pH_H2O,pH_CaCl,Conductivity,MoistFactor,Chloride_[mg/l],Nitrate_[mg/l],Phosphat_[mg/l],Sulfate_[mg/l],PI,PI_full,Salinity.pct,Moisture.pct,Carbonate
A,10,5.05,4.57,10.19,1.022253061,0.8,0.2,0.3,0.7,KZ,Katharina Zech,NA,2.177,NA
A,30,4.99,4.79,7.72,1.019651055,0.8,0.2,0,0.7,KZ,Katharina Zech,NA,1.927,NA
A,10,5.56,4.55,15.23,1.019900366,0.5,0.1,0.3,0.6,KZ,Katharina Zech,NA,1.951,NA
A,30,6.04,4.77,7.07,1.022218492,0.7,0.3,0.2,0.9,KZ,Katharina Zech,NA,2.174,NA
A,10,4.94,4.57,9.04,1.020755015,0.8,0.2,0.4,0.8,KZ,Katharina Zech,NA,2.033,NA
A,30,5.48,4.8,12.11,1.019767822,3.5,0.5,0.2,1,KZ,Katharina Zech,NA,1.938,NA
B,10,4.28,3.83,18.28,1.028154379,1.5,0.7,0.8,1.4,KZ,Katharina Zech,NA,2.738,NA
B,30,4.46,4.04,13.41,1.02833185,1.4,0.3,0,1,KZ,Katharina Zech,NA,2.755,NA
B,10,4.5,3.86,18.9,1.054733559,0.9,0.3,0.8,1,KZ,Katharina Zech,NA,5.189,NA
B,30,4.8,4.12,7.9,1.051757347,0.8,0.3,0,0.9,KZ,Katharina Zech,NA,4.921,NA
B,10,4.5,3.82,13.2,1.054891494,0.8,0.7,0.5,0.7,KZ,Katharina Zech,NA,5.204,NA
B,30,4.6,4.09,9.2,1.047294518,1,0.7,0.2,1,KZ,Katharina Zech,NA,4.516,NA
C,10,4.5,3.82,4.5,1.056440166,1.3,0.3,1.1,1.6,KZ,Katharina Zech,NA,5.342,NA
C,30,4.48,4,13.74,1.042586117,1,0.3,0,1,KZ,Katharina Zech,NA,4.085,NA
C,10,4.28,3.8,15.8,1.059976774,1,0.2,0.8,1.1,KZ,Katharina Zech,NA,5.658,NA
C,30,4.4,4.06,15.4,1.04590546,0.8,0.3,0,0.9,KZ,Katharina Zech,NA,4.389,NA
C,10,4.3,3.83,16.3,1.053005095,1.8,0.7,1.1,2,KZ,Katharina Zech,NA,5.034,NA
C,30,4.5,4.05,12.6,1.047287265,0.8,0.3,0,1,KZ,Katharina Zech,NA,4.515,NA
D,10,4.4,3.86,17.4,1.060232182,1.4,0.3,0.6,1.3,KZ,Katharina Zech,NA,5.681,NA
D,30,4.5,4.14,11.6,1.048038364,1.6,0.4,0.5,1,KZ,Katharina Zech,NA,4.584,NA
