species_name;year;contrast_in_pot_halves;belowground_biomass[g];aboveground_biomass[g];lowconc_half_roots[g];highconc_half_roots[g]
Bromus benekenii;2013;no;0.3409;0.8381;0.0913;0.2496
Bromus benekenii;2013;no;0.3462;0.9565;0.1105;0.2357
Bromus benekenii;2013;no;0.0586;0.1762;0.0329;0.0257
Bromus benekenii;2013;no;0.1627;0.4341;0.1045;0.0582
Bromus benekenii;2013;no;0.1476;0.44;0.0567;0.0909
Bromus benekenii;2013;no;0.2678;0.618;0.1439;0.1239
Bromus benekenii;2013;no;0.2182;0.6184;0.0642;0.154
Centaurea stoebe;2013;no;0.0796;0.4837;0.0595;0.0201
Centaurea stoebe;2013;no;0.1406;1.0009;0.0466;0.094
Centaurea stoebe;2013;no;0.3992;1.8181;0.3167;0.0825
Centaurea stoebe;2013;no;0.3311;2.3067;0.1638;0.1673
Centaurea stoebe;2013;no;0.1086;1.092;0.0222;0.0864
Centaurea stoebe;2013;no;0.1619;1.0131;0.1319;0.03
Geum urbanum;2013;no;0.1723;0.3899;0.046;0.1263
Geum urbanum;2013;no;0.3369;0.7604;0.2073;0.1296
Geum urbanum;2013;no;0.2605;0.5773;0.1731;0.0874
Geum urbanum;2013;no;0.3392;0.7147;0.2726;0.0666
Geum urbanum;2013;no;0.2284;0.5383;0.1185;0.1099
Geum urbanum;2013;no;0.057;0.1473;0.0403;0.0167
Gypsophila paniculata;2013;no;0.1826;0.616;0.1303;0.0523
Gypsophila paniculata;2013;no;0.2704;0.6101;0.0603;0.2101
Gypsophila paniculata;2013;no;0.3182;0.8634;0.1243;0.1939
Gypsophila paniculata;2013;no;0.0412;0.1366;0.0272;0.014
Gypsophila paniculata;2013;no;0.1626;1.0893;0.0986;0.064
Gypsophila paniculata;2013;no;0.3261;0.7474;0.2529;0.0732
Gypsophila paniculata;2013;no;0.1473;0.5678;0.1313;0.016
Holcus lanatus;2013;no;0.3238;1.9037;0.1633;0.1605
Holcus lanatus;2013;no;0.0209;0.1742;0.01;0.0109
Holcus lanatus;2013;no;0.1529;0.8149;0.0686;0.0843
Holcus lanatus;2013;no;0.1548;1.2363;0.07;0.0848
Hypochaeris radicata;2013;no;0.0819;0.5823;0.0575;0.0244
Hypochaeris radicata;2013;no;0.1034;0.5346;0.0655;0.0379
Hypochaeris radicata;2013;no;0.1967;0.9745;0.0416;0.1551
Hypochaeris radicata;2013;no;0.35;2.0559;0.1438;0.2062
Hypochaeris radicata;2013;no;0.3725;1.0707;0.2379;0.1346
Hypochaeris radicata;2013;no;0.5026;2.6933;0.256;0.2466
Leontodon hispidus;2013;no;0.2878;0.6222;0.1414;0.1464
Leontodon hispidus;2013;no;0.1721;0.4444;0.1411;0.031
Leontodon hispidus;2013;no;0.6041;1.0304;0.2331;0.371
Leontodon hispidus;2013;no;0.1834;0.6408;0.0753;0.1081
Leontodon hispidus;2013;no;0.536;1.0627;0.2963;0.2397
Leontodon hispidus;2013;no;0.2084;0.4159;0.1656;0.0428
Salvia pratensis;2013;no;0.1599;0.6642;0.0849;0.075
Salvia pratensis;2013;no;0.3087;1.1229;0.1914;0.1173
Salvia pratensis;2013;no;0.5584;1.6782;0.235;0.3234
Salvia pratensis;2013;no;0.3811;1.5925;0.2003;0.1808
Salvia pratensis;2013;no;0.3762;1.1619;0.0724;0.3038
Salvia pratensis;2013;no;0.0984;0.3353;0.0849;0.0135
Salvia pratensis;2013;no;0.2076;0.6141;0.062;0.1456
Sanguisorba minor;2013;no;0.3236;3.2528;0.2081;0.1155
Sanguisorba minor;2013;no;0.1693;1.044;0.1039;0.0654
Sanguisorba minor;2013;no;0.4894;3.867;0.2376;0.2518
Sanguisorba minor;2013;no;0.4216;3.0215;0.1749;0.2467
Sanguisorba minor;2013;no;0.0938;0.5901;0.0657;0.0281
Sanguisorba minor;2013;no;0.3438;2.0379;0.0974;0.2464
Scorzonera laciniata;2013;no;0.1825;0.3985;0.0619;0.1206
Scorzonera laciniata;2013;no;0.1732;0.3047;0.1315;0.0417
Scorzonera laciniata;2013;no;0.1635;0.276;0.1292;0.0343
Scorzonera laciniata;2013;no;0.344;0.4781;0.1075;0.2365
Scorzonera laciniata;2013;no;0.1039;0.2229;0.038;0.0659
Scorzonera laciniata;2013;no;0.2047;0.4097;0.1102;0.0945
Scorzonera laciniata;2013;no;0.0163;0.0402;0.005;0.0113
Stachys germanica;2013;no;0.2753;0.6462;0.1101;0.1652
Stachys germanica;2013;no;0.3161;0.8037;0.1267;0.1894
Stachys germanica;2013;no;0.2661;0.5022;0.0921;0.174
Stachys germanica;2013;no;0.2832;0.798;0.1411;0.1421
Stachys germanica;2013;no;0.2179;0.5522;0.1247;0.0932
Stachys germanica;2013;no;0.2404;0.5584;0.0996;0.1408
Stachys germanica;2013;no;0.2573;0.7286;0.1722;0.0851
Agrostis capillaris;2014;no;0.2224;1.177;0.1096;0.1128
Agrostis capillaris;2014;no;0.1328;0.6496;0.0422;0.0906
Agrostis capillaris;2014;no;0.5942;3.3414;0.3706;0.2236
Agrostis capillaris;2014;no;0.2337;1.3288;0.1196;0.1141
Agrostis capillaris;2014;no;0.2597;1.2095;0.0784;0.1813
Agrostis capillaris;2014;no;0.0543;0.2985;0.0353;0.019
Agrostis capillaris;2014;no;0.048;0.3326;0.0257;0.0223
Agrimonia eupatoria;2014;no;0.4335;1.0323;0.0572;0.3763
Agrimonia eupatoria;2014;no;0.4584;1.0166;0.3187;0.1397
Agrimonia eupatoria;2014;no;0.3556;0.7552;0.2457;0.1099
Agrimonia eupatoria;2014;no;0.4532;1.0055;0.1313;0.3219
Agrimonia eupatoria;2014;no;0.4519;1.0012;0.2017;0.2502
Agrimonia eupatoria;2014;no;0.4986;1.0697;0.3098;0.1888
Agrimonia eupatoria;2014;no;0.3379;0.7339;0.1899;0.148
Achillea ptarmica;2014;no;0.4799;2.2689;0.2266;0.2533
Achillea ptarmica;2014;no;0.0507;0.1561;0.0054;0.0453
Achillea ptarmica;2014;no;2.2785;7.383;1.3051;0.9734
Achillea ptarmica;2014;no;0.255;1.276;0.1569;0.0981
Achillea ptarmica;2014;no;1.2047;3.5798;0.7247;0.48
Achillea ptarmica;2014;no;1.3668;3.9111;0.7293;0.6375
Carex ovalis;2014;no;0.2526;1.207;0.1044;0.1482
Carex ovalis;2014;no;0.0067;0.0214;0.0055;0.0012
Carex vulpina;2014;no;0.2963;1.2586;0.2126;0.0837
Carex vulpina;2014;no;0.1647;0.57;0.0855;0.0792
Carex vulpina;2014;no;0.2723;1.0602;0.1557;0.1166
Carex vulpina;2014;no;0.0092;0.2819;6.00E-004;0.0086
Carex vulpina;2014;no;0.0484;0.2317;0.028;0.0204
Cynosurus cristatus;2014;no;0.2008;1.2115;0.1156;0.0852
Cynosurus cristatus;2014;no;0.1796;1.1739;0.0499;0.1297
Cynosurus cristatus;2014;no;0.2376;1.1511;0.0882;0.1494
Cynosurus cristatus;2014;no;0.2165;1.2348;0.1062;0.1103
Cynosurus cristatus;2014;no;0.2026;0.8026;0.082;0.1206
Dianthus armeria;2014;no;0.0734;0.8269;0.0364;0.037
Dianthus armeria;2014;no;0.1089;1.0813;0.0595;0.0494
Dianthus armeria;2014;no;0.1506;1.4252;0.077;0.0736
Dianthus armeria;2014;no;0.1177;1.0726;0.054;0.0637
Dianthus armeria;2014;no;0.0672;0.7075;0.0251;0.0421
Dianthus armeria;2014;no;0.1032;1.0643;0.048;0.0552
Dianthus armeria;2014;no;0.1708;1.4826;0.0793;0.0915
Dianthus deltoides;2014;no;0.0916;0.7162;0.0476;0.044
Dianthus deltoides;2014;no;0.2646;1.5348;0.0883;0.1763
Dianthus deltoides;2014;no;0.2666;1.5529;0.1141;0.1525
Dianthus deltoides;2014;no;0.0605;0.3418;0.0196;0.0409
Dianthus deltoides;2014;no;0.1971;1.0767;0.0763;0.1208
Dianthus deltoides;2014;no;0.1554;0.7543;0.0553;0.1001
Dianthus deltoides;2014;no;0.2224;0.9958;0.1334;0.089
Erysimum crepidifolium;2014;no;0.6344;3.2384;0.3579;0.2765
Erysimum crepidifolium;2014;no;0.5076;4.7731;0.2585;0.2491
Erysimum crepidifolium;2014;no;0.565;2.6565;0.0822;0.4828
Erysimum crepidifolium;2014;no;0.4064;3.3064;0.1883;0.2181
Erysimum crepidifolium;2014;no;0.8194;4.5067;0.2621;0.5573
Erysimum crepidifolium;2014;no;0.4817;2.5902;0.1403;0.3414
Erysimum crepidifolium;2014;no;0.3245;1.6908;0.1533;0.1712
Filipendula vulgaris;2014;no;0.2087;0.3358;0.1061;0.1026
Filipendula vulgaris;2014;no;0.0731;0.1254;0.0388;0.0343
Filipendula vulgaris;2014;no;0.3341;0.7065;0.1193;0.2148
Filipendula vulgaris;2014;no;0.0609;0.1656;0.0296;0.0313
Filipendula vulgaris;2014;no;0.1881;0.3169;0.1139;0.0742
Filipendula vulgaris;2014;no;0.0907;0.221;0.0314;0.0593
Galium verum agg.;2014;no;0.1283;0.9928;0.0324;0.0959
Galium verum agg.;2014;no;0.2197;1.1772;0.1171;0.1026
Galium verum agg.;2014;no;0.2;1.578;0.0869;0.1131
Galium verum agg.;2014;no;0.3708;2.0561;0.1216;0.2492
Galium verum agg.;2014;no;0.3046;2.5329;0.1384;0.1662
Galium verum agg.;2014;no;0.259;1.9498;0.0711;0.1879
Galium verum agg.;2014;no;0.1699;1.0601;0.1118;0.0581
Geum rivale;2014;no;0.1186;0.5793;0.043;0.0756
Geum rivale;2014;no;0.1774;0.8625;0.1277;0.0497
Geum rivale;2014;no;0.3565;1.8202;0.1784;0.1781
Geum rivale;2014;no;0.1444;0.8261;0.0628;0.0816
Geum rivale;2014;no;0.1425;0.5497;0.0689;0.0736
Geum rivale;2014;no;0.2931;1.2194;0.2125;0.0806
Geum rivale;2014;no;0.1611;0.8342;0.073;0.0881
Helianthemum grandiflorum;2014;no;0.2448;1.0696;0.1787;0.0661
Helianthemum grandiflorum;2014;no;0.1545;0.5286;0.0596;0.0949
Helianthemum grandiflorum;2014;no;0.0755;0.7545;0.0197;0.0558
Helianthemum grandiflorum;2014;no;0.1993;0.7075;0.0902;0.1091
Helianthemum grandiflorum;2014;no;0.2304;0.9835;0.1422;0.0882
Helianthemum grandiflorum;2014;no;0.1533;0.5791;0.0738;0.0795
Helianthemum grandiflorum;2014;no;0.0979;0.1155;0.092;0.0059
Hypericum perforatum;2014;no;0.1915;0.4971;0.0733;0.1182
Hypericum perforatum;2014;no;0.2451;0.5532;0.071;0.1741
Hypericum perforatum;2014;no;0.4229;0.7668;0.1579;0.265
Hypericum perforatum;2014;no;0.1537;0.3159;0.0531;0.1006
Hypericum perforatum;2014;no;0.0704;0.2281;0.0308;0.0396
Hypericum perforatum;2014;no;0.1669;0.4475;0.0866;0.0803
Inula hirta;2014;no;0.1006;0.278;0.0278;0.0728
Inula hirta;2014;no;0.1727;0.5485;0.1216;0.0511
Inula hirta;2014;no;0.0141;0.055;0.012;0.0021
Inula hirta;2014;no;0.1102;0.1899;0.0744;0.0358
Inula hirta;2014;no;0.1269;0.2025;0.0939;0.033
