Date,Block,Plot,Genotypic diversity,Trait diversity,Trt ID,Melongena abundance,Terebra abundance,Littoraria abundance,Total abundance
12-Jan,1,1,1,Low,M8,0,2,0,2
12-Jan,1,2,3,High,LP12,0,1,0,1
12-Jan,1,3,6,Low,HP3,0,0,0,0
12-Jan,1,4,1,High,M2,0,4,0,4
12-Jan,1,5,6,High,HP9,0,5,0,5
12-Jan,1,6,3,Low,LP2,0,0,0,0
12-Jan,1,7,6,High,HP10,0,0,0,0
12-Jan,1,8,6,High,HP5,0,0,0,0
12-Jan,1,9,1,High,M9,0,0,0,0
12-Jan,1,10,3,Low,LP5,0,0,0,0
12-Jan,1,11,1,Low,M3,0,0,0,0
12-Jan,1,12,3,High,LP8,0,0,0,0
12-Jan,2,1,1,High,M11,0,0,0,0
12-Jan,2,2,6,Low,HP7,0,1,0,1
12-Jan,2,3,3,High,LP6,0,2,0,2
12-Jan,2,4,1,Low,M12,0,0,0,0
12-Jan,2,5,6,Low,HP6,0,1,0,1
12-Jan,2,6,3,High,LP10,0,1,0,1
12-Jan,2,7,6,High,HP4,0,0,0,0
12-Jan,2,8,1,High,M1,1,0,0,1
12-Jan,2,9,3,Low,LP3,0,1,0,1
12-Jan,2,10,1,Low,M7,0,0,0,0
12-Jan,2,11,6,Low,HP12,1,1,0,2
12-Jan,2,12,3,Low,LP9,0,1,0,1
12-Jan,3,1,6,Low,HP11,0,3,0,3
12-Jan,3,2,1,Low,M4,0,2,0,2
12-Jan,3,3,1,High,M6,0,0,0,0
12-Jan,3,4,3,High,LP7,0,3,0,3
12-Jan,3,5,3,Low,LP1,0,1,0,1
12-Jan,3,6,6,Low,HP1,0,2,0,2
12-Jan,3,7,3,Low,LP4,0,2,0,2
12-Jan,3,8,3,High,LP11,0,0,0,0
12-Jan,3,9,6,High,HP2,0,0,0,0
12-Jan,3,10,1,Low,M5,0,0,0,0
12-Jan,3,11,6,High,HP8,0,1,0,1
12-Jan,3,12,1,High,M10,0,3,0,3
12-Jan,4,1,6,Low,HP7,0,0,0,0
12-Jan,4,2,1,High,M11,0,0,0,0
12-Jan,4,3,3,Low,LP5,0,0,0,0
12-Jan,4,4,6,Low,HP6,0,0,0,0
12-Jan,4,5,3,High,LP8,0,0,0,0
12-Jan,4,6,1,Low,M3,0,0,0,0
12-Jan,4,7,1,Low,M8,0,1,0,1
12-Jan,4,8,3,Low,LP4,0,0,1,1
12-Jan,4,9,6,High,HP9,0,0,0,0
12-Jan,4,10,3,High,LP10,0,0,0,0
12-Jan,4,11,1,High,M1,0,0,0,0
12-Jan,4,12,6,High,HP2,0,0,0,0
