code;tree;sample;species;organ;VC_length;WD;D;Dh;VD;F;S;Kp;Ks_max;Ks_min;P12;P50;P88
B_Ah_1_1;Ah_1;1;Acer pseudoplatanus;branch;30;0.540;25.11;36.10;187.68;0.12;3.36E-06;3.51;1.39;1.95;-2.80;-3.54;-4.29
B_Ah_1_2;Ah_1;2;Acer pseudoplatanus;branch;30;0.524;25.01;35.71;168.21;0.11;3.72E-06;3.04;n/a;n/a;-0.98;-3.01;-5.03
B_Ah_1_4;Ah_1;4;Acer pseudoplatanus;branch;30;0.558;29.70;36.07;127.19;0.11;6.93E-06;3.30;n/a;n/a;-3.03;-3.73;-4.43
B_Ah_1_5;Ah_1;5;Acer pseudoplatanus;branch;30;0.564;26.05;34.83;154.50;0.11;4.39E-06;2.88;n/a;n/a;-2.39;-3.44;-4.49
B_Ah_2_1;Ah_2;1;Acer pseudoplatanus;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.84;1.21;n/a;n/a;n/a
B_Ah_2_2;Ah_2;2;Acer pseudoplatanus;branch;30;0.538;24.44;33.47;199.36;0.12;3.00E-06;3.07;1.10;2.19;-2.79;-3.56;-4.34
B_Ah_2_2;Ah_2;2;Acer pseudoplatanus;branch;30;0.538;n/a;n/a;n/a;n/a;n/a;n/a;1.10;2.19;-2.79;-3.56;-4.34
B_Ah_2_3;Ah_2;3;Acer pseudoplatanus;branch;30;0.510;29.94;36.62;127.64;0.11;7.02E-06;3.47;1.08;1.95;-2.81;-3.48;-4.15
B_Ah_2_4;Ah_2;4;Acer pseudoplatanus;branch;30;0.563;n/a;n/a;n/a;n/a;n/a;n/a;1.28;1.76;-3.06;-3.65;-4.23
B_Ah_2_5;Ah_2;5;Acer pseudoplatanus;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;0.79;1.11;n/a;n/a;n/a
B_Ah_3_3;Ah_3;3;Acer pseudoplatanus;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.67;2.23;n/a;n/a;n/a
B_Ah_4_1;Ah_4;1;Acer pseudoplatanus;branch;30;0.542;24.83;37.38;219.97;0.14;2.80E-06;4.31;1.17;1.59;-2.68;-3.21;-3.74
B_Ah_4_2;Ah_4;2;Acer pseudoplatanus;branch;30;0.521;n/a;n/a;n/a;n/a;n/a;n/a;1.19;2.08;-2.53;-3.16;-3.79
B_Ah_4_3;Ah_4;3;Acer pseudoplatanus;branch;30;0.510;31.06;38.77;136.65;0.13;7.06E-06;4.49;1.59;2.43;0.48;-1.87;-4.23
B_Ah_4_4;Ah_4;4;Acer pseudoplatanus;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.36;2.10;n/a;n/a;n/a
B_Ah_4_4;Ah_4;4;Acer pseudoplatanus;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.36;2.10;n/a;n/a;n/a
B_Ah_4_5;Ah_4;5;Acer pseudoplatanus;branch;30;0.487;30.40;38.05;118.95;0.11;7.77E-06;3.58;1.44;1.77;-2.85;-3.27;-3.70
B_Ah_5_1;Ah_5;1;Acer pseudoplatanus;branch;30;0.568;n/a;n/a;n/a;n/a;n/a;n/a;1.23;1.87;-2.81;-3.63;-4.45
B_Ah_5_2;Ah_5;2;Acer pseudoplatanus;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.73;2.46;n/a;n/a;n/a
B_Ah_5_3;Ah_5;3;Acer pseudoplatanus;branch;30;0.586;n/a;n/a;n/a;n/a;n/a;n/a;0.90;1.54;n/a;n/a;n/a
B_Ah_5_4;Ah_5;4;Acer pseudoplatanus;branch;30;0.589;27.35;32.73;115.85;0.09;6.46E-06;2.08;1.43;1.65;-2.97;-3.71;-4.45
B_Ah_5_5;Ah_5;5;Acer pseudoplatanus;branch;30;0.536;25.39;35.26;188.60;0.12;3.42E-06;3.41;1.23;1.78;-2.89;-3.61;-4.33
B_Ah_5_5;Ah_5;5;Acer pseudoplatanus;branch;30;0.536;n/a;n/a;n/a;n/a;n/a;n/a;1.23;1.78;-2.89;-3.61;-4.33
B_Ah_6_1;Ah_6;1;Acer pseudoplatanus;branch;30;0.498;25.59;34.62;185.66;0.12;3.53E-06;3.34;1.82;2.45;-3.10;-3.75;-4.40
B_Ah_6_2;Ah_6;2;Acer pseudoplatanus;branch;30;n/a;n/a;n/a;n/a;n/a;n/a;n/a;1.00;1.13;n/a;n/a;n/a
B_Ah_6_3;Ah_6;3;Acer pseudoplatanus;branch;30;0.555;25.29;34.17;178.19;0.11;3.59E-06;3.07;1.63;1.61;-2.42;-3.48;-4.54
B_Ah_6_4;Ah_6;4;Acer pseudoplatanus;branch;30;0.510;24.56;33.51;194.46;0.12;3.10E-06;2.99;1.06;1.46;-2.87;-3.67;-4.46
B_Ah_6_5;Ah_6;5;Acer pseudoplatanus;branch;30;0.502;24.97;32.85;186.57;0.12;3.34E-06;2.88;1.51;1.91;-2.47;-3.37;-4.26
R_C1_Ah_01_1;Ah_1;1;Acer pseudoplatanus;root;100;0.471;69.75;117.91;41.36;0.20;1.18E-04;62.42;n/a;n/a;-3.18;-3.97;-4.77
R_C1_Ah_02_1;Ah_2;1;Acer pseudoplatanus;root;n/a;0.320;105.64;145.07;34.54;0.39;3.23E-04;198.79;n/a;n/a;n/a;n/a;n/a
R_C1_Ah_1_1;Ah_1;1;Acer pseudoplatanus;root;n/a;0.387;89.56;129.73;37.39;0.30;2.15E-04;117.93;n/a;n/a;n/a;n/a;n/a
R_C1_Ah_1_2;Ah_1;2;Acer pseudoplatanus;root;100;0.365;94.17;137.58;35.82;0.32;2.48E-04;142.62;n/a;n/a;-1.62;-2.43;-3.24
R_X_Ah_1_3;Ah_1;3;Acer pseudoplatanus;root;n/a;n/a;71.93;99.49;38.84;0.20;1.33E-04;44.44;1.17;0.66;n/a;n/a;n/a
R_X_Ah_2_10;Ah_2;10;Acer pseudoplatanus;root;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
R_X_Ah_2_11;Ah_2;11;Acer pseudoplatanus;root;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
R_C1_Ah_2_1;Ah_2;1;Acer pseudoplatanus;root;n/a;0.434;60.29;87.20;43.84;0.16;8.29E-05;27.31;n/a;n/a;n/a;n/a;n/a
R_C1_Ah_2_2;Ah_2;2;Acer pseudoplatanus;root;100;0.370;82.13;126.43;43.02;0.29;1.57E-04;109.82;n/a;n/a;-2.48;-2.97;-3.45
R_C_Ah_2_5;Ah_2;5;Acer pseudoplatanus;root;n/a;0.437;58.70;99.73;50.90;0.18;6.77E-05;38.23;n/a;n/a;n/a;n/a;n/a
R_X_Ah_2_6;Ah_2;6;Acer pseudoplatanus;root;n/a;n/a;54.17;90.23;46.13;0.14;6.36E-05;24.61;1.08;0.60;n/a;n/a;n/a
R_X_Ah_2_7;Ah_2;7;Acer pseudoplatanus;root;n/a;n/a;57.77;93.11;56.33;0.19;5.92E-05;35.66;0.42;0.40;n/a;n/a;n/a
R_X_Ah_4_6;Ah_4;6;Acer pseudoplatanus;root;n/a;n/a;74.24;108.15;69.66;0.30;6.21E-05;103.68;n/a;13.66;n/a;n/a;n/a
R_X_Ah_4_3;Ah_4;3;Acer pseudoplatanus;root;n/a;n/a;65.31;112.87;46.27;0.20;9.22E-05;55.82;0.55;0.71;n/a;n/a;n/a
R_C1_Ah_5_1;Ah_5;1;Acer pseudoplatanus;root;n/a;0.431;89.93;135.84;38.02;0.31;2.13E-04;133.77;n/a;n/a;n/a;n/a;n/a
R_X_Ah_5_4;Ah_5;4;Acer pseudoplatanus;root;n/a;n/a;47.66;85.69;59.61;0.14;3.81E-05;19.03;0.98;0.47;n/a;n/a;n/a
R_C_Ah_5_5;Ah_5;5;Acer pseudoplatanus;root;n/a;0.568;52.43;90.52;51.60;0.14;5.33E-05;24.73;n/a;n/a;n/a;n/a;n/a
R_C_Ah_5_6;Ah_5;6;Acer pseudoplatanus;root;n/a;0.504;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
