Sample Number,Palmitic,Palmitoleic,Stearic,Oleic,Linoleic,Alphalinolenic,Arachidic,Gondoic,BL,Range,Plot,Accession
1,5.9,n.a.,5.36,15.97,15.97,56.8,n.a.,n.a.,1,3,2,1
2,5.52,n.a.,4.16,16.14,16.16,56.83,0.61,n.a.,2,10,5,1
3,5.13,n.a.,4.67,16.27,16.17,57.76,n.a.,n.a.,3,11,2,1
4,4.74,n.a.,3.71,16.74,12.25,61.84,0.72,n.a.,4,16,2,1
5,4.99,n.a.,3.8,20.43,22.83,46.35,1.11,n.a.,1,4,2,2
6,5.01,n.a.,4.27,19.31,22.23,48.14,1.05,n.a.,2,9,5,2
7,5.95,n.a.,5.3,17.49,22.34,47.69,1.23,n.a.,3,12,7,2
8,5.81,n.a.,4.32,18.1,21.13,49.57,1.07,n.a.,4,17,5,2
9,3.99,n.a.,3.06,19.47,14.71,56.7,0.72,0.36,1,3,5,3
10,4.38,n.a.,3.11,20.73,17.68,52.99,0.56,n.a.,2,9,1,3
11,4.74,n.a.,4.45,23.64,15.16,52.01,n.a.,n.a.,3,14,6,3
12,4.96,n.a.,5.16,21.53,14.19,54.16,n.a.,n.a.,4,21,4,3
13,4.86,n.a.,3.56,21.16,14.26,54.87,0.64,n.a.,1,1,8,4
14,3.8,n.a.,3.28,21.51,13.45,56.89,0.55,n.a.,2,6,6,4
15,4.51,n.a.,3.62,18.13,15.37,57.66,0.71,n.a.,3,13,4,4
16,4.39,n.a.,4.37,15.4,16,59.85,n.a.,n.a.,4,20,3,4
17,4.26,n.a.,3.87,22.59,14.61,53.64,0.51,n.a.,1,1,6,5
18,4.52,n.a.,4.38,21.64,13.41,56.06,n.a.,n.a.,2,10,7,5
19,5.07,n.a.,4.77,23.4,14.28,52.48,n.a.,n.a.,3,15,5,5
20,4.76,n.a.,4.49,18.45,13.85,58.45,n.a.,n.a.,4,18,2,5
21,5.1,n.a.,2.94,20.13,13.87,55.92,0.9,0.3,1,4,3,6
22,4.81,n.a.,3.69,19.24,20.53,50.91,0.83,n.a.,2,6,3,6
23,4.55,n.a.,3.46,17.37,18.53,55.34,0.76,n.a.,3,12,4,6
24,4.65,n.a.,3.28,16.66,16.43,58.24,0.75,n.a.,4,19,4,6
25,4.99,n.a.,4.24,22.32,18.36,50.09,n.a.,n.a.,1,2,1,7
26,4.78,n.a.,3.89,19.65,17.55,54.13,n.a.,n.a.,2,7,3,7
27,4.51,n.a.,4.23,20.46,15.84,54.24,0.72,n.a.,3,16,4,7
28,5.67,n.a.,3.75,23.15,18.43,47.4,0.86,n.a.,4,18,7,7
29,5.55,n.a.,3.4,18.49,20.73,51.11,0.72,n.a.,1,2,6,8
30,4.91,n.a.,3.99,20.71,16.64,52.98,0.76,n.a.,2,8,4,8
31,4.22,n.a.,3.32,24.44,16.43,49.78,0.82,0.4,3,15,7,8
32,4.49,n.a.,3.43,19.92,17.9,53.74,0.52,n.a.,4,19,3,8
33,4.44,n.a.,3.36,17.36,18.67,55.04,0.69,n.a.,1,3,3,9
34,4.82,n.a.,3.48,17.85,20.71,52.37,0.76,n.a.,2,7,5,9
35,4.55,n.a.,3.91,17.64,18.76,54.39,0.75,n.a.,3,13,8,9
36,4.28,n.a.,3.64,18.01,19.98,53.18,0.91,n.a.,4,20,4,9
37,4.59,n.a.,3.56,21.75,18.3,51.04,0.77,n.a.,1,3,8,10
38,4.25,n.a.,3.7,17.13,18.91,55.27,0.75,n.a.,2,10,3,10
39,4.79,n.a.,3.97,17.13,20.37,53.04,0.71,n.a.,3,13,6,10
40,4.41,n.a.,3.86,15.61,20.38,55.01,0.73,n.a.,4,17,4,10
41,4.04,n.a.,3.85,18.06,21.83,50.46,0.75,0.29,1,3,7,11
