Block,Species_source,Plant_Number,Rust_4th,Rust_17th,Height
1,14,Plant1,0,0,NA
1,14,Plant2,1,1,51
1,14,Plant3,1,1,67
1,14,Plant4,0,0,NA
1,14,Plant5,1,1,56
1,22,Plant1,0,0,38
1,22,Plant2,0,0,27
1,22,Plant3,0,0,15
1,22,Plant4,0,0,24
1,22,Plant5,0,0,37
1,20,Plant1,1,1,16
1,20,Plant2,1,0,63
1,20,Plant3,0,0,66
1,20,Plant4,1,1,67
1,20,Plant5,0,0,NA
1,40,Plant1,1,0,48
1,40,Plant2,1,1,46
1,40,Plant3,0,0,52
1,40,Plant4,1,1,63
1,40,Plant5,2,2,63
1,23,Plant1,1,1,69
1,23,Plant2,0,0,21
1,23,Plant3,2,2,70
1,23,Plant4,1,1,60
1,23,Plant5,0,0,41
1,5,Plant1,0,0,10
1,5,Plant2,0,0,64
1,5,Plant3,0,0,NA
1,5,Plant4,1,1,39
1,5,Plant5,1,0,25
1,35,Plant1,1,1,30
1,35,Plant2,2,1,66
1,35,Plant3,1,1,57
1,35,Plant4,1,1,71
1,35,Plant5,1,0,22
1,4,Plant1,0,0,67
1,4,Plant2,0,0,40
1,4,Plant3,0,0,60
1,4,Plant4,0,0,33
1,4,Plant5,0,0,NA
1,7,Plant1,0,0,NA
1,7,Plant2,0,0,30
1,7,Plant3,0,0,NA
1,7,Plant4,0,0,62
1,7,Plant5,0,0,23
1,24,Plant1,0,0,29
1,24,Plant2,1,1,64
1,24,Plant3,0,1,70
1,24,Plant4,0,0,61
1,24,Plant5,1,0,72
1,12,Plant1,1,0,67
1,12,Plant2,0,0,NA
1,12,Plant3,0,0,NA
1,12,Plant4,1,1,68
1,12,Plant5,1,1,76
1,39,Plant1,0,0,43
1,39,Plant2,0,0,41
1,39,Plant3,0,0,57
1,39,Plant4,0,0,54
1,39,Plant5,1,1,77
1,31,Plant1,1,1,47
1,31,Plant2,2,2,58
1,31,Plant3,1,1,72
1,31,Plant4,0,0,41
1,31,Plant5,1,1,67
1,8,Plant1,0,0,50
1,8,Plant2,1,1,77
1,8,Plant3,1,1,71
1,8,Plant4,1,1,61
1,8,Plant5,0,0,NA
1,42,Plant1,1,1,75
1,42,Plant2,0,0,NA
1,42,Plant3,0,0,NA
1,42,Plant4,1,1,58
1,42,Plant5,0,0,42
1,18,Plant1,1,1,80
1,18,Plant2,0,0,NA
1,18,Plant3,1,1,71
