source,Entry,Tom_accession,Location,County,State,Notes
1,1,6574,Tin Cup Road,Caribou,ID,
2,2,6561,Mink Creek Cyn .,Bingham,ID,
5,3,6576,Kress Fork,Oneida,ID,
6,4,6553,Lava Hotsprings,Bannock,ID,
7,5,6554,Lund,Caribou,ID,
8,6,U31,Maple Grove,Millard,UT,
9,7,U41,Desert Exp. Range1,Millard,UT,
12,8,U34-11,Parowan Gap Jxn1,Iron,UT,
13,9,U34-06,Parowan Gap Jxn2,Iron,UT,
14,10,U43-11,Provo Overlook,Utah,UT,
15,11,C1,Cactus Park,Delta,CO,
16,12,C2,Paradox,Montrose,CO,
17,13,1146,Dow Mountain,Dolores,CO,
18,14,1143,Crystal Peak2,Millard,UT,
19,15,1150,Halfway Hills,Millard,UT,
20,16,1136,Argenta,Lander,NV,
21,17,1141,Cave Valley ,Lincoln,NV,
22,18,1153,N Wells,Elko,NV,
23,19,1155,Little Lake Pass,Elko,NV,
24,20,1156,Long Hill,Iron,UT,
25,21,1157,Major's Place,White Pine,NV,
26,22,1158,Patterson Pass1,Lincoln,NV,
27,23,1169,West Ely,White Pine,NV,
28,24,1170,Wilson Reservoir,Elko,NV,
29,25,1139,Silver King,Lincoln,NV,
30,26,1144,Deep Creek,Tooele,UT,
31,27,1142,Crestline Road,Lincoln,NV,
32,28,1149,Goyeneche Ranch,Elko,NV,
33,29,1152,Levan,Juab,UT,
34,30,1159,Pequop Summit,Elko,NV,
35,31,1161,Rice Mountain,Iron,UT,
36,32,7201,Soldier Canyon,Elko,NV,
37,33,P11,,,,
38,34,,Boardman,Morrow,OR,
39,35,,Bear Lake,Rich,UT,
40,36,,Patterson Pass2,Lincoln,NV,
41,37,Appar,,,,
42,38,Maple Grove,MG,Millard,UT,
3,NA,6566,Arbon Valley,Bingham,ID,Not grown in Milville
4,NA,7571,McCoy Creek,Bonneville,ID,Not grown in Milville
10,NA,U40,Desert Exp. Range2,Millard,UT,Not grown in Milville
11,NA,U42,Crystal Peak1,Millard,UT,Not grown in Milville
