NA,NA,NA,no. plants,2013 MV,2013 MV,2013 MV,Linum 2014 MV,2015,survivorship
Plot,Rep,Entry,planted,ttl_weight,ttl_stem,sub_weight,ttl_weight,DW,4/27/13
1,1,35,9,0,0,0,0,80,1
2,1,2,10,423.56,225,29.16,794.72,305,10
3,1,23,10,318.24,246,29.6,183.81,229,10
4,1,13,10,269.02,135,33.9,517.63,268,8
5,2,32,10,162.7,76,39.08,0,205,5
6,2,14,10,182.89,104,26.49,33.35,85,9
7,2,25,10,228.18,112,43.97,0,81,8
8,2,8,10,184.3,77,53.91,79.81,225,9
9,3,18,10,13.22,10,13.22,0,101,3
10,3,21,10,163.25,102,32.29,6.03,129,8
11,3,30,10,64.7,44,24.5,0,147,4
12,3,32,10,121.01,127,20.43,0,133,6
13,4,35,10,68.24,32,54.21,97.41,73,1
14,4,27,10,316.27,218,24.56,330.75,164,5
15,4,29,10,275.2,347,8.12,333.65,123,7
16,4,3,10,76.36,86,13.56,0,61,4
17,1,15,10,107.69,98,16.07,39.31,114,6
18,1,30,10,48.95,29,36.57,0,81,3
19,1,10,10,264.41,237,22.32,314.98,183,7
20,1,5,10,80.59,58,27.48,0.4,117,5
21,2,26,10,51.16,43,20.27,91.91,167,8
22,2,4,10,360.01,300,24.78,456.9,149,9
23,2,28,10,416.67,274,40.97,864.7,708,9
24,2,35,10,18.49,13,18.49,7.65,138,3
25,3,19,10,252.38,180,21.68,31.18,207,8
26,3,2,10,482.41,702,11.03,875.13,479,10
27,3,15,10,97.22,103,26.45,7.37,206,8
28,3,6,10,271.2,209,19.24,305.08,248,9
29,4,4,10,438.68,521,15.6,604.81,340,10
30,4,5,10,7.69,5,7.69,0,89,5
31,4,13,10,486.39,420,42.92,506.18,286,9
32,4,7,10,87,68,21.32,0,84,4
33,1,7,10,126.23,79,35.38,0,94,6
34,1,6,10,130.62,69,36.88,113.24,55,4
35,1,34,10,58.16,41,32.7,72.31,117,4
36,1,11,10,185.47,124,33.3,87.94,211,8
37,2,24,10,222.12,113,36.13,0,101,9
38,2,12,10,136.58,114,19.69,88.5,85,7
39,2,34,10,143.32,71,34.02,329.26,249,7
40,2,33,10,196.14,127,33.5,0,295,9
41,3,35,10,24.28,16,24.28,130.58,93,2
42,3,16,10,160.98,118,37.62,5.67,229,7
43,3,36,10,230.32,204,20.7,176.81,129,7
44,3,23,10,283.29,352,22.47,129.02,91,10
45,4,30,10,135.02,136,17.64,3.99,135,5
46,4,12,10,238.21,242,22.3,153.73,38,9
47,4,32,10,29.68,34,16.32,0,46,4
48,4,14,10,512.73,403,25.45,0,129,9
49,1,29,10,241.13,189,23.15,496.51,250,8
50,1,33,10,113.3,44,41.92,44.17,98,9
51,1,25,10,247.4,91,61.41,0,118,9
52,1,38,10,303.87,212,18.88,412.62,314,9
53,2,1,10,47.68,52,19.79,0,108,5
54,2,31,10,384.06,257,20.44,506.75,228,10
55,2,9,10,271.93,188,35.43,126.59,156,9
56,2,22,10,347.96,263,42.4,250.5,68,9
57,3,14,10,187.35,155,20.98,93.52,204,7
58,3,25,10,254.41,130,37.32,6.3,202,6
59,3,38,10,274.91,224,21.84,398.64,192,10
60,3,11,10,261.94,289,17.77,37.43,107,8
61,4,23,10,331.99,364,18.24,212.35,268,10
62,4,20,10,207.94,168,18.86,0,106,7
63,4,1,10,18.1,23,13.5,0,173,2
64,4,16,10,289.98,387,19.8,0,82,7
65,1,17,10,210.14,106,35.03,530.91,287,7
66,1,24,10,222.16,140,39.84,1.22,74,8
67,1,31,10,232.01,119,38.01,320.07,126,7
68,1,21,10,231.58,144,43.37,0,95,8
69,2,30,10,51.04,29,31.41,0,19,4
70,2,5,10,14.21,10,14.21,0,44,3
71,2,37,10,591.67,446,30.22,834.08,445,10
72,2,19,10,156.41,164,14.9,22.05,121,8
73,3,22,10,407.25,276,18.28,204.63,130,10
74,3,24,10,120.26,105,29.5,6.97,121,4
75,3,10,10,291.01,221,11.18,233.83,96,9
76,3,7,10,103.8,112,20.5,1.32,100,7
77,4,37,10,424.75,435,19.31,316.37,103,10
78,4,31,10,298.74,267,17.16,312.19,199,6
79,4,18,10,0,0,0,0,62,1
80,4,34,10,176.37,93,45.63,226.63,285,7
81,1,12,10,91.53,59,27.92,45.61,64,4
82,1,19,10,152.38,83,40.44,0,87,8
83,1,3,10,0,0,0,0,75,1
84,1,32,10,179.24,104,28.12,0,155,8
85,2,27,10,324.95,203,31.73,269.91,227,6
86,2,13,10,345.19,233,22.93,640.25,213,8
87,2,20,10,262.86,190,23.33,28.25,2,9
88,2,29,10,272.86,270,18.1,633.56,82,9
89,3,26,10,33.29,22,30.89,15.61,125,3
90,3,8,10,177.29,75,45.09,68.97,335,6
91,3,5,10,8.59,6,8.59,6.52,172,4
92,3,17,10,321.05,316,13.54,312.74,292,9
93,4,22,10,228.22,321,13.95,71.04,285,9
94,4,9,10,240.67,183,26.45,59.79,241,9
95,4,25,10,129,70,31.24,0,151,6
96,4,15,10,211.86,138,22.38,0,134,7
97,1,27,10,293.53,168,35.12,539.29,218,9
98,1,18,10,27.98,16,27.98,0,84,5
99,1,26,10,20.39,14,20.39,34.25,115,4
100,1,28,10,407.82,297,27.95,924.52,456,9
101,2,18,10,11.09,4,11.09,0,92,3
102,2,7,9,184.41,116,27.05,1.76,143,8
103,2,3,10,96.94,75,31.22,39.08,213,8
104,2,16,10,273.62,242,19.28,21.99,155,9
105,3,34,10,116.8,53,40.38,167.57,231,5
106,3,33,10,208.27,119,40.54,33.07,228,9
107,3,28,10,461.73,324,30.46,828.68,459,10
108,3,29,10,217.58,182,27.05,364.38,233,9
109,4,17,10,349.8,247,19.09,332.18,167,7
110,4,21,10,350.04,308,23.49,155.41,275,9
111,4,33,10,288.86,251,29.38,343.3,129,9
112,4,6,10,165.51,117,26.72,159.41,293,3
113,1,16,10,171.62,106,33.24,123.66,110,9
114,1,4,10,247.28,222,23.79,440.21,228,10
115,1,22,10,317.61,165,31.12,182.47,184,9
116,1,14,10,164.15,104,38.6,17.17,132,8
117,2,15,10,361.9,249,31.09,88,183,10
118,2,17,10,445.09,306,23.58,371.25,393,10
119,2,21,10,318.25,213,35.31,87.8,29,7
120,2,38,10,126.18,92,25.02,309.5,154,5
121,3,12,10,283.43,281,20.13,110.95,150,9
122,3,13,10,237.97,174,28.5,368.68,104,7
123,3,37,10,443.79,361,21.83,693.83,239,9
124,3,1,10,2.94,4,2.94,0,104,1
125,4,24,10,325.48,241,35.15,0,115,8
126,4,23,10,543,637,11.86,757.37,468,10
127,4,10,10,286.53,407,10.38,0,146,8
128,4,38,10,303.92,249,27.51,225.89,295,9
129,1,20,10,168.75,62,46.42,55.1,108,9
130,1,8,10,303.87,181,45.22,54.19,93,8
131,1,9,10,255.25,140,27.77,226.41,318,9
132,1,36,10,289.17,184,25.81,35.24,111,9
133,2,11,10,259.01,184,26.73,71.81,52,7
134,2,6,10,251.9,137,37.47,127.12,58,7
135,2,36,10,322.8,230,34.9,128.63,153,8
136,2,2,10,452.11,312,37.47,947.37,661,10
137,3,27,10,276.12,233,20.17,409.66,75,9
138,3,4,10,247.62,213,20.3,181.24,157,9
139,3,9,10,321.34,169,43.88,40.6,122,9
140,3,20,10,516.32,228,38.46,106.92,128,8
141,4,26,10,67.85,43,24.5,78.53,115,2
142,4,11,10,134.2,106,29.53,0,123,5
143,4,36,10,280.6,205,34.17,180.71,306,6
144,4,8,10,97.02,29,70.06,0,146,3
145,1,NA,10,NA,NA,NA,NA,NA,NA
146,1,NA,10,NA,NA,NA,NA,NA,NA
147,1,37,10,407.92,308,28.66,567.89,424,8
148,1,1,10,0,0,0,0,51,0
149,7,28,10,444.52,336,28.39,902.75,447,9
150,7,8,10,159.57,79,37.4,28.33,130,10
151,2,10,10,193.75,194,19.97,261.24,98,9
152,2,23,10,218.22,203,16.98,25.26,82,10
153,6,29,10,88.31,77,33.56,103.76,66,7
154,3,NA,10,NA,NA,NA,NA,NA,NA
155,3,31,10,310.84,184,25.31,172.13,95,6
