Plot,Rep,Entry,dia 1,dia 2,dia 3,dia 4,dia 5,dia 6,dia 7,dia 8,dia 9,dia 10,dia_Average,ht_pl1,ht_pl2,ht_pl3,ht_pl4,ht_pl5,ht_Average
1,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,50,40,31,32,42,30,40,32,37,30,36.4,53,51,59,53,50,53.2
3,1,23,34,28,29,30,30,33,40,10,33,42,30.9,67,50,57,58,62,58.8
4,1,13,38,NA,50,31,40,33,NA,30,50,40,39,56,61,59,56,60,58.4
5,2,32,NA,52,NA,56,32,NA,45,NA,NA,28,42.6,58,55,58,59,57,57.4
6,2,14,33,NA,20,27,31,22,30,25,20,30,26.44,63,63,69,67,58,64
7,2,25,24,17,30,NA,NA,35,NA,NA,23,28,26.17,65,74,75,72,NA,71.5
8,2,8,19,NA,26,34,36,38,30,NA,21,28,29,57,66,59,58,55,59
9,3,18,NA,NA,NA,18,NA,31,NA,NA,NA,28,25.67,18,70,55,NA,NA,47.67
10,3,21,12,29,NA,17,23,38,7,35,NA,37,24.75,45,46,62,56,57,53.2
11,3,30,NA,3,NA,NA,NA,NA,41,38,NA,19,25.25,65,55,NA,NA,NA,60
12,3,32,NA,NA,NA,NA,30,33,28,32,34,40,32.83,48,62,68,NA,NA,59.33
13,4,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4,27,7,76,74,61,32,80,NA,NA,NA,NA,55,70,62,68,65,NA,66.25
15,4,29,56,57,64,54,60,48,62,NA,NA,NA,57.29,64,67,58,61,NA,62.5
16,4,3,67,64,63,34,NA,NA,NA,NA,NA,NA,57,51,60,68,NA,NA,59.67
17,1,15,NA,45,4,34,NA,24,28,NA,NA,44,29.83,55,50,70,46,51,54.4
18,1,30,43,NA,NA,5,NA,44,NA,NA,NA,NA,30.67,67,51,NA,NA,NA,59
19,1,10,75,NA,55,NA,57,33,59,37,NA,36,50.29,68,66,53,48,47,56.4
20,1,5,NA,48,NA,NA,50,NA,1,NA,17,38,30.8,57,80,56,NA,NA,64.33
21,2,26,30,28,31,29,35,23,1,47,NA,1,25,40,53,58,60,NA,52.75
22,2,4,48,54,47,52,46,40,45,30,NA,50,45.78,69,66,64,55,73,65.4
23,2,28,44,31,40,37,NA,38,20,33,40,35,35.33,58,69,53,64,72,63.2
24,2,35,1,56,NA,NA,2,55,NA,33,NA,NA,29.4,48,62,62,NA,NA,57.33
