source,trt,block,row,plot,plant,good_sds,bad_sds,tot_sds,good_fill,tot_fill,notes
1,A,1,3,2,NA,147,NA,147,7.35,7.35,NA
1,A,2,10,5,NA,119,7,126,5.95,6.3,NA
1,A,3,11,2,NA,178,2,180,8.9,9,NA
1,A,4,16,2,NA,NA,NA,NA,NA,NA,NA
1,A,5,25,8,NA,165,NA,165,8.25,8.25,NA
1,A,6,30,5,NA,NA,NA,NA,NA,NA,NA
1,A,7,36,1,NA,155,7,162,7.75,8.1,NA
1,A,8,41,2,NA,144,NA,144,7.2,7.2,NA
1,B,1,3,2,4,190,4,194,9.5,9.7,NA
1,B,2,10,5,1,152,4,156,7.6,7.8,NA
1,B,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B,5,25,8,5,191,NA,191,9.55,9.55,NA
1,B,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B,7,36,1,2,172,NA,172,8.6,8.6,NA
1,B,8,41,2,3,180,NA,180,9,9,NA
2,A,1,4,2,NA,128,NA,128,6.4,6.4,NA
2,A,2,9,5,NA,108,NA,108,5.4,5.4,NA
2,A,3,12,7,NA,NA,NA,NA,NA,NA,NA
2,A,4,17,5,NA,114,NA,114,5.7,5.7,NA
2,A,5,25,4,NA,86,NA,86,4.3,4.3,NA
2,A,6,30,2,NA,141,NA,141,7.05,7.05,NA
2,A,7,34,5,NA,114,NA,114,5.7,5.7,NA
2,A,8,40,6,NA,135,NA,135,6.75,6.75,NA
2,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,No 2B
3,A,1,3,5,NA,188,7,195,9.4,9.75,NA
3,A,2,9,1,NA,121,NA,121,6.05,6.05,NA
3,A,3,14,6,NA,148,NA,148,7.4,7.4,NA
3,A,4,21,4,NA,123,NA,123,6.15,6.15,NA
3,A,5,24,7,NA,187,NA,187,9.35,9.35,NA
3,A,6,31,1,NA,153,NA,153,7.65,7.65,NA
3,A,7,37,6,NA,NA,NA,NA,NA,NA,NA
3,A,8,42,3,NA,190,NA,190,9.5,9.5,NA
3,B,1,3,5,4,177,NA,177,8.85,8.85,NA
3,B,2,9,1,1,185,NA,185,9.25,9.25,NA
3,B,2,9,1,4,151,NA,151,7.55,7.55,NA
3,B,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,B,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,B,6,31,1,2,188,NA,188,9.4,9.4,NA
3,B,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,B,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,A,1,1,8,NA,168,4,172,8.4,8.6,NA
4,A,2,6,6,NA,115,NA,115,5.75,5.75,NA
4,A,3,13,4,NA,147,NA,147,7.35,7.35,NA
4,A,4,20,3,NA,162,NA,162,8.1,8.1,NA
4,A,5,26,1,NA,128,NA,128,6.4,6.4,NA
4,A,6,28,6,NA,182,NA,182,9.1,9.1,NA
4,A,7,33,6,NA,191,NA,191,9.55,9.55,NA
4,A,8,40,1,NA,152,NA,152,7.6,7.6,NA
4,B,1,1,8,3,174,NA,174,8.7,8.7,NA
4,B,2,6,6,4,154,NA,154,7.7,7.7,NA
4,B,3,13,4,2,155,NA,155,7.75,7.75,NA
4,B,4,20,3,4,181,NA,181,9.05,9.05,NA
4,B,5,26,1,3,187,NA,187,9.35,9.35,NA
4,B,6,28,6,1,147,NA,147,7.35,7.35,NA
4,B,6,28,6,2,162,NA,162,8.1,8.1,NA
4,B,7,33,6,2,190,NA,190,9.5,9.5,NA
5,A,1,1,6,NA,81,NA,81,4.05,4.05,NA
5,A,2,10,7,NA,148,NA,148,7.4,7.4,NA
5,A,3,15,5,NA,164,NA,164,8.2,8.2,NA
5,A,4,18,2,NA,181,NA,181,9.05,9.05,NA
5,A,5,25,2,NA,142,NA,142,7.1,7.1,NA
5,A,6,30,1,NA,177,NA,177,8.85,8.85,NA
5,A,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,A,8,37,2,NA,111,NA,111,5.55,5.55,NA
5,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,No 5B
6,A,1,4,3,NA,97,NA,97,4.85,4.85,NA
6,A,2,6,3,NA,162,NA,162,8.1,8.1,NA
6,A,3,12,4,NA,173,NA,173,8.65,8.65,NA
6,A,4,19,4,NA,159,NA,159,7.95,7.95,NA
6,A,5,23,8,NA,160,NA,160,8,8,NA
6,A,6,29,2,NA,159,NA,159,7.95,7.95,NA
6,A,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,A,8,39,7,NA,99,NA,99,4.95,4.95,NA
6,B,1,4,3,2,174,NA,174,8.7,8.7,NA
6,B,1,4,3,4,176,NA,176,8.8,8.8,NA
