source,block,row,plot,rep,sd_wt_50_ct,num_seeds,notes
1,1,3,2,1,0.057,NA,NA
1,1,3,2,2,0.0561,NA,NA
1,1,3,2,3,0.0558,NA,NA
1,1,3,2,4,0.0565,NA,NA
1,2,10,5,1,0.0903,NA,NA
1,2,10,5,2,0.0913,NA,NA
1,2,10,5,3,0.0918,NA,NA
1,2,10,5,4,0.0889,NA,NA
1,3,11,2,1,0.0727,NA,NA
1,3,11,2,2,0.0696,NA,NA
1,3,11,2,3,0.0711,NA,NA
1,3,11,2,4,0.0709,NA,NA
1,4,16,2,1,0.0931,NA,NA
1,4,16,2,2,0.0944,NA,NA
1,4,16,2,3,0.0947,NA,NA
1,4,16,2,4,0.0937,NA,NA
1,5,25,8,1,0.07,NA,"sd_wt originally entered as 0.7, changed to 0.0700 after verifying this was a data-entry error "
1,5,25,8,2,0.0704,NA,NA
1,5,25,8,3,0.0697,NA,NA
1,5,25,8,4,0.0699,NA,NA
1,7,36,1,1,0.0749,NA,NA
1,7,36,1,2,0.0758,NA,NA
1,7,36,1,3,0.0747,NA,NA
1,7,36,1,4,0.0769,NA,NA
1,8,41,2,1,0.0717,NA,NA
1,8,41,2,2,0.0704,NA,NA
1,8,41,2,3,0.0704,NA,NA
1,8,41,2,4,0.0722,NA,NA
2,1,4,2,1,0.0685,NA,NA
2,1,4,2,2,0.0669,NA,NA
2,1,4,2,3,0.0672,NA,NA
2,1,4,2,4,0.0677,NA,NA
2,2,9,5,1,0.0795,NA,NA
2,2,9,5,2,0.0801,NA,NA
2,2,9,5,3,0.0774,NA,NA
2,2,9,5,4,0.0791,NA,NA
2,3,12,7,1,0.0677,NA,NA
2,3,12,7,2,0.0678,NA,NA
2,3,12,7,3,0.067,NA,NA
2,3,12,7,4,0.0675,NA,NA
2,4,17,5,1,0.0577,NA,NA
2,4,17,5,2,0.0553,NA,NA
2,4,17,5,3,0.0552,NA,NA
2,4,17,5,4,0.0565,NA,NA
2,5,25,4,1,0.0706,NA,NA
2,5,25,4,2,0.0712,NA,NA
2,5,25,4,3,0.0693,NA,NA
2,5,25,4,4,0.0726,NA,NA
2,6,30,2,1,0.0714,NA,NA
2,6,30,2,2,0.071,NA,NA
2,6,30,2,3,0.0699,NA,NA
2,6,30,2,4,0.0701,NA,NA
2,7,34,5,1,0.0679,NA,NA
2,7,34,5,2,0.0688,NA,NA
2,7,34,5,3,0.0687,NA,NA
2,7,34,5,4,0.0687,NA,NA
2,8,40,6,1,0.0663,NA,NA
2,8,40,6,2,0.0668,NA,NA
2,8,40,6,3,0.0668,NA,NA
2,8,40,6,4,0.067,NA,NA
3,1,3,5,1,0.1176,NA,NA
3,1,3,5,2,0.1164,NA,NA
3,1,3,5,3,0.1182,NA,NA
3,1,3,5,4,0.1186,NA,NA
3,2,9,1,1,0.0785,NA,NA
3,2,9,1,2,0.0795,NA,NA
3,2,9,1,3,0.0787,NA,NA
3,2,9,1,4,0.0796,NA,NA
3,3,14,6,1,0.0761,NA,NA
3,3,14,6,2,0.0756,NA,NA
3,3,14,6,3,0.0762,NA,NA
3,3,14,6,4,0.0757,NA,NA
3,4,21,4,1,0.0746,NA,NA
3,4,21,4,2,0.0753,NA,NA
3,4,21,4,3,0.0756,NA,NA
3,4,21,4,4,0.0749,NA,NA
3,5,24,7,1,0.0914,NA,NA
3,5,24,7,2,0.092,NA,NA
3,5,24,7,3,0.0921,NA,NA
3,5,24,7,4,0.0924,NA,NA
3,6,31,1,1,0.0844,NA,NA
3,6,31,1,2,0.0839,NA,NA
3,6,31,1,3,0.0841,NA,NA
3,6,31,1,4,0.083,NA,NA
3,7,37,6,1,0.0467,NA,NA
3,7,37,6,2,0.0468,NA,NA
3,7,37,6,3,0.0464,NA,NA
3,7,37,6,4,0.0468,NA,NA
3,8,42,3,1,0.0835,NA,NA
3,8,42,3,2,0.0829,NA,NA
3,8,42,3,3,0.0823,NA,NA
3,8,42,3,4,0.0833,NA,NA
4,1,1,8,1,0.0769,NA,NA
4,1,1,8,2,0.0767,NA,NA
4,1,1,8,3,0.0782,NA,NA
4,1,1,8,4,0.0772,NA,NA
4,2,6,6,1,0.0884,NA,NA
4,2,6,6,2,0.088,NA,NA
4,2,6,6,3,0.0894,NA,NA
4,2,6,6,4,0.0878,NA,NA
4,3,13,4,1,0.0905,NA,NA
4,3,13,4,2,0.0881,NA,NA
4,3,13,4,3,0.0894,NA,NA
4,3,13,4,4,0.0892,NA,NA
4,4,20,3,1,0.0717,NA,NA
4,4,20,3,2,0.0701,NA,NA
4,4,20,3,3,0.0685,NA,NA
4,4,20,3,4,0.0704,NA,NA
4,5,26,1,1,0.0806,NA,NA
4,5,26,1,2,0.0834,NA,NA
4,5,26,1,3,0.0807,NA,NA
4,5,26,1,4,0.0819,NA,NA
4,6,28,6,1,0.0874,NA,NA
4,6,28,6,2,0.0888,NA,NA
4,6,28,6,3,0.0877,NA,NA
4,6,28,6,4,0.0882,NA,NA
4,7,33,6,1,0.0828,NA,NA
4,7,33,6,2,0.0805,NA,NA
4,7,33,6,3,0.081,NA,NA
4,7,33,6,4,0.082,NA,NA
4,8,40,1,1,0.0935,NA,NA
4,8,40,1,2,0.0944,NA,NA
4,8,40,1,3,0.0938,NA,NA
4,8,40,1,4,0.0928,NA,NA
5,1,1,6,1,0.0814,NA,NA
5,1,1,6,2,0.0821,NA,NA
5,1,1,6,3,0.0807,NA,NA
5,1,1,6,4,0.0817,NA,NA
5,2,10,7,1,0.0718,NA,NA
5,2,10,7,2,0.0696,NA,NA
5,2,10,7,3,0.0714,NA,NA
5,2,10,7,4,0.0723,NA,NA
5,3,15,5,1,0.0837,NA,NA
5,3,15,5,2,0.0834,NA,NA
5,3,15,5,3,0.0844,NA,NA
5,3,15,5,4,0.0848,NA,NA
5,4,18,2,1,0.0995,NA,NA
5,4,18,2,2,0.0987,NA,NA
5,4,18,2,3,0.1011,NA,NA
5,4,18,2,4,0.102,NA,NA
5,5,25,2,1,0.0933,NA,NA
5,5,25,2,2,0.0934,NA,NA
5,5,25,2,3,0.0936,NA,NA
5,5,25,2,4,0.0943,NA,NA
5,6,30,1,1,0.0753,NA,NA
5,6,30,1,2,0.0767,NA,NA
5,6,30,1,3,0.077,NA,NA
5,6,30,1,4,0.0766,NA,NA
5,8,37,2,1,0.1288,NA,NA
5,8,37,2,2,0.0864,33,33 seeds
5,8,37,2,3,NA,NA,NA
5,8,37,2,4,NA,NA,NA
6,1,4,3,1,0.1236,NA,NA
6,1,4,3,2,0.1244,NA,NA
6,1,4,3,3,0.1223,NA,NA
6,1,4,3,4,0.0253,11,11 seeds
6,2,6,3,1,0.1283,NA,NA
6,2,6,3,2,0.1288,NA,NA
6,2,6,3,3,0.1264,NA,NA
6,2,6,3,4,0.1294,NA,NA
6,3,12,4,1,0.1287,NA,NA
6,3,12,4,2,0.1295,NA,NA
6,3,12,4,3,0.131,NA,NA
6,3,12,4,4,0.1289,NA,NA
6,4,19,4,1,0.1283,NA,NA
6,4,19,4,2,0.1282,NA,NA
6,4,19,4,3,0.1282,NA,NA
6,4,19,4,4,0.1299,NA,NA
6,5,23,8,1,0.1161,NA,NA
6,5,23,8,2,0.1176,NA,NA
6,5,23,8,3,0.1138,NA,NA
6,5,23,8,4,0.1141,NA,NA
6,6,29,2,1,0.1203,NA,NA
6,6,29,2,2,0.1193,NA,NA
6,6,29,2,3,0.1199,NA,NA
6,6,29,2,4,0.1205,NA,NA
6,8,39,7,1,0.1278,NA,NA
6,8,39,7,2,0.126,NA,NA
6,8,39,7,3,0.1276,NA,NA
6,8,39,7,4,0.1262,NA,NA
7,1,2,1,1,0.0796,NA,NA
7,1,2,1,2,0.079,NA,NA
7,1,2,1,3,0.0795,NA,NA
7,1,2,1,4,0.0791,NA,NA
7,2,7,3,1,0.0757,NA,NA
7,2,7,3,2,0.0763,NA,NA
7,2,7,3,3,0.0763,NA,NA
7,2,7,3,4,0.0759,NA,NA
7,3,16,4,1,0.0889,NA,NA
7,3,16,4,2,0.0902,NA,NA
7,3,16,4,3,0.0909,NA,NA
7,3,16,4,4,0.0892,NA,NA
7,4,18,7,1,0.0715,NA,NA
7,4,18,7,2,0.0718,NA,NA
7,4,18,7,3,0.0724,NA,NA
7,4,18,7,4,0.0712,NA,NA
7,5,23,5,1,0.0837,NA,NA
7,5,23,5,2,0.0836,NA,NA
7,5,23,5,3,0.0849,NA,NA
7,5,23,5,4,0.0852,NA,NA
7,7,34,4,1,0.0966,NA,NA
7,7,34,4,2,0.0969,NA,NA
7,7,34,4,3,0.0971,NA,NA
7,7,34,4,4,0.0965,NA,NA
7,8,39,1,1,0.0694,NA,NA
7,8,39,1,2,0.0712,NA,NA
7,8,39,1,3,0.0692,NA,NA
7,8,39,1,4,0.0703,NA,NA
8,1,2,6,1,0.1144,NA,NA
8,1,2,6,2,0.1137,NA,NA
8,1,2,6,3,0.1138,NA,NA
8,1,2,6,4,0.114,NA,NA
8,2,8,4,1,0.1344,NA,NA
8,2,8,4,2,0.1335,NA,NA
8,2,8,4,3,0.1334,NA,NA
8,2,8,4,4,0.1342,NA,NA
8,3,15,7,1,0.1376,NA,NA
8,3,15,7,2,0.1366,NA,NA
8,3,15,7,3,0.136,NA,NA
8,3,15,7,4,0.1377,NA,NA
8,4,19,3,1,0.1243,NA,NA
8,4,19,3,2,0.124,NA,NA
8,4,19,3,3,0.1233,NA,NA
8,4,19,3,4,0.123,NA,NA
8,5,22,5,1,0.1066,NA,NA
8,5,22,5,2,0.1081,NA,NA
8,5,22,5,3,0.1072,NA,NA
8,5,22,5,4,0.1066,NA,NA
8,6,29,6,1,0.1248,NA,NA
8,6,29,6,2,0.1244,NA,NA
8,6,29,6,3,0.124,NA,NA
8,6,29,6,4,0.1242,NA,NA
8,7,35,4,1,0.1248,NA,NA
8,7,35,4,2,0.1254,NA,NA
8,7,35,4,3,0.1253,NA,NA
8,7,35,4,4,0.1267,NA,NA
8,8,40,7,1,0.1194,NA,NA
8,8,40,7,2,0.1201,NA,NA
8,8,40,7,3,0.1206,NA,NA
8,8,40,7,4,0.1202,NA,NA
9,1,3,3,1,0.1109,NA,NA
9,1,3,3,2,0.1093,NA,NA
9,1,3,3,3,0.1106,NA,NA
9,1,3,3,4,0.1118,NA,NA
9,2,7,5,1,0.1096,NA,NA
9,2,7,5,2,0.1102,NA,NA
9,2,7,5,3,0.1094,NA,NA
9,2,7,5,4,0.1089,NA,NA
9,3,13,8,1,0.1067,NA,NA
9,3,13,8,2,0.1073,NA,NA
9,3,13,8,3,0.1076,NA,NA
9,3,13,8,4,0.1077,NA,NA
9,4,20,4,1,0.1079,NA,NA
9,4,20,4,2,0.1064,NA,NA
9,4,20,4,3,0.1072,NA,NA
9,4,20,4,4,0.107,NA,NA
9,5,27,8,1,0.1031,NA,NA
9,5,27,8,2,0.1026,NA,NA
9,5,27,8,3,0.1031,NA,NA
9,5,27,8,4,0.1024,NA,NA
9,7,37,3,1,0.0911,NA,NA
9,7,37,3,2,0.0902,NA,NA
9,7,37,3,3,0.0889,NA,NA
9,7,37,3,4,0.0908,NA,NA
9,8,42,5,1,0.1016,NA,NA
9,8,42,5,2,0.101,NA,NA
9,8,42,5,3,0.1019,NA,NA
9,8,42,5,4,0.1014,NA,NA
10,1,3,8,1,0.1141,NA,NA
10,1,3,8,2,0.1139,NA,NA
10,1,3,8,3,0.1147,NA,NA
10,1,3,8,4,0.1155,NA,NA
10,2,10,3,1,0.1142,NA,NA
10,2,10,3,2,0.1143,NA,NA
10,2,10,3,3,0.1147,NA,NA
10,2,10,3,4,0.115,NA,NA
10,3,13,6,1,0.1037,NA,NA
10,3,13,6,2,0.1024,NA,NA
10,3,13,6,3,0.1036,NA,NA
10,3,13,6,4,0.1028,NA,NA
10,4,17,4,1,0.1055,NA,NA
10,4,17,4,2,0.1061,NA,NA
10,4,17,4,3,0.1065,NA,NA
10,4,17,4,4,0.1067,NA,NA
10,5,22,8,1,0.099,NA,NA
10,5,22,8,2,0.0995,NA,NA
10,5,22,8,3,0.1003,NA,NA
10,5,22,8,4,0.1011,NA,NA
10,6,27,6,1,0.0927,NA,NA
10,6,27,6,2,0.0923,NA,NA
10,6,27,6,3,0.0934,NA,NA
10,6,27,6,4,0.0933,NA,NA
10,7,33,5,1,0.1155,NA,NA
10,7,33,5,2,0.1168,NA,NA
10,7,33,5,3,0.1159,NA,NA
10,7,33,5,4,0.1151,NA,NA
10,8,40,5,1,0.111,NA,NA
10,8,40,5,2,0.1115,NA,NA
10,8,40,5,3,0.1115,NA,NA
10,8,40,5,4,0.1124,NA,NA
11,1,3,7,1,0.1184,NA,NA
11,1,3,7,2,0.1182,NA,NA
11,1,3,7,3,0.1182,NA,NA
11,1,3,7,4,0.1178,NA,NA
11,2,11,8,1,0.1234,NA,NA
11,2,11,8,2,0.1241,NA,NA
11,2,11,8,3,0.124,NA,NA
11,2,11,8,4,0.1242,NA,NA
11,3,15,1,1,0.1262,NA,NA
11,3,15,1,2,0.127,NA,NA
11,3,15,1,3,0.127,NA,NA
