source,trt,block,row,plot,plant,num_of_stems,stem_no,fruits,abort,bds_flow,forks,diam_caps,diam_stem
1,B,1,3,2,4,18,1,57,0,24,8,5,2.13
1,B,1,3,2,4,18,2,91,4,28,12,4.95,2.6
1,B,1,3,2,4,18,3,59,1,30,9,4.9,2.2
1,B,1,3,2,4,18,4,61,0,35,10,4.84,2.51
1,B,1,3,2,4,18,5,62,0,37,12,4.88,2.55
1,B,1,3,2,4,18,6,68,1,35,10,5.01,2.73
1,B,1,3,2,4,18,7,62,2,36,10,5.01,2.55
1,B,1,3,2,4,18,8,60,1,25,9,4.98,2.03
1,B,1,3,2,4,18,9,55,1,27,8,4.49,2.37
1,B,1,3,2,4,18,10,57,2,25,9,4.61,2.38
1,B,1,3,2,4,18,11,48,3,17,7,NA,NA
1,B,1,3,2,4,18,12,68,4,32,12,NA,NA
1,B,1,3,2,4,18,13,0,0,33,11,NA,NA
1,B,1,3,2,4,18,14,1,1,32,12,NA,NA
1,B,1,3,2,4,18,15,0,0,24,9,NA,NA
1,B,1,3,2,4,18,16,2,2,23,8,NA,NA
1,B,1,3,2,4,18,17,0,0,24,7,NA,NA
1,B,1,3,2,4,18,18,0,0,20,7,NA,NA
1,B,1,3,2,4,18,19,NA,NA,NA,NA,NA,NA
1,B,1,3,2,4,18,20,NA,NA,NA,NA,NA,NA
1,B,2,10,5,1,26,1,49,3,26,10,5.1,2.52
1,B,2,10,5,1,26,2,41,4,27,9,4.98,2.48
1,B,2,10,5,1,26,3,63,3,48,12,5.16,2.95
1,B,2,10,5,1,26,4,85,2,41,14,4.98,2.88
1,B,2,10,5,1,26,5,24,24,29,10,4.42,2.83
1,B,2,10,5,1,26,6,72,2,48,12,5,2.7
1,B,2,10,5,1,26,7,60,2,35,9,5.19,2.73
1,B,2,10,5,1,26,8,56,2,48,11,4.9,2.96
1,B,2,10,5,1,26,9,64,3,33,9,4.71,2.39
1,B,2,10,5,1,26,10,67,3,54,12,4.79,3.53
1,B,2,10,5,1,26,11,39,2,51,10,NA,NA
1,B,2,10,5,1,26,12,21,2,31,8,NA,NA
1,B,2,10,5,1,26,13,45,4,31,7,NA,NA
1,B,2,10,5,1,26,14,41,22,21,11,NA,NA
1,B,2,10,5,1,26,15,15,3,33,7,NA,NA
1,B,2,10,5,1,26,16,17,2,19,4,NA,NA
1,B,2,10,5,1,26,17,20,19,26,9,NA,NA
1,B,2,10,5,1,26,18,10,3,20,4,NA,NA
1,B,2,10,5,1,26,19,24,2,30,6,NA,NA
1,B,2,10,5,1,26,20,22,2,32,7,NA,NA
1,B,5,25,8,5,28,1,77,0,16,10,4.89,2.28
1,B,5,25,8,5,28,2,67,3,12,9,4.73,2.06
1,B,5,25,8,5,28,3,45,2,14,7,4.88,1.65
1,B,5,25,8,5,28,4,81,0,9,10,4.94,2.17
1,B,5,25,8,5,28,5,58,0,8,8,4.82,1.88
1,B,5,25,8,5,28,6,66,0,10,10,4.82,1.93
