#,Date,Time,Mass / g,Sample,ID,Rep,Entry_number,Operator,Oil %,Adj factor,Adj_Oil
3,10/06/21,9:58,4.46,Source,1,1,1,AG,29.4,-0.03,29.37
4,10/06/21,10:02,4.96,Source,2,1,2,AG,23.07,-0.03,23.04
5,10/06/21,10:05,4.55,Source,3,1,3,AG,21.86,-0.03,21.83
6,10/06/21,10:08,4.58,Source,4,1,4,AG,28.41,-0.03,28.38
7,10/06/21,10:13,3.97,Source,5,1,5,AG,27.62,-0.03,27.59
8,10/06/21,10:16,4.74,Source,6,1,6,AG,26.82,-0.03,26.79
9,10/06/21,10:20,4.5,Source,7,1,7,AG,30.14,-0.03,30.11
10,10/06/21,10:23,4.81,Source,8,1,8,AG,30.69,-0.03,30.66
11,10/06/21,10:27,4.62,Source,8,2,8,AG,28.35,-0.03,28.32
12,10/06/21,10:30,4.43,Source,9,1,9,AG,27.16,-0.03,27.13
13,10/06/21,10:32,4.53,Source,10,1,10,AG,28.3,-0.03,28.27
14,10/06/21,10:34,3.43,Source,11,1,11,AG,24.75,-0.03,24.72
15,10/06/21,10:37,4.5,Source,11,2,11,AG,26.1,-0.03,26.07
16,10/06/21,10:40,4.48,Source,12,1,12,AG,28.27,-0.03,28.24
17,10/06/21,10:43,3.47,Source,13,1,13,AG,28.63,-0.03,28.6
18,10/06/21,10:45,3.54,Source,13,2,13,AG,29.29,-0.03,29.26
21,10/06/21,10:52,4.6,Source,14,1,14,AG,30.49,0.06,30.55
22,10/06/21,10:54,4,Source,15,1,15,AG,28.9,0.06,28.96
23,10/06/21,10:57,4.36,Source,15,2,15,AG,29.02,0.06,29.08
24,10/06/21,11:01,4.26,Source,16,1,16,AG,26.66,0.06,26.72
25,10/06/21,11:04,4.12,Source,16,2,16,AG,26.95,0.06,27.01
26,10/06/21,11:06,4.55,Source,17,1,17,AG,27.31,0.06,27.37
27,10/06/21,11:09,4.19,Source,17,2,17,AG,24.48,0.06,24.54
28,10/06/21,11:12,4.6,Source,18,1,18,AG,25.73,0.06,25.79
29,10/06/21,11:14,4.7,Source,19,1,19,AG,31.19,0.06,31.25
30,10/06/21,11:18,3.98,Source,20,1,20,AG,24.16,0.06,24.22
31,10/06/21,11:20,4.09,Source,20,2,20,AG,23.58,0.06,23.64
32,10/06/21,11:23,4.23,Source,21,1,21,AG,27.21,0.06,27.27
33,10/06/21,11:26,4.33,Source,21,2,21,AG,25.33,0.06,25.39
34,10/06/21,11:28,4.41,Source,22,1,22,AG,27.58,0.06,27.64
35,10/06/21,11:31,3.4,Source,23,1,23,AG,24.53,0.06,24.59
36,10/06/21,11:33,3.92,Source,23,2,23,AG,22.87,0.06,22.93
37,10/06/21,11:36,3.71,Source,24,1,24,AG,26.82,0.06,26.88
38,10/06/21,11:38,3.39,Source,24,2,24,AG,30.22,0.06,30.28
41,10/06/21,12:15,4.48,Source,25,1,25,AG,26.86,0.2,27.06
42,10/06/21,12:17,4.72,Source,25,2,25,AG,30.59,0.2,30.79
43,10/06/21,12:20,3.73,Source,26,1,26,AG,29.51,0.2,29.71
44,10/06/21,12:23,4.39,Source,26,2,26,AG,29.15,0.2,29.35
45,10/06/21,12:27,4.39,Source,27,1,27,AG,23.47,0.2,23.67
46,10/06/21,12:29,4.21,Source,27,2,27,AG,23.06,0.2,23.26
47,10/06/21,12:32,4.33,Source,28,1,28,AG,30.35,0.2,30.55
48,10/06/21,12:34,4.01,Source,29,1,29,AG,24.25,0.2,24.45
49,10/06/21,12:37,4.15,Source,29,2,29,AG,23.27,0.2,23.47
50,10/06/21,12:40,4.54,Source,30,1,30,AG,29.94,0.2,30.14
51,10/06/21,12:44,4.15,Source,31,1,31,AG,24.67,0.2,24.87
52,10/06/21,12:47,4.27,Source,31,2,31,AG,24.36,0.2,24.56
53,10/06/21,12:49,4.56,Source,32,1,32,AG,18.68,0.2,18.88
54,10/06/21,12:52,4.07,Source,33,1,33,AG,33.79,0.2,33.99
55,10/06/21,12:55,4.67,Source,33,2,33,AG,30.68,0.2,30.88
56,10/06/21,12:59,4.52,Source,34,1,34,AG,31.7,0.2,31.9
57,10/06/21,13:01,3.84,Source,35,1,35,AG,26.95,0.2,27.15
58,10/06/21,13:03,4.38,Source,35,2,35,AG,25.24,0.2,25.44
61,10/06/21,13:10,4.67,Source,36,1,36,AG,33.98,0.16,34.14
62,10/06/21,13:12,4.13,Source,37,1,37,AG,23.81,0.16,23.97
63,10/06/21,13:14,3.78,Source,37,2,37,AG,27.95,0.16,28.11
64,10/06/21,13:16,4.45,Source,38,1,38,AG,26.93,0.16,27.09
65,10/06/21,13:19,4.24,Source,39,1,39,AG,26.5,0.16,26.66
66,10/06/21,13:30,4.09,Source,40,1,40,AG,27.82,0.16,27.98
67,10/06/21,13:32,4.38,Source,40,2,40,AG,28.29,0.16,28.45
68,10/06/21,13:41,4.8,Source,41,1,41,AG,20.94,0.16,21.1
69,10/06/21,13:44,3.78,Source,42,1,42,AG,30.15,0.16,30.31
70,10/06/21,13:46,4.5,Source,42,2,42,AG,29.04,0.16,29.2
73,10/06/21,13:58,5.51,NA,Hammond_Annual_Flax,NA,NA,AG,45.83,0.11,45.94
