spname,EIV.L,EIV.N,plhtclassvalue (cm),leaf area (mm2),nla,seedmass (gr),nsm
Moehringia trinervia,4,7,24.05,120.2264435,9,0.239883292,3
Impatiens parviflora,4,6,96.05,6165.950019,3,6.918309709,5
Impatiens noli-tangere,4,6,96.05,1659.586907,1,5.370317964,2
Veronica polita,5,7,12.05,91.20108394,6,0.338844156,5
Claytonia sibirica,5,6,24.05,758.577575,1,0.891250938,10
Geranium lucidum,5,8,24.05,812.8305162,2,0.87096359,3
Lithospermum arvense,5,5,48.05,213.796209,11,5.495408739,10
Cardamine impatiens,5,8,48.05,239.8832919,1,0.26915348,3
Melampyrum pratense,5,2,48.05,467.7351413,2,6.025595861,4
Vicia sativa nigra,5,4,48.05,1122.018454,6,13.80384265,6
Lapsana communis communis,5,7,96.05,3388.441561,11,1,5
Ceratocapnos claviculata,5,6,96.05,426.5795188,3,0.794328235,2
Impatiens glandulifera,5,7,192.5,11748.97555,2,13.48962883,15
Veronica triphyllos,6,4,12.05,100,2,0.416869383,11
Veronica agrestis,6,7,12.05,125.8925412,4,0.426579519,4
Veronica persica,6,7,12.05,257.0395783,11,0.575439937,7
Aphanes arvensis,6,5,12.05,52.48074602,5,0.281838293,4
Veronica hederifolia,6,7,12.05,245.4708916,14,4.168693835,5
Scleranthus annuus,6,5,12.05,8.511380382,7,1.380384265,15
Euphorbia peplus,6,7,24.05,100,7,0.489778819,6
Anagallis arvensis arvensis,6,6,24.05,138.0384265,12,0.436515832,5
Arabidopsis thaliana,6,4,24.05,257.0395783,3,0.021379621,8
Trifolium dubium,6,4,24.05,100,5,0.398107171,14
Stellaria media,6,8,24.05,371.5352291,10,0.407380278,12
Cardamine hirsuta,6,7,24.05,269.1534804,8,0.107151931,7
Claytonia perfoliata,6,7,24.05,794.3282347,7,0.588843655,2
Euphorbia exigua,6,4,24.05,27.54228703,5,0.416869383,3
Geranium dissectum,6,5,24.05,1122.018454,11,2.570395783,5
Sherardia arvensis,6,5,24.05,16.98243652,8,1.659586907,6
Thlaspi arvense,6,6,48.05,812.8305162,5,1.096478196,5
Cardamine flexuosa,6,5,48.05,660.693448,1,0.123026877,5
Dianthus armeria,6,3,48.05,218.7761624,4,0.245470892,6
Euphorbia helioscopia,6,7,48.05,288.4031503,9,2.754228703,5
Fumaria officinalis,6,7,48.05,588.8436554,7,3.311311215,6
Fumaria parviflora,6,5,48.05,691.8309709,9,2.398832919,2
Lamium amplexicaule,6,7,48.05,398.1071706,9,0.575439937,5
Myosotis arvensis,6,6,48.05,851.1380382,9,0.309029543,6
Odontites vernus,6,5,48.05,181.9700859,10,0.204173794,6
Papaver argemone,6,5,48.05,707.9457844,4,0.165958691,2
Spergula arvensis,6,6,48.05,18.19700859,7,0.426579519,5
Valerianella rimosa,6,5,48.05,489.7788194,5,1.318256739,8
Viola arvensis,6,6,48.05,363.0780548,10,0.52480746,7
Apera spica-venti,6,5,96.05,707.9457844,5,0.169824365,2
Bromus arvensis,6,4,96.05,794.3282347,8,2.630267992,2
Fallopia dumetorum,6,7,96.05,1659.586907,5,3.311311215,4
Neslia paniculata,6,4,96.05,660.693448,9,3.715352291,5
Papaver rhoeas,6,6,96.05,2238.721139,10,0.107151931,5
Atriplex patula,6,7,96.05,912.0108394,11,1.412537545,5
Bromus commutatus,6,3,96.05,831.7637711,5,6.165950019,5
Bromus racemosus,6,5,96.05,3311.311215,1,4.265795188,3
Bromus secalinus,6,,96.05,1071.519305,5,9.120108394,6
Papaver dubium,6,5,96.05,3715.352291,10,0.123026877,7
Ranunculus arvensis,6,6,96.05,588.8436554,5,12.02264435,9
Alopecurus myosuroides,6,6,96.05,407.3802778,8,2.041737945,5
Anthriscus cerefolium,6,8,96.05,912.0108394,2,2.344228815,3
Chenopodium polyspermum,6,8,96.05,1023.292992,8,0.309029543,6
Echinochloa crus-galli,6,8,96.05,2398.832919,10,2.454708916,12
Euphorbia platyphyllos,6,5,96.05,213.796209,5,0.218776162,1
Fumaria capreolata,6,7,96.05,1023.292992,6,3.630780548,4
Persicaria lapathifolia,6,8,96.05,2691.534804,11,2.454708916,3
Persicaria maculosa,6,7,96.05,1862.087137,8,2.344228815,7
Raphanus raphanistrum raphanistrum,6,6,96.05,3715.352291,6,38.01893963,5
Stellaria neglecta,6,7,96.05,489.7788194,9,0.977237221,2
Vicia tetrasperma,6,5,96.05,186.2087137,9,3.16227766,5
Torilis japonica,6,8,192.5,4786.300923,8,1.737800829,13
Avena fatua,6,7,192.5,2754.228703,10,21.87761624,5
Montia fontana chondrosperma,7,4,1,13.80384265,4,0.316227766,2
Limosella aquatica,7,3,6.05,25.11886432,3,0.016595869,6
Ornithopus perpusillus,7,2,6.05,181.9700859,3,1,2
Spergularia marina,7,6,6.05,29.51209227,5,0.058884366,5
Spergularia rubra,7,4,6.05,19.498446,6,0.028183829,6
Ajuga chamaepitys,7,2,12.05,97.7237221,4,1.202264435,1
Aphanes australis,7,4,12.05,45.70881896,5,0.144543977,4
Kickxia elatine,7,3,12.05,436.5158322,12,0.34673685,5
Portulaca oleracea,7,7,12.05,269.1534804,7,0.079432823,12
Stellaria pallida,7,4,12.05,16.21810097,6,0.117489755,3
Chenopodium vulvaria,7,9,24.05,181.9700859,8,0.501187234,15
Glaucium corniculatum,7,4,24.05,1380.384265,5,0.588843655,6
Lamium purpureum,7,7,24.05,602.5595861,8,0.691830971,4
Trifolium aureum,7,2,24.05,389.045145,8,0.301995172,5
Valerianella locusta,7,6,24.05,309.0295433,6,0.660693448,5
Veronica arvensis,7,5,24.05,79.43282347,14,0.114815362,7
Poa annua,7,8,24.05,117.4897555,11,0.28840315,3
Arnoseris minima,7,3,24.05,1230.268771,3,0.34673685,2
Asperula arvensis,7,3,24.05,42.65795188,4,5.754399373,4
Asperugo procumbens,7,9,24.05,758.577575,2,2.454708916,1
Calendula arvensis,7,6,24.05,380.1893963,8,3.16227766,5
Digitaria ischaemum,7,3,24.05,154.8816619,4,0.446683592,5
