;TraitIdentifierAccordingToTop-thesaurus.org;NA;TOP112;NA;TOP293;TOP25;TOP50;TOP45;NA;TOP935;TOP76;NA;NA;TOP69;TOP452;TOP462;TOP491;TOP501;TOP713;TOP723;NA;NA;NA
Abbreviated Species Name;Species name according to Daphne phylogenetic tree (Durka & Michalski 2012) ;Seed number;Seed mass;Reproductive mass;Onset of seed ripening;Leaf area;Specific leaf area;Leaf dry matter content;Specific stem length;Specific root length;Plant leaf dry mass;Plant stem dry mass;Plant root and rhizome dry mass;Plant height vegetative;Leaf carbon concentration per mass;Leaf nitrogen concentration per mass;Stem carbon concentration per mass;Stem nitrogen concentration per mass;Root carbon concentration per mass;Root nitrogen concentration per mass;Leaf mass fraction;Stem mass fraction;Below-ground mass fraction
;;n;mg;mg;Julian day;mm²;mm² mg-1;mg g-1;mm mg-1;mm mg-1;mg;mg;mg;cm;%;%;%;%;%;%;Proportion;Proportion;Proportion
Spec_short4;Spec_Daphne;SN;SM;RepM;ONSET;LA;SLA;LDMC;SSL;RSL;LBM;SBM;BlBM;CH;LCC;LNC;SCC;SNC;RCC;RNC;LBMVegfrac;SBMVegfrac;BlBMVegfrac
Achi_mill;Achillea_millefolium;351.30;0.09;36.09;252.76;389.45;11.30;379.95;1.29;25.36;204.74;717.57;339.91;32.64;43.77;1.99;45.39;0.54;43.90;0.97;0.16;0.57;0.27
Agro_capi;Agrostis_capillaris;601.48;0.05;31.23;222.18;187.87;29.34;345.98;5.33;35.03;32.75;135.16;57.33;26.81;43.37;1.78;43.33;0.69;43.02;0.94;0.14;0.59;0.27
Agro_stol;Agrostis_stolonifera;353.73;0.04;13.18;219.42;207.66;30.44;363.69;3.57;105.87;50.17;233.36;79.44;31.08;42.33;2.01;43.31;0.61;34.74;0.85;0.13;0.58;0.29
Alop_geni;Alopecurus_geniculatus;101.94;0.23;22.67;184.38;118.90;27.76;274.56;5.87;49.87;70.76;194.47;159.66;19.17;42.89;2.30;43.16;1.11;35.29;1.16;0.11;0.50;0.39
Alop_prat;Alopecurus_pratensis;54.74;0.74;29.39;207.12;985.49;24.46;252.42;2.36;36.19;172.99;672.02;349.42;57.41;42.56;1.44;43.47;0.83;41.24;0.81;0.14;0.60;0.26
Anth_odor;Anthoxanthum_odoratum;53.25;0.25;13.68;164.85;154.43;32.62;251.83;6.24;126.72;22.38;79.93;201.02;32.62;48.74;2.78;45.17;0.84;45.44;0.91;0.13;0.51;0.36
Anth_vuln;Anthyllis_vulneraria;80.20;3.25;260.89;161.75;703.67;24.66;168.85;3.04;3.76;555.15;693.75;112.09;24.25;42.61;3.26;45.04;1.53;45.62;1.48;0.40;0.51;0.09
Arme_mari;Armeria_maritima;114.63;0.43;35.36;192.29;68.34;17.68;273.75;3.94;27.41;353.11;197.30;279.73;5.88;44.32;1.62;44.40;1.28;44.11;1.26;0.38;0.19;0.44
Arrh_elat;Arrhenatherum_elatius;1057.75;1.25;1424.30;199.45;596.42;22.07;291.81;2.61;12.33;238.19;720.11;98.25;74.52;44.69;2.33;43.73;0.78;45.07;0.94;0.23;0.67;0.10
Arte_mari;Artemisia_maritima;633.73;0.62;555.36;251.03;208.48;13.35;273.93;0.66;17.75;675.61;1765.65;1528.13;33.25;45.75;1.95;47.10;0.85;44.49;1.29;0.22;0.47;0.31
Aste_trip;Aster_tripolium;2099.88;0.93;2704.34;246.33;663.92;16.74;157.70;0.60;15.21;1174.96;10074.12;3168.29;60.84;39.69;1.78;40.38;0.64;38.86;0.82;0.12;0.64;0.24
Atri_litt;Atriplex_littoralis;1473.85;3.66;6645.90;232.05;494.57;15.27;285.71;0.69;10.63;509.12;17259.26;3377.80;70.13;36.97;1.63;43.68;0.78;42.32;0.70;0.03;0.76;0.21
Atri_pros;Atriplex_prostrata;614.95;2.44;1412.16;243.09;815.84;18.58;153.13;1.51;26.54;2354.47;9519.62;498.57;42.07;36.16;1.47;42.01;0.73;43.41;0.88;0.23;0.68;0.08
Brac_pinn;Brachypodium_pinnatum;83.85;2.73;229.19;161.20;769.15;29.68;264.37;4.55;13.80;175.72;230.12;724.69;32.60;45.30;2.43;44.80;0.92;52.48;0.59;0.22;0.24;0.54
Briz_medi;Briza_media;2504.00;0.40;1004.41;161.60;249.17;28.90;208.65;5.23;183.61;92.16;351.77;729.49;29.00;50.27;1.07;43.33;0.70;39.28;0.91;0.05;0.35;0.60
Brom_erec;Bromus_erectus;74.87;4.49;335.85;161.80;449.87;21.02;277.66;2.18;15.34;279.44;836.43;4596.79;26.00;46.46;1.83;51.79;0.86;42.52;0.60;0.07;0.20;0.73
Cala_cane;Calamagrostis_canescens;2450.38;0.08;210.23;224.33;986.77;19.20;561.81;2.22;10.79;223.17;1143.88;192.82;98.32;43.25;0.67;45.18;0.37;44.75;0.65;0.16;0.73;0.11
Cala_epig;Calamagrostis_epigejos;1324.72;0.07;104.89;203.50;772.11;10.13;618.83;0.66;9.94;252.70;1935.55;224.86;91.88;41.53;1.46;46.67;0.55;42.88;0.61;0.10;0.80;0.10
Calt_palu;Caltha_palustris;1683.00;1.03;1725.58;150.50;3705.53;25.95;141.13;2.44;2.22;1063.25;404.98;2208.03;20.75;46.13;2.98;29.79;0.80;42.42;0.48;0.29;0.11;0.60
Caps_burs;Capsella_bursa-pastoris;20781.00;0.10;2047.25;152.00;211.17;34.82;177.85;2.90;4.63;241.72;319.79;95.13;24.71;43.45;3.58;43.45;1.66;45.27;1.02;0.37;0.46;0.16
