Species	Day_95%	Day_75%	Day_50%	Day_05%	Senescence_date	Senescence_pace	Senescence_shape	Senescence_asynchrony
Acorus calamus	212	243	267	295	267	0.012	0.6751	9.5
Aconitum lycoctonum	203	271	298	325	298	0.0082	1.258	14.15
Actaea spicata	162	181	195	215	195	0.0189	0.5008	17.08
Adoxa moschatellina	140	156	167	183	167	0.0233	0.5232	5.42
Agrimonia eupatoria	235	265	286	312	286	0.013	0.6737	8.36
Agropyron pectinatum	147	179	211	273	211	0.0079	0.0317	15.41
Achillea collina	138	167	185	214	185	0.0132	0.4829	15.88
Achillea millefolium	138	163	179	203	179	0.0154	0.5355	43.66
Achillea nobilis	176	208	227	251	227	0.0133	0.7538	18.51
Achillea pannonica	164	192	218	267	218	0.0097	0.0972	62.74
Achillea ptarmica	241	285	310	340	310	0.0101	0.8329	25.04
Ajuga genevensis	121	156	173	194	173	0.0137	0.9067	14.79
Alchemilla monticola	175	201	231	278	231	0.0097	0.1752	48.98
Alliaria petiolata	122	144	159	180	159	0.0172	0.5664	12.86
Alisma plantago-aquatica	194	253	273	299	273	0.0095	1.1114	4.99
Allium oleraceum	117	143	165	191	165	0.0135	0.6131	29.02
Allium senescens	226	274	308	346	308	0.0083	0.7691	11.47
Allium ursinum	121	143	160	189	160	0.0147	0.2963	15.09
Alopecurus pratensis	162	182	200	228	200	0.0152	0.3054	27.83
Althaea officinalis	271	294	310	334	310	0.0159	0.4855	0.71
Anchusa officinalis	170	191	207	229	207	0.0169	0.5199	27.13
Anemone ranunculoides	107	124	135	151	135	0.0227	0.5596	0.98
Anemone sylvestris	183	289	320	350	320	0.006	1.5188	14.79
Anthericum liliago	162	216	245	279	245	0.0085	0.8925	42.63
Anthoxanthum odoratum	107	128	145	170	145	0.0159	0.4187	12.34
Aquilegia vulgaris	169	187	201	220	201	0.0196	0.5213	13.92
Arenaria grandiflora	208	258	280	313	280	0.0095	0.7802	49.49
Aristolochia clematitis	181	215	237	263	237	0.0122	0.7673	36.53
Armeria elongata ssp. elongata	208	276	414	NA	414	0.0024	NA	20.45
Arrhenatherum elatius	154	180	200	229	200	0.0133	0.4613	19.3
Artemisia pontica	209	287	311	337	311	0.0078	1.3669	8.91
Asperula tinctoria	229	311	335	365	335	0.0074	1.2622	15.67
Aster amellus	295	318	335	362	335	0.0149	0.393	10.44
Astragalus glycyphyllos	179	211	235	264	235	0.0118	0.6581	58.13
Aurinia saxatilis	141	183	226	308	226	0.006	0.0359	139.36
Betonica officinalis	177	210	251	310	251	0.0075	0.2265	33.28
Bistorta officinalis	160	186	204	232	204	0.0139	0.452	51.78
Bothriochloa ischaemum	235	274	314	356	314	0.0083	0.6318	32.9
Brachypodium sylvaticum	165	195	212	239	212	0.0135	0.5543	41.3
Briza media	114	145	168	199	168	0.0118	0.555	18.07
Bromus benekenii	178	195	211	241	211	0.0159	0.0953	80.35
Bromus erectus	147	167	185	221	185	0.0135	0.0541	50.95
Bromus inermis	167	218	254	300	254	0.0075	0.6373	27.01
Calamagrostis arundinacea	112	156	185	215	185	0.0097	0.8893	40.06
Calamagrostis epigejos	160	180	198	227	198	0.0149	0.2703	11.17
Caltha palustris	192	209	221	239	221	0.0213	0.4769	NA
Calamagrostis villosa	165	184	199	225	199	0.0167	0.2683	37.9
Carex brizoides	144	185	219	304	219	0.0063	-0.1252	41.44
Carex digitata	211	319	446	NA	446	0.0021	NA	57.06
Lepidium draba	143	166	181	201	181	0.0172	0.6419	5.54
Carex flacca	153	171	186	210	186	0.0175	0.3185	11.21
Carex hirta	133	153	169	191	169	0.0172	0.4925	10.07
Carex leporina	135	163	180	208	180	0.0137	0.4745	14.44
Carex melanostachya	163	185	202	227	202	0.0156	0.4447	12.64
Carex michelii	136	155	171	195	171	0.0169	0.3773	5
Carex spicata	171	227	263	306	263	0.0074	0.7606	56.66
Carex pilosa	196	234	281	370	281	0.0057	-0.046	114.29
Carex remota	153	173	192	229	192	0.0132	0.0526	17.9
Carex tomentosa	135	149	164	190	164	0.0182	0.1092	21.81
Carex vulpina	141	162	183	216	183	0.0133	0.2412	34.92
Cirsium acaulon	185	237	292	331	292	0.0068	1.0093	9.95
Cirsium canum	193	253	275	300	275	0.0093	1.1878	7.23
Circaea lutetiana	221	251	269	292	269	0.0141	0.7357	16.04
Cirsium oleraceum	191	235	275	314	275	0.0081	0.7673	30.39
Cladium mariscus	250	286	397	NA	397	0.0034	NA	NA
Clematis vitalba	238	273	305	345	305	0.0093	0.5158	18.01
Clematis recta	238	279	301	326	301	0.0114	0.9243	4.69
Colchicum autumnale	143	159	170	186	170	0.0233	0.5232	3.51
Comarum palustre	227	285	300	320	300	0.0108	1.2947	21.25
Convallaria majalis	218	251	271	297	271	0.0127	0.7122	26.1
Corynephorus canescens	132	168	186	209	186	0.013	0.8535	29.01
Coronilla vaginalis	176	199	217	241	217	0.0154	0.5355	25.86
Cruciata verna	184	215	238	263	238	0.0127	0.7701	67.02
Cynosurus cristatus	139	164	182	217	182	0.0128	0.2059	21.61
Dactylis glomerata	150	180	202	231	202	0.0123	0.5839	22.5
Dentaria bulbifera	124	145	162	185	162	0.0164	0.5021	14.68
Deschampsia cespitosa	174	192	212	250	212	0.0132	0	53.12
Dianthus armeria	169	199	220	245	220	0.0132	0.7129	23.37
Dianthus carthusianorum	191	243	287	330	287	0.0072	0.8031	52.69
Dianthus gratianopolitanus	160	179	194	214	194	0.0185	0.5306	110.77
Digitalis grandiflora	188	272	305	343	305	0.0065	1.1246	14.4
Echium vulgare	192	212	228	252	228	0.0167	0.4055	26.77
Elymus hispidus	164	185	205	243	205	0.0127	0.076	33.14
Epilobium hirsutum	270	303	319	340	319	0.0143	0.8473	11.16
Euphorbia cyparissias	151	175	190	213	190	0.0161	0.5281	5.97
Euphorbia lucida	186	238	274	306	274	0.0083	1.0116	51.17
Festuca arundinacea	212	298	330	400	330	0.0053	0.5222	83.59
Festuca gigantea	187	209	230	261	230	0.0135	0.3272	45.17
Festuca heterophylla	121	168	193	226	193	0.0095	0.7802	33.19
