Grassland,Year,LDMC,[N],ANP
type,measured,(%),(mg/g),(g/m2)
mixture,2016,20.75,21.2,313.37
mixture,2016,21.69,18.01,264.18
mixture,2016,20.43,19.31,260.92
mixture,2016,20.47,20.88,263.91
mixture,2016,17.15,22.56,297.42
mixture,2016,15.06,23.01,331.28
mixture,2016,15.6,18.6,309.31
mixture,2016,17.41,22.43,314.21
mixture,2016,18.36,21.68,299.62
mixture,2016,15.98,25.13,340.05
mixture,2016,14.75,25.85,356.73
mixture,2016,16.15,25.72,350.81
mixture,2016,17.81,24.02,292.19
mixture,2016,11.42,23.92,442.88
mixture,2016,17.53,19.83,343.37
mixture,2016,11.9,18.17,343.71
mixture,2016,16.72,17.44,317.92
mixture,2016,11.47,18.97,361.54
mixture,2016,9.36,19.83,365.19
mixture,2016,15.65,16.37,278.16
mixture,2016,19.46,16.79,247.48
mixture,2016,11.03,20.58,371.11
mixture,2016,10.77,20.97,386.32
mixture,2016,14.1,21.49,325.89
mixture,2016,13.8,22.84,358.17
mixture,2016,13.55,22.64,397.61
mixture,2016,14.94,20.01,309.51
mixture,2016,20.53,17.07,245.74
mixture,2016,14.32,20.74,303.76
mixture,2016,19.07,19.29,309.62
mixture,2016,19.1,20.25,267.29
mixture,2016,22.95,19.22,211.09
mixture,2016,30.9,15.01,184.87
mixture,2016,29.64,16.65,182.17
mixture,2016,22.1,19.74,213
mixture,2016,22.28,17.44,230.29
mixture,2016,25.86,16.8,222.63
mixture,2016,13.78,21.57,364.46
mixture,2016,19.41,20.73,307.86
mixture,2016,17.09,21.26,339.37
mixture,2016,18.39,21.68,270.26
mixture,2016,18.57,21.06,244.35
mixture,2016,17.76,21.49,319.95
mixture,2016,17.31,20.3,313.48
mixture,2016,18.22,20.78,298.92
mixture,2016,27.52,16.53,225.93
mixture,2016,27.16,18.89,236.3
mixture,2016,21.47,19.08,263.29
mixture,2016,20.39,18.61,265.51
mixture,2016,21.21,19.31,241.5
mixture,2016,21.01,22.54,272.26
mixture,2016,20.67,19.26,298.92
mixture,2016,17.39,19.29,321.45
mixture,2016,26.96,18.01,196.75
mixture,2016,23.74,18.73,214.08
mixture,2016,19.26,18.28,251.57
mixture,2016,25.66,15.78,215.73
mixture,2016,11.38,15.68,341.08
mixture,2016,13.35,18.52,371.23
mixture,2016,16.36,17.4,351.28
mixture,2016,19.69,18.33,320.16
mixture,2016,17.22,20.68,352.81
mixture,2016,18.87,18.86,317.6
mixture,2016,16.78,19.89,339.94
mixture,2016,18.2,21.45,402.3
mixture,2016,24.83,17.11,212.22
