run.nr,line,habitat,watering,fertilization,WFtreatment,Bar.con,Bry.arg,Did.top,Did.vin,Fis.cur,Fis.sub,Bry.ery,Bry.gem,Pha.cus,Bry.sp,Ric.sp,Ros.sp,Syn.pri,Tor.mur,Wei.con,sr.tall (sp/m2),sr.short (sp/m2),sr.bryo(sp/0.09m2),cover.tall%,cover.short%,cover.bryo%,biomass+litter(g/0.0625m2)
38,2,Harshserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,70.2,9.5,0,7.385
40,2,Harshserp,unwatered,fertilized,F,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3,1,70,6.9,1,7.285
44,2,Harshserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,45.5,5.5,0,34.055
45,3,Harshserp,unwatered,fertilized,F,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,9,2,1,67.3,1.1,2,49.72
49,3,Harshserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,62.3,1.3,0,20.91
53,3,Harshserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,43,2.7,0,23.68
59,4,Harshserp,unwatered,fertilized,F,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,1,1,57.3,5,3,12.165
66,4,Harshserp,unwatered,fertilized,F,0,0.5,0,0.1,0,0,0,0,0,2,0,0,2,0,0,19,2,4,47.1,17,4.6,15.275
101,6b,Harshserp,unwatered,fertilized,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,24.7,3,0,20.18
118,7b,Harshserp,unwatered,fertilized,F,0,0,0,0,0,0.1,0,0,0,0,0,0.01,0,0,0,6,1,2,63.5,3,0.11,54.105
16,2,Harshserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,27.7,1.9,0,9.955
20,2,Harshserp,unwatered,unfertilized,C,0,0,0.8,0,0,0,0,0,0,0,0.2,0,0,0,0,10,1,2,27.8,25,1,32.3
42,2,Harshserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,12.7,20.9,0,2.795
47,3,Harshserp,unwatered,unfertilized,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,55,16.3,0,12.04
52,3,Harshserp,unwatered,unfertilized,C,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,4,1,45.6,6.6,1,9.805
57,4,Harshserp,unwatered,unfertilized,C,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,3,1,26.6,15.3,10,5.485
62,4,Harshserp,unwatered,unfertilized,C,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,14,5,1,33,5.5,2.5,7.19
64,4,Harshserp,unwatered,unfertilized,C,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,10,4,1,44.3,32.2,0.5,12.065
