,genus_species,species_code,site,length_growth,diameter_growth,max_ht,leaf_area_sapwood_area,Ks,leaf_size,wood_density,Aarea,leaf_N,MOE,LMA,leaf_SWC,dia_40cm,measured_ht,length_growth_sd,diameter_growth_sd,Ks_sd,leaf_size_sd,wood_density_sd,Aarea_sd,LMA_sd,leaf_SWC_sd,measured_ht_sd,site_description,trait_descriptions
1,Acacia dealbata,AcaDea,Bothwell,11.36153846,1.658461538,6,1.215572014,2.14,0.026,0.61,11.65,25.18095238,2793.757,83.2,130.1,6.853107417,2.923076923,9.515310288,1.180574852,1.718718563,44.52025933,0.025238859,3.882234254,19.78869752,6.557789791,0.663518206,cool-temperate,length_growth = increase in shoot length (mm / yr)
2,Acacia flavescens,AcaFla,Princess Hills,70.76666667,8.906,16,0.698726791,5.78,45.94,0.73,15.2,20.8005,5268.74,182.7,138.1,6.479145299,7.0520336,33.75030556,4.151108475,2.229822919,14.8543174,0.027073973,2.695922848,11.93877254,4.078008124,2.956834889,tropical,diameter_growth = increase in diameter (mm / yr)
3,Allocasuarina littoralis,AllDis,Kuringgai,13.38125,1.665,12,0.539277478,2.63,0.717,0.69,13.33,13.0842,6038.056,242,93.3,4.644761905,2.64875,5.222685228,0.906195513,0.670089695,0.300154627,0.054243279,3.062306271,41.97483315,9.166442274,0.346114143,warm-temperate,max_ht = maximal attainable height of the species
4,Allocasuarina torulosa,AllTor,Princess Hills,50.0375,4.66375,15,0.423841984,4.32,0.7,0.8,5.37,10.69,6285.194,264.4,96,5.234788732,5.692155481,24.66683459,2.243395104,1.571445927,0.336471841,0.005291503,1.978812775,27.11312499,3.116697513,0.868146333,tropical,leaf_area_sapwood_area = fresh leaf area divided by sapwood cross-sectional area measured on 1-cm diameter shoot (m2 / cm2)
5,Aotus ericoides,AotEri,Bothwell,7.2,0.461428571,1.1,0.135974216,0.35,0.059,0.75,13.637,14.74285714,7230.718,151.2,143.5,3.217888889,0.6840625,4.073045189,0.284524316,0.098563178,0.00742967,0.052115257,4.296444218,19.74195737,38.58640883,0.236216488,cool-temperate,Ks = sapwood-specific conductivity (kg / m / s / MPa)
6,Banksia ericifolia,BanEri,Kuringgai,9.833333333,0.842333333,5,0.613627062,NA,0.191,0.64,16.72,8.3572,6801.484,202.6,107.1,4.967943925,2.159833333,6.957302972,0.580272277,NA,0.024490815,0.023501773,5.639119107,19.51274598,6.811609109,0.214468751,warm-temperate,leaf_size = size of a single fresh leaf (cm2)
7,Banksia marginata,BanMar,Bothwell,22.87857143,3.021071429,6,0.384703298,2.31,1.147,0.58,17.032,10.0952381,2523.574,166.3,124.6,7.113837838,5.98125,10.43616591,1.359954881,0.755064103,0.333248856,0.069973805,2.744140066,24.11430041,17.48665601,1.295746246,cool-temperate,wood_density = the fresh xylem density (unitless)
8,Banksia serrata,BanSer,Kuringgai,6.593333333,1.266333333,8,0.222243689,1.78,26.291,0.64,16.41,6.4552,2743.134,262.1,95.6,9.149967105,3.024375,3.786539823,0.65492002,0.72960969,5.24843551,0.082609019,3.420260151,18.74444406,4.373677632,0.599474423,warm-temperate,Aarea = maximal light-saturated net CO2 assimilation rate (micro-moles / m2 / s)
9,Boronia ledifolia,BorLed,Kuringgai,6.561538462,0.222307692,1.5,NA,NA,0.517,0.75,NA,NA,NA,189.7,NA,2.481142857,0.80825,2.509266874,0.192916844,NA,NA,NA,NA,NA,NA,0.106572354,warm-temperate,leaf_N = dry leaf nitrogen concentration (mg / g)
10,Bossiaea cinerea,BosCin,Bothwell,4.465,0.286071429,1.1,0.454743908,0.82,0.184,0.86,6.161,19.25714286,9612.494,108.8,119.3,3.218937008,0.959566667,6.061519704,0.258862882,0.443203452,0.023285188,0.039068316,2.719032585,12.43829991,7.273420872,0.136100523,cool-temperate,MOE = modulus of elasticity (MPa)
