species,Functional_Group,SLA_cm2_g,LDMC_g_g,SRL_m_g,RDMC_g_g,RTD_g_cm3,rootDiam_mm,TLP_MPa,OtherDataSource
Allium textile,F,101.8584196,0.135925364,NA,0.093924312,NA,0.2355,-1.16316224,"RDMC and rootDiam from Ft. Keogh and Sheep Station; SLA, LDMC, and TLP from HPGRS"
Aristida longiseta,G,123.3272463,0.458294835,34.12373259,0.423146783,0.333290121,0.352488889,-2.48276,
Bouteloua gracilis,G,125.5501051,0.480014021,53.33315038,0.431366991,0.452592534,0.242083333,-2.8226,
Bouteloua dactyloides,G,183.2585689,0.476164258,55.28145129,0.47076476,0.441907025,0.23835,-3.32916,
Carex eleocharis,G,110.0503329,0.40284305,NA,NA,NA,NA,-2.82836,
Chrysopsis villosa,F,125.3067938,0.328382588,78.36229462,0.223368438,0.250911372,0.255842857,-2.04692,
Gaura coccinea,F,137.561965,0.290132473,126.725109,0.219619534,0.200571177,0.2396,-1.85236,
Leucocrinum montanum,F,128.993713,0.200853881,33.40887785,0.095918946,0.118902182,0.595642857,-1.94036,
Oenothera coronopifolia,F,87.39339585,0.243119051,72.47169235,0.217542608,NA,0.3129,-1.464458048,all traits from HPGRS
Schedonnardus paniculatus,G,256.719794,0.370422101,NA,0.359951637,NA,NA,-3.2349424,
Elymus elymoides,G,109.9009501,0.366333399,NA,0.405912706,NA,0.1263,-2.04116,"RDMC, RTD, SRL, and rootDiam from Ft. Keogh, Sheep Station, and Hays "
Sphaeralcea coccinea,F,102.8873489,0.335130805,59.54407925,0.318477075,0.321125477,0.284357143,-2.47636,
Sporobolus cryptandrus,G,115.5298265,0.403268455,56.44736621,0.390625709,0.580593484,0.219983333,-2.438216,
Hesperostipa comata,G,93.84573962,0.470117945,NA,0.283476854,NA,NA,-2.822216,RDMC from Ft. Keogh and Sheep Station
Thelesperma filifolium,F,137.3905805,0.181424513,124.2614472,0.153499339,0.185059114,0.238266667,-1.97108,
Vicia americana,F,184.4874555,0.240837117,NA,0.436462585,NA,NA,-2.8947248,all traits from Hays
