species,quad,year_t,trackID,x_t,y_t,survives_tplus1,nearEdge_t
Sphaeralcea coccinea,gzgz_11,1999,1,0.838439139,0.062218766,1,FALSE
Sphaeralcea coccinea,gzgz_11,2000,2,0.676852699,0.37619107,1,FALSE
Sphaeralcea coccinea,gzgz_11,2000,1,0.84530797,0.067051005,1,FALSE
Sphaeralcea coccinea,gzgz_11,2001,2,0.667509367,0.371923968,1,FALSE
Sphaeralcea coccinea,gzgz_11,2001,1,0.842447316,0.061359966,0,FALSE
Sphaeralcea coccinea,gzgz_11,2002,2,0.677669553,0.367665401,1,FALSE
Sphaeralcea coccinea,gzgz_11,2002,3,0.218685357,0.134785542,1,FALSE
Sphaeralcea coccinea,gzgz_11,2003,3,0.2309,0.145099997,1,FALSE
Sphaeralcea coccinea,gzgz_11,2003,2,0.677599999,0.377699997,1,FALSE
Sphaeralcea coccinea,gzgz_11,2004,5,0.589600001,0.996899999,0,TRUE
Sphaeralcea coccinea,gzgz_11,2004,3,0.214600002,0.1474,1,FALSE
Sphaeralcea coccinea,gzgz_11,2004,4,0.5456,0.487699999,0,FALSE
Sphaeralcea coccinea,gzgz_11,2005,3,0.216999999,0.14535,1,FALSE
Sphaeralcea coccinea,gzgz_11,2005,2,0.664399999,0.391000002,1,FALSE
Sphaeralcea coccinea,gzgz_11,2006,3,0.217600001,0.147000002,0,FALSE
Sphaeralcea coccinea,gzgz_11,2006,7,0.4759,0.959,1,TRUE
Sphaeralcea coccinea,gzgz_11,2006,6,0.5283,0.190700002,1,FALSE
Sphaeralcea coccinea,gzgz_11,2007,8,0.208599997,0.392199999,0,FALSE
Sphaeralcea coccinea,gzgz_11,2007,2,0.6744,0.394449998,1,FALSE
Sphaeralcea coccinea,gzgz_11,2007,7,0.461350001,0.9557,1,TRUE
Sphaeralcea coccinea,gzgz_11,2008,2,0.660159678,0.375169888,1,FALSE
Sphaeralcea coccinea,gzgz_11,2008,10,0.132145679,0.422199472,0,FALSE
Sphaeralcea coccinea,gzgz_11,2008,9,0.848278023,0.076196083,1,FALSE
Sphaeralcea coccinea,gzgz_11,2008,6,0.528232524,0.179416866,0,FALSE
Sphaeralcea coccinea,gzgz_11,2008,7,0.466238978,0.917231684,1,FALSE
Sphaeralcea coccinea,gzgz_11,2009,13,0.198320313,0.832105996,0,FALSE
Sphaeralcea coccinea,gzgz_11,2009,9,0.838375791,0.058861536,0,TRUE
Sphaeralcea coccinea,gzgz_11,2009,2,0.671510326,0.362253295,1,FALSE
Sphaeralcea coccinea,gzgz_11,2009,12,0.301473512,0.626810906,0,FALSE
Sphaeralcea coccinea,gzgz_11,2009,11,0.343847227,0.224715696,0,FALSE
Sphaeralcea coccinea,gzgz_11,2009,7,0.490587704,0.927168748,1,FALSE
Sphaeralcea coccinea,gzgz_19,1997,2,0.078072497,0.189965914,0,FALSE
Sphaeralcea coccinea,gzgz_19,1997,1,0.613026875,0.056375141,1,FALSE
Sphaeralcea coccinea,gzgz_19,1997,5,0.555535018,0.762574989,0,FALSE
Sphaeralcea coccinea,gzgz_19,1997,3,0.326766679,0.338274894,1,FALSE
Sphaeralcea coccinea,gzgz_19,1997,4,0.015542597,0.516463711,0,TRUE
Sphaeralcea coccinea,gzgz_19,1997,9,0.61599105,0.977601818,0,TRUE
Sphaeralcea coccinea,gzgz_19,1997,8,0.652712741,0.970118122,0,TRUE
Sphaeralcea coccinea,gzgz_19,1997,6,0.525866312,0.872416191,0,FALSE
Sphaeralcea coccinea,gzgz_19,1997,7,0.040195359,0.945748564,1,TRUE
Sphaeralcea coccinea,gzgz_19,1998,3,0.316515416,0.349028167,1,FALSE
Sphaeralcea coccinea,gzgz_19,1998,7,0.060177143,0.944943528,1,FALSE
Sphaeralcea coccinea,gzgz_19,1998,1,0.597645452,0.062191529,1,FALSE
Sphaeralcea coccinea,gzgz_19,1998,10,0.679221073,0.726770811,0,FALSE
Sphaeralcea coccinea,gzgz_19,1998,12,0.021352734,0.870624464,0,TRUE
Sphaeralcea coccinea,gzgz_19,1998,11,0.029315274,0.768207039,0,TRUE
Sphaeralcea coccinea,gzgz_19,2000,3,0.314775198,0.337657252,1,FALSE
Sphaeralcea coccinea,gzgz_19,2000,7,0.04359,0.94633936,1,TRUE
Sphaeralcea coccinea,gzgz_19,2000,15,0.912570306,0.606862995,1,FALSE
Sphaeralcea coccinea,gzgz_19,2000,1,0.608724117,0.056574784,1,FALSE
Sphaeralcea coccinea,gzgz_19,2000,14,0.385045816,0.496013572,1,FALSE
Sphaeralcea coccinea,gzgz_19,2000,13,0.089117442,0.215920829,1,FALSE
Sphaeralcea coccinea,gzgz_19,2000,16,0.286073113,0.776106315,1,FALSE
Sphaeralcea coccinea,gzgz_19,2001,14,0.390547058,0.496697757,1,FALSE
Sphaeralcea coccinea,gzgz_19,2001,7,0.044101399,0.950208256,1,TRUE
Sphaeralcea coccinea,gzgz_19,2001,3,0.319843861,0.340140684,1,FALSE
Sphaeralcea coccinea,gzgz_19,2001,1,0.604676734,0.067327349,1,FALSE
Sphaeralcea coccinea,gzgz_19,2001,18,0.704671254,0.552250269,0,FALSE
Sphaeralcea coccinea,gzgz_19,2001,15,0.913750705,0.605782687,1,FALSE
Sphaeralcea coccinea,gzgz_19,2001,17,0.91981098,0.192573013,0,FALSE
Sphaeralcea coccinea,gzgz_19,2001,16,0.287522403,0.77244022,1,FALSE
Sphaeralcea coccinea,gzgz_19,2002,1,0.598640967,0.062470223,1,FALSE
Sphaeralcea coccinea,gzgz_19,2002,15,0.917922713,0.596209858,1,FALSE
Sphaeralcea coccinea,gzgz_19,2002,13,0.076856217,0.210213866,1,FALSE
Sphaeralcea coccinea,gzgz_19,2002,3,0.309441552,0.337963856,1,FALSE
Sphaeralcea coccinea,gzgz_19,2002,14,0.388309779,0.489554884,1,FALSE
Sphaeralcea coccinea,gzgz_19,2002,16,0.28578502,0.759875715,0,FALSE
Sphaeralcea coccinea,gzgz_19,2002,7,0.04592485,0.941811039,0,TRUE
Sphaeralcea coccinea,gzgz_19,2003,15,0.906100001,0.616200001,1,FALSE
Sphaeralcea coccinea,gzgz_19,2003,3,0.321500002,0.359599999,1,FALSE
Sphaeralcea coccinea,gzgz_19,2003,21,0.016699997,0.705299997,0,TRUE
Sphaeralcea coccinea,gzgz_19,2003,19,0.516399998,0.1018,0,FALSE
Sphaeralcea coccinea,gzgz_19,2003,20,0.774099999,0.571200002,1,FALSE
Sphaeralcea coccinea,gzgz_19,2004,24,0.9707,0.318400001,0,TRUE
Sphaeralcea coccinea,gzgz_19,2004,23,0.368099999,0.230799998,0,FALSE
Sphaeralcea coccinea,gzgz_19,2004,15,0.896699997,0.6193,0,FALSE
Sphaeralcea coccinea,gzgz_19,2004,3,0.322049998,0.34545,1,FALSE
Sphaeralcea coccinea,gzgz_19,2004,22,0.668799999,0.138800003,0,FALSE
Sphaeralcea coccinea,gzgz_19,2004,14,0.380399996,0.499199998,1,FALSE
Sphaeralcea coccinea,gzgz_19,2004,13,0.0886,0.228599998,1,FALSE
Sphaeralcea coccinea,gzgz_19,2004,20,0.7609,0.560899999,1,FALSE
Sphaeralcea coccinea,gzgz_19,2004,1,0.599300003,0.071499999,1,FALSE
Sphaeralcea coccinea,gzgz_19,2005,3,0.308,0.351,0,FALSE
