ID,Species,Site,Treatment,Abundance,LA,SLA,LDMC,TLP
1,Ajuga.reptans,FP,30%,6.88,0.32,23.04,245.12,-1.68
2,Ajuga.reptans,FP,50%,5.01,0.23,18.93,283.33,-1.88
3,Ajuga.reptans,FP,Control,3.26,0.43,26.43,230.19,-1.6
4,Ajuga.reptans,KB,30%,5.5,0.48,18.71,257.33,-1.69
5,Ajuga.reptans,KB,50%,2.78,0.55,18.7,246.83,-1.7
6,Ajuga.reptans,KB,Control,3.89,0.56,19.37,243.34,-1.66
7,Arrhenatherum.elatius,FP,30%,6,0.49,28.82,347.94,-1.96
8,Arrhenatherum.elatius,FP,50%,3.25,0.49,28.88,342.21,-1.95
9,Arrhenatherum.elatius,FP,Control,2.88,0.42,29.38,340.42,-1.94
10,Arrhenatherum.elatius,GW,30%,0,0.52,26.53,381.84,-2.55
11,Arrhenatherum.elatius,GW,50%,0.01,0.38,28.94,337.71,-2.33
12,Arrhenatherum.elatius,GW,Control,0.38,0.67,25.57,388.44,-2.62
13,Arrhenatherum.elatius,KB,30%,1.14,0.47,26.24,336.78,-1.9
14,Arrhenatherum.elatius,KB,50%,1.5,0.53,28.15,334.22,-2.06
15,Arrhenatherum.elatius,KB,Control,2.39,0.51,25.98,318.22,-1.96
16,Arrhenatherum.elatius,SC,30%,0.01,0.59,27.91,364.32,-2.65
17,Arrhenatherum.elatius,SC,50%,0.03,0.43,27.15,365.14,-2.32
18,Arrhenatherum.elatius,SC,Control,0.05,0.53,24.27,379.82,-2.43
19,Bromus.erectus,FP,30%,0.38,0.51,20.42,330.39,-1.77
20,Bromus.erectus,FP,50%,0.9,0.53,17.89,369.06,-1.93
21,Bromus.erectus,FP,Control,7.13,0.63,17.31,363.25,-1.63
22,Bromus.erectus,GW,30%,4.38,0.45,19.01,326.29,-1.73
23,Bromus.erectus,GW,50%,1.54,0.47,22.84,297.08,-2.09
24,Bromus.erectus,GW,Control,3.38,0.55,22.53,275.55,-1.92
25,Bromus.erectus,KB,30%,0.4,0.46,20.98,309.14,-1.57
26,Bromus.erectus,KB,50%,0,0.47,19.53,295.92,-1.63
27,Bromus.erectus,KB,Control,0.65,0.64,18.28,291.68,-1.56
28,Dactylis.glomerata,FP,30%,5.88,1.14,23.26,305.95,-1.43
29,Dactylis.glomerata,FP,50%,2.38,0.98,23.44,303.22,-1.58
30,Dactylis.glomerata,FP,Control,3.5,1.3,23.64,297.14,-1.44
31,Dactylis.glomerata,GW,30%,5.38,1.14,25.35,288.09,-1.66
32,Dactylis.glomerata,GW,50%,4.25,0.82,21.2,337.07,-1.95
33,Dactylis.glomerata,GW,Control,7.88,1.18,23.53,295.17,-1.59
34,Dactylis.glomerata,KB,30%,3.13,1.28,22.77,289.11,-1.31
35,Dactylis.glomerata,KB,50%,1.53,0.89,24.95,298.99,-1.59
36,Dactylis.glomerata,KB,Control,4.01,1.1,24.94,272.33,-1.43
37,Dactylis.glomerata,SC,30%,4.28,1.55,25.2,263.24,-1.69
38,Dactylis.glomerata,SC,50%,2.78,1.51,24.58,240.24,-1.86
39,Dactylis.glomerata,SC,Control,9.63,1.85,26.52,259.38,-1.57
40,Festuca.rubra,FP,30%,17.5,0.11,13.58,360.96,-1.67
41,Festuca.rubra,FP,50%,5.63,0.1,15.88,429.22,-1.71
42,Festuca.rubra,FP,Control,15,0.08,13.03,325.99,-1.65
