Altitude,Plot,Species,N resorption ,Leaf ¦Ä15N,Green leaf N ,Senesced leaf N ,NRE ,Senescing leaf GDH activity  ,Green leaf GDH activity ,SLA 
700,1,Q. mongolica,159.041,-0.969,1.92,0.814,66.762,59.164,40.514,174.75
700,1,F. mandshurica,306.726,1.137,2.619,1.215,63.629,151.768,99.035,190.375
700,1,T. amurensis,270.221,0.519,2.387,1.079,64.561,96.463,66.238,332.254
700,1,A. mono,743.744,-0.532,2.286,0.716,75.444,160.772,82.958,288.382
700,1,A. pseudosieboldianum,282.708,-1.796,2.12,0.635,76.517,95.177,54.823,232.376
700,2,Q. mongolica,180.106,-0.464,2.02,0.725,71.861,61.736,57.235,159.98
700,2,F. mandshurica,217.557,1.726,2.289,1.378,52.802,100.322,101.608,109.97
700,2,T. amurensis,265.736,-0.687,2.026,0.989,61.729,137.621,85.531,316.377
700,2,A. mono,610.335,-1.12,2.065,1.156,56.111,101.608,94.534,331.529
700,2,A. pseudosieboldianum,234.249,-2.427,1.956,0.71,71.542,50.804,52.733,207.339
700,3,Q. mongolica,156.485,-0.535,2.134,0.698,74.357,64.309,46.945,108.98
700,3,F. mandshurica,232.518,-0.827,2.534,1.312,59.408,149.196,57.878,179.08
700,3,T. amurensis,231.308,-0.296,2.355,1.102,63.313,99.678,108.039,259.418
700,3,A. mono,627.535,-1.368,2.21,0.602,78.644,149.196,112.54,291.59
700,3,A. pseudosieboldianum,329.21,-2.308,2.084,0.699,73.704,68.167,63.023,234.337
700,4,Q. mongolica,74.589,-0.077,1.957,0.746,70.114,59.164,45.659,148.285
700,4,F. mandshurica,253.332,0.038,2.421,1.213,60.719,115.756,72.026,160.66
700,4,T. amurensis,365.571,0.519,2.589,1.128,65.842,183.923,94.534,309.223
700,4,A. mono,677.699,-0.725,2.207,1.174,58.296,132.476,96.463,258.503
700,4,A. pseudosieboldianum,287.139,-2.205,2.07,0.733,72.238,70.096,52.09,234.097
700,5,Q. mongolica,193.329,-0.077,1.858,0.746,68.522,56.592,45.659,147.149
700,5,F. mandshurica,310.621,0.212,2.806,1.178,67.087,167.203,64.952,150.189
700,5,T. amurensis,242.96,0.582,2.518,1.117,65.221,114.469,73.312,242.615
700,5,A. mono,707.269,-1.191,2.079,0.669,74.772,126.045,73.312,271.906
700,5,A. pseudosieboldianum,334.876,-1.025,2.073,0.597,77.422,129.904,51.447,273.363
800,1,Q. mongolica,278.927,-0.881,2.157,0.748,72.813,136.334,99.678,172.18
800,1,F. mandshurica,332.518,-1.985,2.811,1.187,66.894,195.498,107.395,200.17
800,1,T. amurensis,243.735,0.222,2.372,1.011,66.584,117.685,84.887,280.16
800,1,A. mono,679.167,-2.842,2.407,1.109,63.878,131.19,61.736,275.526
800,1,A. pseudosieboldianum,286.039,-3.543,2.091,0.674,74.729,57.235,47.588,189.59
800,2,Q. mongolica,265.43,-1.461,2.233,0.74,74.019,144.051,113.183,152.42
800,2,F. mandshurica,346.826,-1.381,3.126,1.554,61.026,231.511,131.19,184.31
800,2,T. amurensis,334.684,-1.643,2.443,1.107,64.474,143.408,81.672,230.65
800,2,A. mono,624.866,-3.082,1.995,0.751,70.487,113.183,64.309,317.94
800,2,A. pseudosieboldianum,279.257,-3.938,1.871,0.616,74.188,43.087,34.727,218.582
800,3,Q. mongolica,296.719,-0.918,2.102,0.718,73.22,123.473,111.254,190.61
800,3,F. mandshurica,234.58,-0.923,2.159,1.167,57.623,141.479,124.759,186.32
800,3,T. amurensis,233.499,-0.442,2.349,1.228,59.014,99.035,79.1,294.852
800,3,A. mono,587.06,-2.417,2.139,0.916,66.426,120.9,96.463,267.853
800,3,A. pseudosieboldianum,299.911,-2.731,1.913,0.671,72.501,48.875,43.73,239.012
800,4,Q. mongolica,257.796,-1.052,2.1,0.74,72.373,97.749,106.109,120.855
800,4,F. mandshurica,303.087,1.181,2.788,1.435,59.647,192.926,99.035,246.06
800,4,T. amurensis,218.594,-2.402,2.32,1.287,56.508,126.688,62.379,289.213
800,4,A. mono,806.017,-1.48,2.159,0.823,70.114,126.045,66.238,259.081
800,4,A. pseudosieboldianum,261.557,-2.48,2.052,0.562,78.528,50.804,37.299,271.784
800,5,Q. mongolica,229.68,-1.287,1.946,0.755,69.583,92.605,108.682,155.251
800,5,F. mandshurica,262.96,-1.189,2.067,0.911,65.446,138.907,111.897,164.34
800,5,T. amurensis,340.171,-0.24,2.355,1.131,62.348,135.691,77.814,298.092
800,5,A. mono,651.255,-2.751,2.091,0.852,68.055,119.614,59.807,266.363
800,5,A. pseudosieboldianum,305.171,-3.301,1.775,0.961,57.554,84.244,52.733,225.479
900,1,Q. mongolica,258.154,-2.059,2.24,0.617,78.405,208.36,134.405,136.77
900,1,F. mandshurica,420.743,-1.186,2.761,1.054,70.071,226.367,124.759,183.56
900,1,T. amurensis,204.127,-0.553,2.228,1.215,57.246,90.354,63.666,253.767
900,1,A. mono,603.334,-3.309,2.125,1.077,60.265,91.318,63.666,269.57
900,1,A. pseudosieboldianum,256.085,-3.721,1.83,0.85,63.585,44.373,37.942,215.221
900,2,Q. mongolica,274.932,-1.759,2.053,0.717,72.619,100.322,135.691,198.52
900,2,F. mandshurica,281.789,-1.893,2.446,1.352,56.665,141.479,130.547,349.393
900,2,T. amurensis,246.75,-1.158,2.233,1.259,55.797,68.167,58.521,328.471
900,2,A. mono,599.658,-3.426,1.933,0.94,61.875,86.174,62.379,289.291
900,2,A. pseudosieboldianum,325.056,-3.846,1.94,0.745,69.893,59.807,32.797,202.712
900,3,Q. mongolica,252.767,-1.899,2.273,0.651,77.546,228.939,129.904,185.84
900,3,F. mandshurica,318.402,-2.227,2.576,1.266,61.47,208.36,159.486,163.685
900,3,T. amurensis,221.631,-1.772,2.535,1.206,62.702,98.392,59.807,269.914
900,3,A. mono,692.538,-3.017,2.375,0.767,74.681,99.035,64.952,278.319
900,3,A. pseudosieboldianum,232.083,-4.348,1.852,0.697,70.494,45.659,35.37,195.48
900,4,Q. mongolica,377.027,-1.378,2.146,0.604,77.934,195.498,139.55,180.74
900,4,F. mandshurica,400.065,-0.922,3.108,1.508,61.96,244.373,163.344,184.35
900,4,T. amurensis,299.095,-1.403,2.383,1.285,57.724,73.312,64.952,249.929
900,4,A. mono,807.873,-3.381,2.435,0.906,70.829,102.894,62.379,249.492
900,4,A. pseudosieboldianum,287.537,-2.76,2.007,0.65,74.609,59.807,44.373,238.761
900,5,Q. mongolica,342.916,-1.296,2.146,0.797,70.883,133.762,132.476,169.17
900,5,F. mandshurica,364.782,1.439,3.11,1.15,71.01,228.939,144.051,238.25
900,5,T. amurensis,298.364,-1.154,2.295,1.193,59.246,121.543,61.736,247.487
900,5,A. mono,599.107,-2.922,1.846,0.88,62.626,78.457,58.521,261.178
900,5,A. pseudosieboldianum,246.251,-3.351,1.88,0.851,64.511,52.09,53.376,205.625
950,1,Q. mongolica,294.731,-3.131,1.942,0.676,72.709,244.373,147.91,235.59
950,1,F. mandshurica,422.854,-4.623,2.742,1.194,65.861,234.084,166.559,322.09
950,1,T. amurensis,299.123,-4.588,2.319,1.187,59.87,87.942,69.453,292.409
950,1,A. mono,750.814,-5.559,2.057,0.918,65.012,72.026,46.945,269.798
950,1,A. pseudosieboldianum,256.803,-5.39,1.853,0.705,70.172,42.444,29.582,155.405
950,2,Q. mongolica,309.001,-4.25,2.422,0.635,79.445,267.524,178.778,224.1
950,2,F. mandshurica,475.802,-5.327,2.899,1.285,65.249,246.945,168.489,168.47
950,2,T. amurensis,251.529,-4.062,2.369,1.263,58.202,122.186,59.807,246.382
950,2,A. mono,592.886,-6.177,1.954,1.041,58.232,70.74,42.444,215.437
950,2,A. pseudosieboldianum,253.352,-6.299,1.964,0.928,62.956,20.579,30.225,215.264
950,3,Q. mongolica,306.466,-3.717,2.132,0.631,76.796,252.09,165.916,155.37
950,3,F. mandshurica,378.893,-2.376,2.742,1.315,62.401,254.662,169.775,301.671
950,3,T. amurensis,225.81,-4.281,2.633,1.188,64.626,113.826,23.151,247.337
950,3,A. mono,680.993,-5.691,2.233,0.834,70.718,93.891,41.801,282.268
950,3,A. pseudosieboldianum,269.217,-6.53,1.833,0.707,69.761,31.511,35.37,195.319
950,4,Q. mongolica,345.573,-4.686,2.207,0.673,76.093,241.801,153.698,200.35
950,4,F. mandshurica,368.293,-4.708,2.652,1.346,60.209,231.511,157.556,201.546
950,4,T. amurensis,200.863,-4.044,1.957,1.307,47.64,81.672,53.859,283.897
950,4,A. mono,786.419,-5.683,2.105,0.926,65.511,82.315,47.588,255.323
950,4,A. pseudosieboldianum,250.375,-6.348,1.833,0.848,63.73,41.801,32.154,235.607
950,5,Q. mongolica,346.119,-5.091,2.371,0.751,75.167,164.63,160.129,167.76
950,5,F. mandshurica,374.395,-3.706,2.675,1.285,62.339,221.222,166.559,266.034
950,5,T. amurensis,207.451,-4.783,2.222,1.231,56.566,34.084,63.023,250.201
950,5,A. mono,483.179,-6.675,1.84,0.96,59.096,61.736,43.73,277.418
950,5,A. pseudosieboldianum,268.301,-7.317,1.683,0.695,67.624,34.084,33.441,241.998
1050,1,T. amurensis,261.79,-4.079,2.433,1.199,61.364,86.817,38.585,226.473
1050,1,A. mono,656.401,-5.397,1.998,0.924,63.743,64.309,32.154,240.667
1050,1,A. pseudosieboldianum,236.335,-7.189,1.665,0.845,60.211,9.646,8.36,188.876
1050,2,T. amurensis,232.226,-5.37,2.167,1.37,50.435,75.884,48.232,289.127
1050,2,A. mono,516.021,-6.867,2.141,0.99,63.748,77.17,28.939,243.562
1050,2,A. pseudosieboldianum,262.186,-7.854,1.805,0.742,67.771,10.289,10.289,199.391
1050,3,T. amurensis,205.853,-5.22,2.422,1.305,57.757,66.238,28.296,259.377
1050,3,A. mono,864.575,-6.471,1.96,0.982,60.72,57.878,28.296,206.627
1050,3,A. pseudosieboldianum,289.53,-7.475,1.915,0.94,61.516,12.862,10.932,177.396
1050,4,T. amurensis,283.797,-5.276,2.231,1.304,54.176,82.958,32.154,282.145
1050,4,A. mono,512.552,-6.407,1.887,0.9,62.607,56.592,19.293,216.377
1050,4,A. pseudosieboldianum,259.909,-7.449,1.835,0.873,62.701,11.576,7.717,180.849
1050,5,T. amurensis,227.544,-4.534,2.115,1.369,49.253,77.814,41.801,244.645
1050,5,A. mono,858.543,-6.401,1.608,0.917,55.291,45.016,22.508,250.115
1050,5,A. pseudosieboldianum,282.313,-5.977,1.805,0.825,64.166,7.717,8.36,201.754
