Altitude,Soil horizon,¦Ä15N ,Gross ammonification  ,Gross nitrification  ,MBC ,MBN ,Total C,Total N ,NH4+ ,NO3- , Moisture  ,Temperature,pH
700,1-O,7.026,0.205188484,0.131651654,54.4334704,8.944401114,5.08585365,0.37323704,0.732810037,0.303546348,50.12391574,20,6.11
700,2-O,8.271,0.186888646,0.098619938,61.21209885,8.581948974,5.8024641,0.34883945,0.719334136,0.332802691,51.38504155,20,6.2
700,3-O,7.741,0.175761357,0.123440117,61.8641235,8.104719716,3.85167488,0.29255104,0.915289962,0.270112551,60.52934407,20,6.06
700,4-O,8.448,0.281022902,0.153045624,71.07803751,8.336468209,5.60185173,0.40006848,1.03364256,0.384034793,54.90196078,19.5,6.01
700,5-O,6.824,0.238938623,0.197819986,74.76990911,10.93577636,6.51846144,0.48962088,0.804324473,0.231401864,44.47612259,20.5,5.85
700,1-A,8.744,0.75112605,0.802713948,126.3564004,18.61369736,6.83828145,0.73032219,2.893105206,1.05852542,33.7913486,18.5,6.04
700,2-A,9.491,0.604338412,0.19717576,269.2961952,3.008650379,10.41923976,1.03522032,2.121121699,0.9477013,43.72186093,16.5,5.82
700,3-A,8.192,0.807567394,0.619236415,278.2264414,19.5910961,5.4407445,0.574842,3.567924608,0.472593737,28.61176471,17.5,5.94
700,4-A,7.966,0.580174219,0.514408675,152.2811869,9.160430651,7.73404632,0.66188808,2.536963306,0.440996837,32.62852405,17.5,6.1
700,5-A,8.859,0.857127087,0.637237245,276.9070402,7.552596497,3.8746161,0.4257027,1.776158645,0.710247633,24.42196532,17.5,5.86
800,1-O,5.939,0.186633877,0.150887943,49.20436577,6.946767792,4.7452624,0.4394048,0.89179762,0.3222152,44.66357309,20,6.27
800,2-O,6.162,0.183395132,0.096026763,48.56749455,4.736812431,6.91601202,0.60927372,1.01497923,0.132913852,56.66063894,19,5.68
800,3-O,6.977,0.190742623,0.129088008,57.37485348,5.411160498,5.46775592,0.48442328,0.734676959,0.082478693,42.29922992,20.5,6.2
800,4-O,5.903,0.153624207,0.113016583,43.34037559,6.465097184,3.18097819,0.22926355,0.642695756,0.157798603,34.73824312,19.5,6.11
800,5-O,6.071,0.19691473,0.097993266,40.72839235,5.237953732,1.61638232,0.15331944,0.486384293,0.093630219,28.22896282,19.5,5.94
800,1-A,8.396,0.733360857,0.555751826,227.8958236,12.52111931,9.1462719,0.92181483,2.455689033,0.636007154,31.43269578,16.5,5.62
800,2-A,7.407,0.796288425,0.704772991,197.3754073,5.881532511,6.49491492,0.58104288,2.646837254,0.537313861,24.59791864,17,5.87
800,3-A,8.648,0.654052587,0.434864663,234.7116233,5.567181259,9.6735492,0.90078345,2.205006443,0.883759384,39.0005152,17,5.95
800,4-A,6.233,0.775211362,0.417826883,184.9519944,6.340229686,4.94160384,0.47553792,2.198425208,1.335570536,28.1705151,17.5,5.82
800,5-A,7.925,0.752894052,0.522372298,158.6971486,6.161651804,7.15282704,0.71053143,1.661462331,0.704225255,26.9454738,17.5,5.86
900,1-O,5.527,0.134354759,0.086028107,76.21438767,6.181205194,3.3355938,0.2735502,1.324152287,0.199108877,39.63815789,18.5,5.64
900,2-O,5.13,0.102127885,0.076547055,60.88728156,5.217343994,2.06484502,0.15306718,0.812163885,0.134013145,34.04368673,19.5,5.5
900,3-O,5.597,0.120235779,0.079095088,40.6532059,3.436891528,2.317903,0.1774078,0.648661851,0.208334359,32.82296651,18.5,5.64
900,4-O,3.864,0.156986818,0.088987358,62.79163867,4.469631196,3.76113504,0.27827984,0.699171295,0.140565046,31.53197819,19.5,6.32
900,5-O,5.367,0.213563504,0.137529966,42.83823065,2.361417029,3.28931944,0.25944611,1.095062825,0.174995316,28.25376063,20,5.95
900,1-A,7.015,0.479698742,0.434418068,161.0144097,6.563935661,4.03923567,0.41571048,1.914682699,0.281429721,24.35719249,17,5.46
900,2-A,7.849,0.666015356,0.362898985,247.1551758,13.92480277,3.01885584,0.30761568,1.84886387,0.372410328,22.46805859,17.5,5.52
900,3-A,7.189,0.788594951,0.426563511,99.25079096,2.427371467,2.5577442,0.253242,1.927833375,0.552262808,21.76724138,17,5.73
900,4-A,8.337,0.542455636,0.521342094,114.4402137,8.14321946,4.5645585,0.3964605,1.91483753,0.769909074,20.29227557,16.5,5.75
900,5-A,7.485,0.676834265,0.443716219,307.7850764,3.290706138,4.61247552,0.42063456,1.446985775,0.544459827,20.83758938,17.5,5.79
950,1-O,3.133,0.093059782,0.079564652,39.65790461,4.536635202,1.82762559,0.11673279,0.977501182,0.142403945,20.25565388,19,5.76
950,2-O,3.561,0.146271631,0.105807991,32.29095626,4.612653208,2.15545968,0.14115024,1.193101921,0.159247738,28.24589295,19,5.58
950,3-O,3.459,0.167519502,0.106673685,73.23693712,6.423020771,3.074743,0.1862945,1.39772877,0.353934557,30.84975369,19.5,5.66
950,4-O,4.19,0.134670229,0.099954566,49.99846457,4.929910018,3.26400243,0.19832592,1.481989122,0.284690745,33.85030344,19,5.68
950,5-O,4.513,0.167927908,0.111803681,54.6882558,2.711437507,1.46997334,0.10076142,0.79806895,0.100775385,24.97560976,19.5,5.47
950,1-A,6.119,0.411914346,0.369754349,156.3373864,3.17299522,3.22243812,0.27519444,1.328388534,0.745981997,16.31753032,17,5.58
950,2-A,7.951,0.418282364,0.325680206,154.7307484,5.947051333,1.9623468,0.17652552,1.229916489,0.40192747,17.21258831,17,5.4
950,3-A,6.257,0.713177058,0.408936706,58.65227673,4.354811369,1.79927136,0.12553056,1.115495931,0.356881418,9.471709909,17.5,5.72
950,4-A,8.285,0.519931798,0.250298654,48.06522999,3.264968604,1.72946241,0.16450635,1.004069403,0.245359572,9.941690962,17,5.58
950,5-A,8.116,0.412817849,0.384979737,67.10221245,0.336364694,1.12070196,0.09968508,0.780107532,0.229414785,15.23233434,16.5,5.63
1050,1-O,1.916,0.106889284,0.098911168,45.40496906,3.621369697,2.10418692,0.16031041,1.472276858,0.082225545,30.8974359,16.5,5.74
1050,2-O,1.878,0.0947379,0.065151279,61.47746594,3.166369276,2.1531744,0.13526352,1.136578845,0.074935008,28.10621242,17.5,5.36
1050,3-O,2.107,0.113161641,0.085859908,36.37977035,1.726516097,1.5954939,0.10392228,1.202381774,0.071121588,23.17948718,17.5,5.41
1050,4-O,1.815,0.114455761,0.16401364,42.38775833,2.158903327,2.1636604,0.1501049,1.432573315,0.066341441,21.30335366,18,5.65
1050,5-O,3.75,0.107055727,0.147189143,70.51142992,3.547631128,1.75543268,0.10984708,0.691287613,0.087004472,19.76268412,17.5,5.52
1050,1-A,4.367,0.362127993,0.272904923,54.64409609,5.921467524,1.69378185,0.11194953,1.22982869,0.435423658,12.08255159,15,5.46
1050,2-A,6.331,0.323915154,0.214551305,66.3255391,2.017067982,2.03208174,0.13252707,0.881883186,0.217334159,16.55595299,15,5.37
1050,3-A,5.831,0.516115793,0.420166072,63.39121825,1.435569156,1.8063903,0.1178463,0.908774304,0.251187854,11.05749899,15,5.38
1050,4-A,7.172,0.412648397,0.400859372,90.54854731,3.569758513,2.0004024,0.14491104,1.260340529,0.253765336,13.71308017,16,5.94
1050,5-A,6.42,0.461020577,0.346437687,47.60451189,3.306818298,1.65289872,0.11782026,0.933805357,0.425387194,11.18445178,16,5.42
