LOT,TYPE,ID,acalypha_virginica,ailanthus_altissima,alliaria_petiolata,amaranthus_retroflexus,arctium_minus,artemisia_vulgaris,asclepias_syriaca,bidens_frondosa,bromus_arvensis,bromus_sp,bromus_tectorum,calystegia_sepium,capsella_bursa.pastoris,chenopodium_album,cichorium_intybus,clematis_terniflora,cynodon_dactylon,cyperus_esculentus,dactylis_glomerata,daucus_carota,digitaria,duchesnea_indica,erigeron_annuus,festuca_arundinacea,galinsoga_quadriradiata,lepidium_virginicum,lolium_perenne,lotus_corniculatus,medicago_lupulina,melilotus_alba,melilotus_officinalis,morus_alba,oxalis_stricta,parthenocissus_quinquefolia,plantago_lanceolata,plantago_major,poa_spp.,polygonum_cuspidatum,rumex_crispus,securigera_varia,setaria_pumila,sisymbrium_officinale,symphyotrichum_lanceolatum,symphyotrichum_pilosum,taraxacum_officinale,trifolium_pratense,trifolium_repens,ulmus_sp,veronica_serpyllifolia,viola_sororia,acer_negundo,ageratina_altissima,ambrosia_artemisiifolia,bidens_bipinnata,bromus_inermis,catalpa,celastrus_orbiculatus,celtis_occidentalis,chamaesyce_maculata,cirsium_arvense,commelina_communis,convolvulus_arvensis,conyza_canadensis,echinochloa_crus.galli,elymus_repens,euonymus_fortunei,glechoma_hederacea,hedera_helix,hypochaeris_radicata,ipomoea_hederacea,ipomoea_lacunosa,juglans_nigra,juncus_tenuis,lactuca_serriola,lonicera_japonica,microstegium_vimineum,paulownia_tomentosa,phytolacca_americana,platanus_hybrida,poa_trivialis,polygonum_aviculare,polygonum_pensylvanicum,polygonum_perfoliatum,potentilla_norvegica,potentilla_simplex,quercus_phellos,rosa_multiflora,rubus_phoenicolasius,senecio_vulgaris,solidago_canadensis,solidago_rugosa,sonchus_oleraceus,toxicodendron_radicans,ulmus_rubra,vicia_sativa,vitis_riparia
s1,BF,s1.BF,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,2.666666667,0,52.16666667,0,3.166666667,25.83333333,0,0,0,3.5,0,0,0,0,0,0,3,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,1.666666667,37.16666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0
s1,RG,s1.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,4,0,19,1.5,0,9,0,0,0,0,0,0,0.5,0,0,1.5,0,0,0,5.5,0,0,0,0,0,0,0,0,1,10.5,0,0,0,0,0,4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.5
s10,BF,s10.BF,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,0,25.5,0,6.5,0,0,0,0,7,0,0,0,0,5.5,0,0,0,0.166666667,0,3.333333333,0,25.83333333,0,0,0,0,0,0,0,0,31.33333333,4.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
s10,RG,s10.RG,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10.5,0,13,1.5,23,0,0,0,0,18,0,0,0,0,4,0,0,0,0.5,0,1.5,0,18,0,0,0,0,0,0,0,0,23,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,BF,s11.BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,8.166666667,0,15.5,0,22.33333333,0,0.5,1,0,0.166666667,0,0,0.166666667,0,0,0,0,0,3,1,3.166666667,0,0,0,0,0,0,0,1.666666667,5.333333333,13.83333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s11,RG,s11.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.5,0,0,9,0,8,0,0,4,0,0,0,0,0,0,0,0,9,0,1.5,0,0,0,0,0,0,0,0,1.5,5.5,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0
s12,BF,s12.BF,0,0,0.5,0,14.5,0.5,0,0.5,0,0,0,0,0,6.333333333,4,0,0,0,9.833333333,0,0,0,0,12.83333333,0,0,0,0,0.5,0,3.833333333,0,0,0,0.5,6.5,0,0,0,0,3,0,0,4.833333333,2,0,0.5,0,0,0,0,0,1,3.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2.333333333,0,0,6.333333333,0,0.5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
s12,RG,s12.RG,0,0,1.5,0,13,0,0,0,0,0,0,0,0,1.5,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1.5,19.5,0,0,0,9,0,0,0,0,0,0,0,0,1.5,0,0,0,1.5,0,0,0,1.5,0,0,0,0.5,4,0,0,0,0,0,0,0,1.5,0,0,0,0,9
s13,BF,s13.BF,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5,0,0,0.5,0,0.5,0.5,0,0,0,0,3,0.166666667,0,0,0,0,0,0,0,6,0.5,0.5,6.333333333,0,0,0,0,0,1.166666667,0,0,0,0,0,0,0,0.166666667,0,1.333333333,0,0,0,0,0,0,0,0.5,0,0,0.166666667,0,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,0.5,0,0,0,0
s13,RG,s13.RG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,9,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,1.5,0,9,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0
