species,Family,Forb,Grass,Legume,introduced,native,Annual,Biennial,Perennial,Barochory,Myrmecochory,Synzoochory,Ballistic,Endozoochory,Epizoochory,Anemochory,Anthropochory,Hydrochory,Term.Vel,logseedweight(g_per1000),sla,logheight(m),spring,summer,fall,forb_herb,graminoid,shrub,vine,tree,Vegetative Spread,Seedbank
acalypha_virginica,euphorbiaceae,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,NA,-0.1972,NA,-0.22184875,0,1,0,1,0,0,0,0,0,NA
acer_negundo,sapindaceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.88,1.5563,25.1,1.301029996,1,0,0,0,0,0,0,1,1,NA
acer_platanoides,sapindaceae,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.01,2.143,19.65,1.397,1,0,0,0,0,0,0,1,0,0
ageratina_altissima,asteraceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,NA,-0.699,25.78,0,0,0,1,1,0,0,0,0,1,NA
ailanthus_altissima,simaroubaceae,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.94,1.4456,17.78,1.40654018,1,0,0,0,0,0,0,1,1,1
alliaria_petiolata,brassicaceae,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,7.71,0.4249,62.65,-0.124938737,1,0,0,1,0,0,0,0,0,0.25
amaranthus_retroflexus,amaranthaceae,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0.489,-0.3979,16.31,-0.142667504,0,1,0,1,0,0,0,0,0,0.79
ambrosia_artemisiifolia,asteraceae,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,7.29,0.601,32.14,0.352182518,0,1,0,1,0,0,0,0,0,0.47
arctium_minus,asteraceae,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,7.44,0.9912,24.1,-0.045757491,0,1,0,1,0,0,0,0,0,0.67
artemisia_vulgaris,asteraceae,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,2.02,-0.7696,24.12,0.146128036,0,1,0,1,0,1,0,0,1,0.34
asclepias_syriaca,apocynaceae,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.23,0.7924,15.82,0.255272505,0,1,0,1,0,0,0,0,NA,NA
bidens_bipinnata,asteraceae,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,2.71,0.3617,NA,-0.15490196,0,0,1,1,0,0,0,0,0,NA
bidens_frondosa,asteraceae,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,2.35,0.716,29.26,0,0,0,1,1,0,0,0,0,0,0.75
bromus_arvensis,poaceae,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,2.08,0.301,24.77,-0.337242168,0,1,0,0,1,0,0,0,0,0
bromus_inermis,poaceae,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,2.05,0.4624,21.93,-0.15490196,0,1,0,0,1,0,0,0,1,0
bromus_sp,poaceae,0,1,0,1,0,0,0,1,0,NA,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,NA,NA
bromus_tectorum,poaceae,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1.96,0.5185,35.03,-0.443697499,1,0,0,0,1,0,0,0,0,0.25
calystegia_sepium,convolvulaceae,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7.64,1.4079,37.17,0.197280558,0,1,0,1,0,0,1,0,NA,0.19
capsella_bursa.pastoris,brassicacea,1,0,0,1,0,1,0,0,0,0,0,0,1,1,,0,0,2.057692308,-1,30.03,-0.896196279,1,1,0,1,0,0,0,0,0,0.45
catalpa,bignoniaceae,1,0,0,0,1,0,0,1,,,,,,,,,,,1.3312,12.4,1.477121255,0,0,0,0,0,0,0,1,0,NA
celastrus_orbiculatus,celastraceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,0.9777,28.9,0.477121255,1,0,0,0,0,0,1,0,1,0.25
celtis_occidentalis,ulmaceae,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,2.1017,12.1,1.397940009,0,0,0,0,0,1,0,1,0,0.25
chamaesyce_maculata,euphorbiaceae,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,NA,-0.6198,NA,-1.698970004,0,1,0,1,0,0,0,0,NA,NA
chenopodium_album,amaranthaceae,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,4.17,-0.2218,34.84,0.079181246,0,1,0,1,0,0,0,0,0,0.83
cichorium_intybus,asteraceae,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,2.92,0.7709,17.1,0,1,0,0,1,0,0,0,0,0,0.07
cirsium_arvense,asteraceae,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0.26,0.1139,15.4,0.113943352,0,1,0,1,0,0,0,0,1,NA
clematis_terniflora,ranunculaceae,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.29,0.7193,NA,0.77815125,0,1,0,0,0,0,1,0,0,NA
commelina_communis,commelinaceae,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11.01,0.9284,NA,0,0,1,0,1,0,0,0,0,1,NA
convolvulus_arvensis,convolvulaceae,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,13.03,1.1614,28.74,0,0,1,0,0,0,0,1,0,1,0.1
conyza_canadensis,asteraceae,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0.32,-1.1549,22.75,-0.045757491,0,1,0,1,0,0,0,0,0,0.5
cynodon_dactylon,poaceae,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,NA,-0.699,30.63,-0.823908741,1,0,0,0,1,0,0,0,1,0.5
cyperus_esculentus,cyperaceae,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1.48,-0.7959,27.29,-0.096910013,0,1,0,0,1,0,0,0,1,NA
dactylis_glomerata,poaceae,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1.47,-0.0458,21.8,0.041392685,1,0,0,0,1,0,0,0,0,0.15
daucus_carota,apiaceae,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1.45,0,21.7,-0.045757491,1,0,0,1,0,0,0,0,NA,0.31
digitaria,poaceae,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,NA,-0.2924,NA,-0.522878745,0,1,0,0,1,0,0,0,0,0.95
duchesnea_indica,rosaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,-0.5528,30.28,-1,0,1,0,1,0,0,0,0,1,NA
echinochloa_crus.galli,poaceae,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2.31,0.1461,28.09,-0.070581074,0,1,0,0,1,0,0,0,0,0.7
elymus_repens,poaceae,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,2.6,0.6304,23.62,0.113943352,0,1,0,0,1,0,0,0,1,0.07
erigeron_annuus,asteraceae,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0.56,-1.301,21.93,-0.145693958,0,1,0,1,0,0,0,0,0,0.41
euonymus_fortunei,celastraceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,1.1179,NA,1,1,0,0,0,0,1,1,0,1,NA
festuca_arundinacea,poaceae,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1.54,-0.301,17.74,-0.045757491,0,1,0,0,1,0,0,0,0,0.04
galinsoga_quadriradiata,asteraceae,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0.97,-0.604848408,NA,NA,0,1,0,1,0,0,0,0,0,NA
glechoma_hederacea,lamiaceae,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,NA,-0.1612,35.8,-0.397940009,1,0,0,1,0,0,0,0,1,0.2
gleditsia_triacanthos,fabaceae,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,15.34,2.2269,31,1.477121255,1,0,0,0,0,0,0,1,0,NA
hedera_helix,araliaceae,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,15.02,1.3729,11.77,1.211854429,0,0,1,0,0,0,1,0,1,0
hypochaeris_radicata,asteraceae,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0.45,0.017,22.22,-1.187086643,1,0,0,1,0,0,0,0,0,NA
