Code,Address,Source,DemolitionDate,TimeSinceDemolition
s1,1307 W LANVALE ST,Aerial photos,1998,14
s10,1200 EDMONDSON AVE,Aerial photos,1998,14
s11,1209 EDMONDSON AVE,Aerial photos,2003,9
s12,624 N. Arlington Ave,Demolition records,2006,6
s13,630-632 N. Arlington Ave,Demolition records,2010,2
s14,510 N CARROLLTON AVE,Aerial photos,2003,9
s15,523-525 N Carrollton Ave,Demolition records,2001,11
s16,629 N. Calhoun St.,Demolition records,1999,13
s17,521 N. Calhoun St,Demolition records,2006,6
s18,716-718 Carey St,Demolition records,2003,9
s19,511 N CAREY ST,Aerial photos,1987.5,24.5
s2,632 N. Carrollton Ave,Demolition records,1990,22
s20,522 N Stricker St,Aerial photos,1998,14
s23,542 N. Carrollton Ave,Demolition records,2003,9
s24,1316 Harlem Ave,Demolition records,2001,11
s3,510 N ARLINGTON AVE,Aerial photos,1998,14
s32,1706 W. Lanvale St,Demolition records,1999,14
s32b,1704 W. Lanvale St,Demolition records,1999,14
s33,1717 Harlem Ave,Demolition records,2010,3
s34,1719 Harlem Ave,Demolition records,2010,3
s35,1303 Edmondson Ave,Demolition records,2001,12
s36,1305 Edmondson Ave,Demolition records,2001,12
s37,1307 Edmondson Ave,Demolition records,2001,12
s38,508 N Arlington Ave,Aerial photos,1998,15
s39,510 N Arlington Ave,Aerial photos,1998,15
s4,1203-1207 Edmondson Ave,Demolition records,2005,7
s40,512 N Arlington Ave,Aerial photos,1998,15
s5,1303-1307 Edmondson Ave,Demolition records,2001,11
s6,531-33 N. Carrollton Ave,Demolition records,1999,13
s9,629 N. Carey St.,Demolition records,2002,10
