Ana_cla;Anacyclus clavatus
Ant_arv;Anthemis arvensis
Ant_cor;Anthyllis cornicina
Ant_lot;Anthyllis lotoides
Ave_bar;Avena barbata
Bel_tri;Bellardia trixago
Bis_pel;Biserrula pelecinus
Bro_hor;Bromus hordeaceus
Bro_mad;Bromus matritensis
Bro_rub;Bromus rubens
Bro_tec;Bromus tectorum
Carthamus;Carthamus sp
Centaurea;Centaurea sp
Cha_mix;Chamaemellum mixtum
Con_arv;Convolvulus arvensis
Cre_cap;Crepis capillaris
Cre_tar;Crepis taraxacifolia
Dac_glo;Dactylis glomerata
Ech_pla;Echium plantagineum
Ery_cam;Eryngium campestre
Fil_pyr;Filago pyramidata
Foe_vul;Foeniculum vulgare
Hed_cre;Hedypnois cretica
Hor_mur;Hordeum murinum
Lac_ten;Lactuca tenerrima
Lam_aur;Lamarchia aurea
Leo_tar;Leontodon taraxacoides
Lol_rig;Lolium rigidum
Med_sat;Medicago sativa
Mis_oro;Misopates orontium
Nea_apu;Neatostema apulum
Orn_com;Ornithopus compressus
Pet_nan;Petrorhagia nanteuilli
Pla_cor;Plantago coronopus
Pla_lag;Plantago lagopus
Pol_tet;Polycarpon tetraphyllum
Psi_inc;Psilurus incurvus
Rum_ace;Rumex acetosella
Sil_vul;Silene vulgaris
Sis_cav;Sisymbrium cavanillesianum
Sis_off;Sisymbrium officinale
Spe_pur;Spergularia purpurea
Tol_bar;Tolpis barbata
Tri_che;Trifolium cherleri
Tri_glo;Trifolium glomeratum
Tri_hir;Trifolium hirtum
Tri_pan;Trisetum paniceum
Tri_str;Trifolium striatum
Tri_tom;Trifolium tomentosum
Vul_cil;Vulpia ciliata
