Quadrat;Species;PropCover;Height1;Height2;Height3;Height4;Height5;Height6;Height7;Height8;Height9;Height10;LeafArea1;LeafArea2;LeafArea3;LeafArea4;LeafArea5;LeafArea6;LeafArea7;LeafArea8;LeafArea9;LeafArea10;SLA1;SLA2;SLA3;SLA4;SLA5;SLA6;SLA7;SLA8;SLA9;SLA10
1;Dac_glo;0.253;14;16;12;12;10;14;9;12;16;8;83.95;179.2;150.25;201.6;80.65;103.9;50.95;82.5;98.45;112.55;13.097;20.214;28.242;22.289;24.147;26.237;25.285;22.418;24.643;18.256
1;Pla_lag;0.116;4;4.2;2;4.4;4.6;3.2;3.6;4;3.8;4.4;73.7;116.4;154;63.85;107.35;97.55;129.2;73.8;55.85;87.15;14.652;15.645;16.932;17.141;15.468;14.097;14.902;20.443;16.797;15.576
1;Tol_bar;0.116;6.5;8;6.1;4.3;4.8;3.5;3.5;4.5;5.2;6.5;100.2;162.65;128.35;28.8;54;118.35;28.1;17.35;80.95;22.75;27.008;26.708;17.486;32.727;20.69;21.876;20.97;18.263;25.536;25
1;Tri_che;0.514;4;5.5;2.9;3.1;3;5;2.7;2.1;3.5;3.4;73.85;76;71.9;51.8;85;27.7;66.8;49.95;76.5;87;19.826;21.591;21.054;16.656;22.517;23.475;20.273;21.438;21.133;20.423
2;Bis_pel;0.03;3.6;2.8;2.1;1.7;3.1;3.8;4.1;2.3;3.7;NA;24.3;NA;33.7;46.25;35.25;58.05;48.85;23.8;15.3;NA;14.252;NA;15.972;22.672;27.539;17.917;15.938;11.841;9.107;NA
2;Hed_cre;0.03;4.8;4.5;7.2;4;2.7;1.9;2.6;3.2;4.1;2.9;84.15;133.2;107.5;65.95;195.3;146.15;NA;66.15;44.2;NA;26.757;28.101;26.675;27.652;28.636;25.799;NA;28.513;32.985;NA
2;Leo_tar;0.086;2.2;2.5;1.2;1.8;3.1;3.2;0.8;3;2.8;2.5;234.45;123.5;NA;NA;86.95;199.95;50.3;151.2;257.8;167.85;20.431;25.412;NA;NA;23.468;27.598;42.809;23.981;24.207;21.18
2;Pla_lag;0.188;3.5;3;3.5;4;6;4;3.5;2;1.2;4;57.2;NA;58.6;138.75;99.2;NA;151.75;NA;NA;53.45;13.241;NA;15.503;14.086;15.847;NA;22.251;NA;NA;13.811
2;Rum_ace;0.03;1.5;8;6;3.6;2.4;4;2;3;NA;NA;51.2;37.55;65.2;NA;29.7;51.8;NA;31.3;NA;NA;15.103;12.838;12.563;NA;21.064;12.203;NA;11.259;NA;NA
2;Tri_che;0.635;3.2;4.5;5;3.2;4;2.2;4.1;4.5;4.1;4.2;47.3;32.05;51.45;44.25;35.7;35.95;25.8;28.6;47.4;30.2;16.803;21.952;17.382;16.48;19.724;20.484;17.315;14.896;17.268;17.257
3;Ant_lot;0.16;4.6;5;4;4;7;6.5;7;12;2;6.5;NA;229.1;NA;53.5;124.25;93.5;171.3;184.85;66;167.45;NA;15.532;NA;17.203;13.317;14.794;14.755;16.446;14.163;10.414
3;Centaurea;0.349;8;9;9;7;NA;NA;NA;NA;NA;NA;1434.55;1958.95;824.1;1575.95;NA;NA;NA;NA;NA;NA;11.217;12.153;13.175;13.91;NA;NA;NA;NA;NA;NA
3;Dac_glo;0.057;4.5;8.5;8;10.5;12;14;9;7;14;10;91.6;190.8;148.4;157.35;146.55;167.65;183.7;108.1;102.75;76.5;33.069;23.57;21.856;31.22;24.303;16.673;27.96;23.247;14.221;14.726
3;Pla_lag;0.057;4.5;5;2;3.5;5.5;5;5;5;3;4;88.55;174.8;37.4;69.3;171.8;166.8;NA;140.2;144.5;149.95;14.832;16.044;19.229;15.098;14.722;14.492;NA;17.438;11.496;12.206
3;Tol_bar;0.16;6;7;9;15;7.5;5;8.5;13.5;7;8.5;58.45;93.35;105.35;73.7;55.9;9;69.8;94.5;48.75;63.45;23.38;22.796;21.219;22.367;19.443;18;21.346;21.165;19.345;20.872
3;Tri_che;0.16;7.6;6.6;2.6;4;6;7.6;6.5;4;5.6;7.6;63.65;NA;25.45;65.6;NA;76.3;59.75;48.75;23.65;NA;21.288;NA;16.634;19.939;NA;19.464;21.688;22.727;12.613;NA
