family,population,country,pollen_received,flower_biomass_mg,total_biomass_mg,flower_weight_as_percent
A11,arniston,SA,SAME,84.3,27944.3,0.003016715
A13,arniston,SA,SAME,729.1,22509.1,0.032391344
A13,arniston,SA,SAME,154.6,22004.6,0.007025804
A14,arniston,SA,SAME,402.5,27692.5,0.014534621
A14,arniston,SA,NONE,859.8,29979.8,0.028679311
A15,arniston,SA,NONE,0,10900,0
A15,arniston,SA,SAME,0,18440,0
A17,arniston,SA,SAME,38.9,12918.9,0.003011092
A17,arniston,SA,NONE,217,16327,0.013290868
A18,arniston,SA,SAME,40.9,37880.9,0.0010797
A18,arniston,SA,SAME,939.6,31729.6,0.029612728
A19,arniston,SA,SAME,367.2,26309.6,0.013956883
A19,arniston,SA,NONE,147.5,12747.5,0.011570896
A24,arniston,SA,SAME,274.2,19544.2,0.014029738
A37,arniston,SA,SAME,630.8,33890.8,0.018612721
A48,arniston,SA,SAME,856.1,26668.5,0.032101543
A49,arniston,SA,SAME,0,21502.4,0
A5,arniston,SA,SAME,240.4,43060.4,0.005582856
A5,arniston,SA,NONE,127.3,19897.3,0.006397853
A50,arniston,SA,SAME,0,15150,0
A50,arniston,SA,NONE,0,34750,0
A50,arniston,SA,NONE,87.1,27197.1,0.003202547
A50,arniston,SA,SAME,507.3,48867.3,0.010381175
A5,arniston,SA,SAME,1002.2,16404.6,0.06109262
A7,arniston,SA,NONE,0,11840,0
A7,arniston,SA,SAME,83.3,26733.3,0.003115964
A8,arniston,SA,SAME,242.9,37825.3,0.006421628
A8,arniston,SA,NONE,396.2,27136.2,0.014600423
A8,arniston,SA,SAME,0,29600,0
A9,arniston,SA,SAME,0,23410,0
C18,arniston,SA,SAME,152.3,47142.3,0.003230644
C26,arniston,SA,SAME,760.9,33253.3,0.02288194
C27,arniston,SA,SAME,735.4,30657.8,0.02398737
C9,arniston,SA,SAME,722.5,32984.9,0.021903962
A8,arniston,SA,NONE,101.8,34751.8,0.002929345
C26,arniston,SA,NONE,1483.5,28833.5,0.05145057
L1,treachery,AUS,SAME,631.6,26021.6,0.024272143
L12,treachery,AUS,SAME,281.6,22051.6,0.012770048
L13,treachery,AUS,SAME,288.7,15618.7,0.018484253
L14,treachery,AUS,SAME,719.9,24419.9,0.029480055
L16,treachery,AUS,SAME,174.1,33224.1,0.005240172
L17,treachery,AUS,SAME,0,7360,0
L4,treachery,AUS,SAME,135.3,41465.3,0.003262969
L5,treachery,AUS,SAME,665.4,35317.8,0.018840358
L6,treachery,AUS,SAME,480.2,36652.6,0.01310139
L7,treachery,AUS,SAME,1483.5,35055.9,0.042318126
L8,treachery,AUS,SAME,240.9,31070.9,0.007753235
M12,mallacoota,AUS,SAME,360.8,14480.8,0.024915751
M17,mallacoota,AUS,SAME,635.2,27177.6,0.023372189
M18,mallacoota,AUS,SAME,224.9,22514.9,0.009988941
M19,mallacoota,AUS,SAME,374.4,29594.4,0.012651042
M21,mallacoota,AUS,SAME,949.1,37391.5,0.025382774
M25,mallacoota,AUS,SAME,659.7,24442.1,0.026990316
M27,mallacoota,AUS,SAME,571.9,17844.3,0.03204945
M28,mallacoota,AUS,SAME,270.6,36180.6,0.007479146
M32,mallacoota,AUS,SAME,282.4,26314.8,0.010731604
M36,mallacoota,AUS,SAME,130.4,9960.4,0.013091844
M40,mallacoota,AUS,SAME,81.8,27721.8,0.002950746
M45,mallacoota,AUS,SAME,741,26703.4,0.027749275
N1,narooma,AUS,SAME,535.6,29158,0.018368887
N14,narooma,AUS,SAME,358.2,38028.2,0.009419326
N17,narooma,AUS,SAME,217.3,25687.3,0.008459433
N22,narooma,AUS,SAME,201.3,17451.3,0.011534957
N3,narooma,AUS,SAME,138.6,32888.6,0.004214226
N8,narooma,AUS,SAME,364,32134,0.011327566
N9,narooma,AUS,SAME,97.8,10007.8,0.009772378
W19,wairo,AUS,SAME,353.3,28275.7,0.012494828
W2,wairo,AUS,SAME,582.2,30334.6,0.019192605
W21,wairo,AUS,SAME,489.4,35291.8,0.013867244
W22,wairo,AUS,SAME,764.9,24527.3,0.031185658
W24,wairo,AUS,SAME,179.3,14409.3,0.012443353
W27,wairo,AUS,SAME,155.9,12275.9,0.01269968
W29,wairo,AUS,SAME,256.6,20396.6,0.012580528
W31,wairo,AUS,SAME,65.4,22577.8,0.002896651
W38,wairo,AUS,SAME,295.9,28285.9,0.010461042
W4,wairo,AUS,SAME,555.6,34208,0.016241815
W6,wairo,AUS,SAME,24,9534,0.002517306
