family,population,country,flowering
A14,arniston,SA,0
A14,arniston,SA,1
A14,arniston,SA,0
A14,arniston,SA,0
A15,arniston,SA,1
A15,arniston,SA,1
A15,arniston,SA,0
A15,arniston,SA,1
A15,arniston,SA,1
A17,arniston,SA,1
A17,arniston,SA,0
A18,arniston,SA,0
A18,arniston,SA,1
A18,arniston,SA,0
A18,arniston,SA,0
A18,arniston,SA,1
A18,arniston,SA,0
A18,arniston,SA,0
A18,arniston,SA,1
A36,arniston,SA,1
A36,arniston,SA,0
A39,arniston,SA,0
A39,arniston,SA,0
A39,arniston,SA,1
A48,arniston,SA,1
A48,arniston,SA,0
A49,arniston,SA,1
A49,arniston,SA,1
A49,arniston,SA,1
A49,arniston,SA,0
A50,arniston,SA,1
A50,arniston,SA,0
A50,arniston,SA,0
A50,arniston,SA,0
A5,arniston,SA,1
A5,arniston,SA,1
A5,arniston,SA,1
A5,arniston,SA,1
A7,arniston,SA,1
A7,arniston,SA,0
A8,arniston,SA,0
A8,arniston,SA,1
A8,arniston,SA,0
A9,arniston,SA,0
A9,arniston,SA,0
A9,arniston,SA,0
C18,arniston,SA,0
C18,arniston,SA,0
C18,arniston,SA,0
C18,arniston,SA,0
C18,arniston,SA,0
C27,arniston,SA,0
C27,arniston,SA,0
C27,arniston,SA,0
C27,arniston,SA,1
C27,arniston,SA,1
C27,arniston,SA,0
C27,arniston,SA,1
C27,arniston,SA,1
C9,arniston,SA,0
L1,treachery,AUS,1
L11,treachery,AUS,1
L11,treachery,AUS,1
L1,treachery,AUS,1
L12,treachery,AUS,1
L12,treachery,AUS,1
L13,treachery,AUS,1
L13,treachery,AUS,1
L14,treachery,AUS,1
L14,treachery,AUS,1
L15,treachery,AUS,1
L15,treachery,AUS,1
L16,treachery,AUS,1
L16,treachery,AUS,1
L17,treachery,AUS,1
L17,treachery,AUS,1
L4,treachery,AUS,1
L4,treachery,AUS,1
L5,treachery,AUS,1
L5,treachery,AUS,1
L6,treachery,AUS,1
L6,treachery,AUS,1
L7,treachery,AUS,1
L7,treachery,AUS,1
L8,treachery,AUS,0
L8,treachery,AUS,1
M1,mallacoota,AUS,1
M11,mallacoota,AUS,1
M1,mallacoota,AUS,1
M13,mallacoota,AUS,1
M13,mallacoota,AUS,1
M18,mallacoota,AUS,1
M18,mallacoota,AUS,1
M20,mallacoota,AUS,1
M20,mallacoota,AUS,1
M25,mallacoota,AUS,1
M25,mallacoota,AUS,1
M27,mallacoota,AUS,1
M27,mallacoota,AUS,1
M28,mallacoota,AUS,1
M28,mallacoota,AUS,1
M30,mallacoota,AUS,1
M30,mallacoota,AUS,1
M32,mallacoota,AUS,1
M32,mallacoota,AUS,1
M37,mallacoota,AUS,1
M37,mallacoota,AUS,1
M39,mallacoota,AUS,1
M39,mallacoota,AUS,1
M42,mallacoota,AUS,1
M42,mallacoota,AUS,1
M45,mallacoota,AUS,1
M45,mallacoota,AUS,1
M5,mallacoota,AUS,1
M5,mallacoota,AUS,1
N1,narooma,AUS,1
N1,narooma,AUS,1
N13,narooma,AUS,1
N13,narooma,AUS,1
N14,narooma,AUS,1
N14,narooma,AUS,1
N17,narooma,AUS,1
N17,narooma,AUS,1
N20,narooma,AUS,1
N20,narooma,AUS,1
N21,narooma,AUS,1
N21,narooma,AUS,1
N22,narooma,AUS,1
N22,narooma,AUS,1
N23,narooma,AUS,1
N23,narooma,AUS,1
N24,narooma,AUS,1
N24,narooma,AUS,1
N3,narooma,AUS,1
N3,narooma,AUS,1
N8,narooma,AUS,1
N8,narooma,AUS,1
N9,narooma,AUS,1
N9,narooma,AUS,1
W10,wairo,AUS,1
W10,wairo,AUS,1
W1,wairo,AUS,1
W1,wairo,AUS,1
W14,wairo,AUS,1
W14,wairo,AUS,1
W16,wairo,AUS,1
W16,wairo,AUS,1
W19,wairo,AUS,1
W19,wairo,AUS,1
W21,wairo,AUS,1
W21,wairo,AUS,1
W23,wairo,AUS,1
W23,wairo,AUS,1
W25,wairo,AUS,1
W25,wairo,AUS,1
W27,wairo,AUS,1
W27,wairo,AUS,1
W29,wairo,AUS,1
W29,wairo,AUS,1
W3,wairo,AUS,1
W31,wairo,AUS,1
W31,wairo,AUS,1
W3,wairo,AUS,1
W33,wairo,AUS,1
W33,wairo,AUS,1
W38,wairo,AUS,1
W38,wairo,AUS,1
W6,wairo,AUS,1
W6,wairo,AUS,1
