family,country,population,flowernumber
A14,SA,arniston,0
A14,SA,arniston,4
A14,SA,arniston,0
A14,SA,arniston,0
A15,SA,arniston,2
A15,SA,arniston,2
A15,SA,arniston,0
A15,SA,arniston,3
A15,SA,arniston,3
A17,SA,arniston,4
A17,SA,arniston,0
A18,SA,arniston,0
A18,SA,arniston,4
A18,SA,arniston,0
A18,SA,arniston,0
A18,SA,arniston,4
A18,SA,arniston,0
A18,SA,arniston,0
A18,SA,arniston,2
A36,SA,arniston,4
A36,SA,arniston,0
A39,SA,arniston,0
A39,SA,arniston,0
A39,SA,arniston,6
A48,SA,arniston,1
A48,SA,arniston,0
A49,SA,arniston,1
A49,SA,arniston,1
A49,SA,arniston,4
A49,SA,arniston,0
A50,SA,arniston,1
A50,SA,arniston,0
A50,SA,arniston,0
A50,SA,arniston,0
A5,SA,arniston,2
A5,SA,arniston,1
A5,SA,arniston,9
A5,SA,arniston,11
A7,SA,arniston,3
A7,SA,arniston,0
A8,SA,arniston,0
A8,SA,arniston,4
A8,SA,arniston,0
A9,SA,arniston,0
A9,SA,arniston,0
A9,SA,arniston,0
C18,SA,arniston,0
C18,SA,arniston,0
C18,SA,arniston,0
C18,SA,arniston,0
C18,SA,arniston,0
C27,SA,arniston,0
C27,SA,arniston,0
C27,SA,arniston,0
C27,SA,arniston,2
C27,SA,arniston,1
C27,SA,arniston,0
C27,SA,arniston,1
C27,SA,arniston,1
C9,SA,arniston,0
L1,AUS,treachery,6
L11,AUS,treachery,23
L11,AUS,treachery,15
L1,AUS,treachery,20
L12,AUS,treachery,6
L12,AUS,treachery,4
L13,AUS,treachery,9
L13,AUS,treachery,17
L14,AUS,treachery,3
L14,AUS,treachery,15
L15,AUS,treachery,4
L15,AUS,treachery,5
L16,AUS,treachery,5
L16,AUS,treachery,14
L17,AUS,treachery,27
L17,AUS,treachery,15
L4,AUS,treachery,8
L4,AUS,treachery,15
L5,AUS,treachery,19
L5,AUS,treachery,23
L6,AUS,treachery,5
L6,AUS,treachery,12
L7,AUS,treachery,12
L7,AUS,treachery,5
L8,AUS,treachery,0
L8,AUS,treachery,22
M1,AUS,mallacoota,15
M11,AUS,mallacoota,12
M1,AUS,mallacoota,2
M13,AUS,mallacoota,16
M13,AUS,mallacoota,7
M18,AUS,mallacoota,5
M18,AUS,mallacoota,26
M20,AUS,mallacoota,8
M20,AUS,mallacoota,15
M25,AUS,mallacoota,19
M25,AUS,mallacoota,12
M27,AUS,mallacoota,18
M27,AUS,mallacoota,4
M28,AUS,mallacoota,28
M28,AUS,mallacoota,30
M30,AUS,mallacoota,24
M30,AUS,mallacoota,1
M32,AUS,mallacoota,23
M32,AUS,mallacoota,8
M37,AUS,mallacoota,9
M37,AUS,mallacoota,15
M39,AUS,mallacoota,10
M39,AUS,mallacoota,16
M42,AUS,mallacoota,33
M42,AUS,mallacoota,32
M45,AUS,mallacoota,23
M45,AUS,mallacoota,29
M5,AUS,mallacoota,20
M5,AUS,mallacoota,17
N1,AUS,narooma,3
N1,AUS,narooma,17
N13,AUS,narooma,22
N13,AUS,narooma,14
N14,AUS,narooma,9
N14,AUS,narooma,20
N17,AUS,narooma,12
N17,AUS,narooma,7
N20,AUS,narooma,4
N20,AUS,narooma,10
N21,AUS,narooma,9
N21,AUS,narooma,19
N22,AUS,narooma,31
N22,AUS,narooma,10
N23,AUS,narooma,4
N23,AUS,narooma,6
N24,AUS,narooma,11
N24,AUS,narooma,16
N3,AUS,narooma,11
N3,AUS,narooma,12
N8,AUS,narooma,27
N8,AUS,narooma,11
N9,AUS,narooma,25
N9,AUS,narooma,12
W10,AUS,wairo,13
W10,AUS,wairo,11
W1,AUS,wairo,4
W1,AUS,wairo,6
W14,AUS,wairo,14
W14,AUS,wairo,9
W16,AUS,wairo,15
W16,AUS,wairo,4
W19,AUS,wairo,26
W19,AUS,wairo,23
W21,AUS,wairo,17
W21,AUS,wairo,15
W23,AUS,wairo,20
W23,AUS,wairo,11
W25,AUS,wairo,5
W25,AUS,wairo,17
W27,AUS,wairo,29
W27,AUS,wairo,6
W29,AUS,wairo,10
W29,AUS,wairo,33
W3,AUS,wairo,14
W31,AUS,wairo,15
W31,AUS,wairo,19
W3,AUS,wairo,14
W33,AUS,wairo,21
W33,AUS,wairo,15
W38,AUS,wairo,7
W38,AUS,wairo,18
W6,AUS,wairo,12
W6,AUS,wairo,12
