family,population,country,germinatedtotal,viable,germinatedviable
A111,arniston,SA,1,1,1
A111,arniston,SA,1,1,1
A111,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,1,1,1
A131,arniston,SA,0,1,0
A131,arniston,SA,0,0,NA
A141,arniston,SA,1,1,1
A141,arniston,SA,1,1,1
A141,arniston,SA,1,1,1
A141,arniston,SA,1,1,1
A141,arniston,SA,1,1,1
A141,arniston,SA,1,1,1
A141,arniston,SA,0,1,0
A141,arniston,SA,0,1,0
A141,arniston,SA,0,1,0
A141,arniston,SA,0,1,0
A141,arniston,SA,0,1,0
A141,arniston,SA,0,0,NA
A141,arniston,SA,0,0,NA
A152,arniston,SA,1,1,1
A152,arniston,SA,1,1,1
A152,arniston,SA,0,1,0
A152,arniston,SA,0,1,0
A152,arniston,SA,0,1,0
A152,arniston,SA,1,1,1
A152,arniston,SA,1,1,1
A152,arniston,SA,1,1,1
A152,arniston,SA,1,1,1
A152,arniston,SA,1,1,1
A152,arniston,SA,1,1,1
A152,arniston,SA,1,1,1
A152,arniston,SA,0,0,NA
A152,arniston,SA,0,0,NA
A152,arniston,SA,0,0,NA
A152,arniston,SA,0,0,NA
A172,arniston,SA,1,1,1
A172,arniston,SA,0,1,0
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,1,1,1
A172,arniston,SA,0,0,NA
A172,arniston,SA,0,0,NA
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,1,1,1
A183,arniston,SA,0,0,NA
A183,arniston,SA,0,0,NA
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,1,1,1
A191,arniston,SA,0,1,0
A191,arniston,SA,1,1,1
A191,arniston,SA,0,0,NA
A191,arniston,SA,0,0,NA
A191,arniston,SA,0,0,NA
A231,arniston,SA,1,1,1
A231,arniston,SA,1,1,1
A231,arniston,SA,1,1,1
A231,arniston,SA,1,1,1
A231,arniston,SA,0,0,NA
A231,arniston,SA,0,0,NA
A231,arniston,SA,0,0,NA
A231,arniston,SA,0,0,NA
A231,arniston,SA,0,0,NA
A242,arniston,SA,1,1,1
A242,arniston,SA,1,1,1
A242,arniston,SA,1,1,1
A242,arniston,SA,1,1,1
A242,arniston,SA,0,0,NA
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A371,arniston,SA,1,1,1
A391,arniston,SA,0,1,0
A391,arniston,SA,0,1,0
A391,arniston,SA,0,1,0
A391,arniston,SA,0,1,0
A391,arniston,SA,0,1,0
A391,arniston,SA,0,1,0
A391,arniston,SA,1,1,1
A391,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A482,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,1,1,1
A491,arniston,SA,0,0,NA
A491,arniston,SA,0,0,NA
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,0,1,0
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,1,1,1
A503,arniston,SA,0,0,NA
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,1,1,1
A51,arniston,SA,0,1,0
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,1,1,1
A72,arniston,SA,0,1,0
A72,arniston,SA,0,0,NA
A72,arniston,SA,0,0,NA
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A81,arniston,SA,1,1,1
A91,arniston,SA,1,1,1
A91,arniston,SA,1,1,1
A91,arniston,SA,1,1,1
A91,arniston,SA,1,1,1
A91,arniston,SA,1,1,1
A91,arniston,SA,1,1,1
A91,arniston,SA,1,1,1
A91,arniston,SA,0,1,0
A91,arniston,SA,0,0,NA
A91,arniston,SA,0,0,NA
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C181,arniston,SA,1,1,1
C263,arniston,SA,0,1,0
C263,arniston,SA,0,1,0
C263,arniston,SA,0,1,0
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C263,arniston,SA,1,1,1
C2710,arniston,SA,0,1,0
C2710,arniston,SA,0,1,0
C2710,arniston,SA,0,1,0
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,1,1,1
C2710,arniston,SA,0,0,NA
C92,arniston,SA,1,1,1
C92,arniston,SA,1,1,1
C92,arniston,SA,1,1,1
C92,arniston,SA,0,1,0
C92,arniston,SA,0,1,0
C92,arniston,SA,0,0,NA
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L11,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
L111,treachery,AUS,1,1,1
