population,country,seedweight
arniston,SA,6.24
arniston,SA,5.34
arniston,SA,4.82
arniston,SA,11.71
arniston,SA,7.5
arniston,SA,8.38
arniston,SA,6.63
arniston,SA,8.38
arniston,SA,9.28
arniston,SA,6.76
arniston,SA,4.86
arniston,SA,7.39
arniston,SA,5.98
arniston,SA,7.53
arniston,SA,8.42
arniston,SA,7.64
arniston,SA,7.64
arniston,SA,9.82
arniston,SA,9.38
arniston,SA,7.8
arniston,SA,7.29
treachery,AUS,8.87
treachery,AUS,7.54
treachery,AUS,8.61
treachery,AUS,7.76
treachery,AUS,8.97
treachery,AUS,8.54
treachery,AUS,9.48
treachery,AUS,8.25
treachery,AUS,9.17
treachery,AUS,6.75
treachery,AUS,7.55
treachery,AUS,7.98
treachery,AUS,8.07
mallacoota,AUS,6.95
mallacoota,AUS,8.11
mallacoota,AUS,8.36
mallacoota,AUS,6.87
mallacoota,AUS,6.42
mallacoota,AUS,8.01
mallacoota,AUS,7.69
mallacoota,AUS,7.01
mallacoota,AUS,7.04
mallacoota,AUS,6.95
mallacoota,AUS,7.65
mallacoota,AUS,7.16
mallacoota,AUS,8.13
mallacoota,AUS,7.68
mallacoota,AUS,6.27
mallacoota,AUS,7.28
mallacoota,AUS,7.68
mallacoota,AUS,6.26
mallacoota,AUS,8.08
mallacoota,AUS,7.94
mallacoota,AUS,7.79
mallacoota,AUS,8.53
mallacoota,AUS,7.49
mallacoota,AUS,7.65
mallacoota,AUS,7.07
mallacoota,AUS,7.17
mallacoota,AUS,8.09
mallacoota,AUS,7.11
mallacoota,AUS,8.21
mallacoota,AUS,6.88
mallacoota,AUS,7.64
mallacoota,AUS,8
mallacoota,AUS,7.26
narooma,AUS,7.37
narooma,AUS,8.56
narooma,AUS,7.74
narooma,AUS,7.97
narooma,AUS,7.39
narooma,AUS,8.45
narooma,AUS,7.08
narooma,AUS,6.61
narooma,AUS,6.9
narooma,AUS,7.16
narooma,AUS,6.93
narooma,AUS,6.95
wairo,AUS,6.84
wairo,AUS,6.95
wairo,AUS,7.63
wairo,AUS,7.54
wairo,AUS,7.81
wairo,AUS,7.68
wairo,AUS,6.89
wairo,AUS,8.08
wairo,AUS,7.89
wairo,AUS,6.99
wairo,AUS,6.42
wairo,AUS,6.55
wairo,AUS,7.34
wairo,AUS,6.57
wairo,AUS,6.87
wairo,AUS,7.34
wairo,AUS,7.37
wairo,AUS,6.92
wairo,AUS,7.53
wairo,AUS,6.61
wairo,AUS,7.43
wairo,AUS,7.68
wairo,AUS,7.18
wairo,AUS,7.14
wairo,AUS,7.39
wairo,AUS,7.18
wairo,AUS,6.32
wairo,AUS,8.08
wairo,AUS,7.06
wairo,AUS,7.71
wairo,AUS,6.31
