family,population,country,survival
A11,arniston,SA,1
A11,arniston,SA,0
A13,arniston,SA,1
A13,arniston,SA,1
A13,arniston,SA,1
A13,arniston,SA,1
A13,arniston,SA,1
A13,arniston,SA,1
A13,arniston,SA,1
A14,arniston,SA,1
A14,arniston,SA,1
A14,arniston,SA,1
A15,arniston,SA,1
A15,arniston,SA,1
A15,arniston,SA,1
A15,arniston,SA,1
A15,arniston,SA,1
A15,arniston,SA,1
A15,arniston,SA,1
A17,arniston,SA,1
A17,arniston,SA,0
A17,arniston,SA,1
A17,arniston,SA,1
A17,arniston,SA,0
A17,arniston,SA,1
A17,arniston,SA,1
A18,arniston,SA,1
A18,arniston,SA,1
A18,arniston,SA,1
A18,arniston,SA,1
A18,arniston,SA,0
A18,arniston,SA,0
A18,arniston,SA,1
A18,arniston,SA,1
A19,arniston,SA,0
A19,arniston,SA,0
A19,arniston,SA,1
A19,arniston,SA,1
A19,arniston,SA,1
A19,arniston,SA,1
A24,arniston,SA,1
A24,arniston,SA,1
A24,arniston,SA,1
A37,arniston,SA,1
A37,arniston,SA,1
A37,arniston,SA,1
A37,arniston,SA,0
A37,arniston,SA,1
A37,arniston,SA,1
A37,arniston,SA,0
A37,arniston,SA,1
A39,arniston,SA,0
A48,arniston,SA,1
A48,arniston,SA,1
A48,arniston,SA,1
A48,arniston,SA,1
A48,arniston,SA,1
A48,arniston,SA,1
A49,arniston,SA,1
A49,arniston,SA,1
A49,arniston,SA,0
A49,arniston,SA,1
A49,arniston,SA,1
A49,arniston,SA,0
A49,arniston,SA,1
A49,arniston,SA,0
A5,arniston,SA,1
A5,arniston,SA,1
A5,arniston,SA,1
A5,arniston,SA,1
A5,arniston,SA,1
A5,arniston,SA,1
A5,arniston,SA,1
A50,arniston,SA,1
A50,arniston,SA,1
A50,arniston,SA,1
A50,arniston,SA,1
A50,arniston,SA,1
A50,arniston,SA,1
A50,arniston,SA,0
A50,arniston,SA,1
A7,arniston,SA,1
A7,arniston,SA,1
A7,arniston,SA,1
A7,arniston,SA,1
A7,arniston,SA,1
A7,arniston,SA,0
A7,arniston,SA,1
A7,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A8,arniston,SA,1
A9,arniston,SA,1
A9,arniston,SA,0
A9,arniston,SA,1
A9,arniston,SA,1
C18,arniston,SA,1
C18,arniston,SA,1
C18,arniston,SA,1
C18,arniston,SA,1
C26,arniston,SA,1
C26,arniston,SA,1
C26,arniston,SA,1
C26,arniston,SA,1
C26,arniston,SA,1
C26,arniston,SA,1
C26,arniston,SA,1
C27,arniston,SA,1
C27,arniston,SA,1
C27,arniston,SA,1
C27,arniston,SA,1
C27,arniston,SA,1
C9,arniston,SA,1
L1,treachery,AUS,1
L1,treachery,AUS,1
L1,treachery,AUS,1
L1,treachery,AUS,1
L1,treachery,AUS,1
L11,treachery,AUS,1
L11,treachery,AUS,0
L12,treachery,AUS,0
L12,treachery,AUS,1
L13,treachery,AUS,0
L13,treachery,AUS,1
L14,treachery,AUS,1
L14,treachery,AUS,1
L15,treachery,AUS,1
L15,treachery,AUS,1
L16,treachery,AUS,1
L16,treachery,AUS,1
L17,treachery,AUS,1
L17,treachery,AUS,1
L4,treachery,AUS,1
L4,treachery,AUS,1
L4,treachery,AUS,1
L4,treachery,AUS,1
L4,treachery,AUS,1
L5,treachery,AUS,1
L5,treachery,AUS,1
L5,treachery,AUS,1
L5,treachery,AUS,1
L6,treachery,AUS,1
L6,treachery,AUS,1
L6,treachery,AUS,1
L6,treachery,AUS,1
L6,treachery,AUS,1
L7,treachery,AUS,1
L7,treachery,AUS,1
L7,treachery,AUS,1
L7,treachery,AUS,1
L7,treachery,AUS,1
L8,treachery,AUS,1
L8,treachery,AUS,1
M1,mallacoota,AUS,1
M1,mallacoota,AUS,1
M1,mallacoota,AUS,0
M1,mallacoota,AUS,1
M1,mallacoota,AUS,1
M11,mallacoota,AUS,1
M11,mallacoota,AUS,1
M12,mallacoota,AUS,0
M12,mallacoota,AUS,1
M13,mallacoota,AUS,1
M13,mallacoota,AUS,0
M14,mallacoota,AUS,0
M14,mallacoota,AUS,1
M17,mallacoota,AUS,1
M17,mallacoota,AUS,1
M18,mallacoota,AUS,0
M18,mallacoota,AUS,1
