family,population,country,totalseeds
A11,arniston,SA,0
A11,arniston,SA,0
A13,arniston,SA,0
A13,arniston,SA,0
A14,arniston,SA,0
A15,arniston,SA,23
A15,arniston,SA,0
A17,arniston,SA,0
A17,arniston,SA,0
A18,arniston,SA,0
A18,arniston,SA,0
A19,arniston,SA,9
A19,arniston,SA,21
A19,arniston,SA,10
A24,arniston,SA,0
A37,arniston,SA,0
A37,arniston,SA,0
A39,arniston,SA,0
A48,arniston,SA,14
A48,arniston,SA,9
A48,arniston,SA,0
A49,arniston,SA,0
A49,arniston,SA,3
A5,arniston,SA,0
A50,arniston,SA,0
A50,arniston,SA,0
A50,arniston,SA,0
A5,arniston,SA,0
A7,arniston,SA,9
A7,arniston,SA,0
A8,arniston,SA,17
A8,arniston,SA,0
A9,arniston,SA,0
C18,arniston,SA,0
C18,arniston,SA,0
C26,arniston,SA,0
C26,arniston,SA,19
C27,arniston,SA,0
C9,arniston,SA,25
L1,treachery,AUS,58
L11,treachery,AUS,69
L12,treachery,AUS,0
L13,treachery,AUS,7
L14,treachery,AUS,19
L15,treachery,AUS,22
L16,treachery,AUS,20
L17,treachery,AUS,0
L4,treachery,AUS,0
L5,treachery,AUS,66
L6,treachery,AUS,23
L7,treachery,AUS,98
L8,treachery,AUS,6
M1,mallacoota,AUS,28
M11,mallacoota,AUS,12
M12,mallacoota,AUS,16
M13,mallacoota,AUS,21
M14,mallacoota,AUS,12
M17,mallacoota,AUS,32
M18,mallacoota,AUS,26
M19,mallacoota,AUS,18
M20,mallacoota,AUS,10
M21,mallacoota,AUS,29
M24,mallacoota,AUS,22
M25,mallacoota,AUS,20
M26,mallacoota,AUS,44
M27,mallacoota,AUS,10
M28,mallacoota,AUS,0
M29,mallacoota,AUS,18
M30,mallacoota,AUS,0
M31,mallacoota,AUS,52
M32,mallacoota,AUS,24
M34,mallacoota,AUS,62
M36,mallacoota,AUS,0
M37,mallacoota,AUS,13
M38,mallacoota,AUS,0
M39,mallacoota,AUS,19
M4,mallacoota,AUS,23
M40,mallacoota,AUS,0
M41,mallacoota,AUS,47
M42,mallacoota,AUS,14
M43,mallacoota,AUS,0
M45,mallacoota,AUS,65
M5,mallacoota,AUS,38
M6,mallacoota,AUS,15
M8,mallacoota,AUS,36
N1,narooma,AUS,50
N13,narooma,AUS,32
N14,narooma,AUS,13
N17,narooma,AUS,11
N20,narooma,AUS,5
N21,narooma,AUS,12
N22,narooma,AUS,7
N23,narooma,AUS,0
N24,narooma,AUS,0
N3,narooma,AUS,14
N8,narooma,AUS,22
N9,narooma,AUS,2
W1,wairo,AUS,7
W10,wairo,AUS,0
W11,wairo,AUS,6
W14,wairo,AUS,4
W15,wairo,AUS,5
W16,wairo,AUS,6
W17,wairo,AUS,7
W18,wairo,AUS,4
W19,wairo,AUS,7
W2,wairo,AUS,30
W20,wairo,AUS,17
W21,wairo,AUS,11
W22,wairo,AUS,16
W23,wairo,AUS,5
W24,wairo,AUS,21
W25,wairo,AUS,27
W27,wairo,AUS,0
W28,wairo,AUS,25
W29,wairo,AUS,0
W3,wairo,AUS,0
W30,wairo,AUS,5
W31,wairo,AUS,7
W32,wairo,AUS,32
W33,wairo,AUS,10
W35,wairo,AUS,1
W38,wairo,AUS,8
W4,wairo,AUS,32
W5,wairo,AUS,45
W6,wairo,AUS,0
W8,wairo,AUS,27
W9,wairo,AUS,37
