Site_Plot,Date,Elevation,Bulk Density,Soil Moisture,Days Since Burn,Shannon Index,CWMSLALandscape,CWMSLAplot,CWMLDMClandscape,CWMLDMCplot
S10P1,8/12/11,328,1.382380734,9.9375,801,2.151636624,160.4032646,116.650868,0.429648414,0.495915679
S10P2,8/12/11,270,1.223634723,5.1875,801,2.172267657,193.487119,133.3861436,0.374124917,0.421257817
S10P3,8/12/11,176,1.32667126,3.8125,801,1.53783236,215.803826,167.1549423,0.358430016,0.408252206
S10P4,8/12/11,91,1.293670754,27.375,801,2.53887038,181.460795,136.4266757,0.375997251,0.404452833
S11P1,8/17/11,237,1.565494858,9.4375,426,1.218269241,76.45219905,66.09795666,0.4753964,0.517616912
S11P2,8/17/11,173,1.31880534,6.3125,426,1.095236011,131.670106,126.9634563,0.431427056,0.455581835
S11P3,8/17/11,110,1.125552027,4.75,426,1.132149179,135.7440098,119.8376038,0.438491304,0.486581829
S12P1,8/17/11,162,1.325057235,8.8125,47,1.530886656,128.3204269,192.2219836,0.431309036,0.346817733
S12P2,8/17/11,94,0.947005388,17.8125,47,1.729491798,209.4037043,277.1954097,0.4204197,0.369191775
S12P3,8/17/11,10,0.558305808,44.5,47,1.444785329,234.3002166,294.698802,0.327746152,0.249404963
S13P1,8/17/11,225,1.705750923,12.25,426,1.255522851,180.250213,127.0284351,0.345668496,0.380955116
S13P2,8/17/11,149,1.564041678,21.75,426,1.882094248,122.585763,110.8078949,0.442367421,0.443630747
S13P3,8/17/11,79,0.597263147,44.625,426,1.896930527,127.3249704,92.24917123,0.424515708,0.435647198
S14P1,8/18/11,301,1.500401397,6.125,806,1.450619674,84.59833888,70.11364555,0.470878266,0.522317667
S14P2,8/18/11,194,1.631086608,7.3125,806,1.687606339,202.413887,154.4872523,0.363588694,0.391411539
S14P3,8/18/11,54,0.766011799,14.0625,806,1.9589068,175.515917,144.9900373,0.364871043,0.390531556
S152P1,8/18/11,347,1.344876826,5.75,6,0,59.43299299,44.1754082,0.494968519,0.535964957
S152P3,8/18/11,0,0.660619855,23.70833333,6,0,96.13948421,122.7055076,0.451489308,0.426754183
S16P1,8/18/11,290,1.46759362,2.1875,69,2.043563775,150.6298515,156.3928873,0.425127816,0.422779115
S16P2,8/18/11,193,1.496186051,3.3125,69,1.306350786,151.7017146,157.6859818,0.371264532,0.406949091
S16P3,8/18/11,83,1.088797801,20,69,2.025928015,177.4285944,193.6668203,0.37216359,0.322843464
S17P1,8/18/11,418,1.19296666,4.125,1175,2.351952476,140.3338829,129.1175338,0.400190183,0.436476692
S17P2,8/18/11,372,1.166922319,5.5625,1175,1.369570197,93.80718146,83.46048343,0.427272016,0.42486532
S17P3,8/18/11,294,1.031455013,14.125,1175,1.075460475,146.3588793,144.8426899,0.441407165,0.464459604
S17P4,8/18/11,187,0.870600299,27.1875,1175,1.863962124,198.2640764,176.5024175,0.373745081,0.403877418
S18P1,8/19/11,289,1.430314314,1.6875,436,0.922774351,73.21841468,64.19379138,0.471527726,0.518145724
S18P2,8/19/11,188,1.504818375,2.5,436,1.760494429,145.6529793,123.4398149,0.419191664,0.453095079
S18P3,8/19/11,82,0.849773735,17.375,436,1.63780526,109.162146,91.99802802,0.450227624,0.45444698
S19P1,8/19/11,475,1.477129731,2.125,1311,2.08104064,132.475031,110.0604689,0.455879094,0.512868907
S19P2,8/19/11,380,1.33993739,2.25,1311,2.183121955,181.8698259,161.5636198,0.372994874,0.38821766
S19P3,8/19/11,285,1.138851229,3.0625,1311,1.707695259,176.3453316,176.3405318,0.406637134,0.422619178
S19P4,8/19/11,130,0.758979339,21.1875,1311,1.918998794,137.6104215,129.9951209,0.418520086,0.436262193
S1P1,8/3/11,354,0.911170099,8.25,33,0.590792452,59.43299299,69.68590191,0.494968519,0.435857143
S1P3,8/3/11,271,0.576746641,15.125,33,2.084800256,241.0402841,312.7136394,0.28253486,0.181878276
