Site_Plot,ACERUB,ALEFAR,ALNSER,AMEOBO,ANDSP,ANGVEN,APOCAN,ARISTR,AROARB,ARUTEC,ASCRUB,BAPTIN,CARALB,CARGLA,CHATOM,CHALAX,CIRREP,CLEALN,CLIMAR,COMERE,CORMAJ,CORVER,CROCAN,CTEARO,CUSCOM,CUTGRA,CYRRAC,CYSPRO,DANSER,DESSP,DICSP,DIOTER,DIOVIL,DIOVIR,DOESER,DROCAP,ELENUD,ELETOM,EUBRAC,EUPALB,EUPCAP,EUPCOE,EUPDUB,EUPLEU,EUPPIL,EUPRES,EUPROT,EUPHSP,EURPAL,EUTCAR,GAYDUM,GAYFRO,HEXMIN,HIEMAR,HYPSP,HYPWRI,ILECOR,ILEGLA,ILEOPA,IONLIN,IRIVER,KALCUN,LACANC,LESCAP,LESHIR,LESREP,LIASP,LIQSTY,LIRTUL,LOBNUT,LUDVIR,LYOLIG,LYOLUC,LYOMAR,LYSQUA,MAGVIR,MAROBO,MIMMIC,MORCAR,NYSSYL,OSMCIN,OSMREG,OXYDEN,PARQUI,PERPAL,PHLNIV,PINPAL,PINPALcanopy,PINSER,PINSERcanopy,PITASP,POLLUT,POLBIF,PTEAQU,PYCFLE,QUEINC,QUELAE,QUEMARG,QUEMARI,QUENIG,RHESP,RHOSP,RHUCOP,RHYTOM,ROBNAN,RUBSP,SARPUR,SARRUB,SASALB,SEDSP,SERAST,SERTOR,SMIBON,SMILAU,SMIROT,SMIWAL,SOLODO,SOLVER,SOPPIL,SORNUT,SPHAGN,STISET,STYPAT,STYBIF,SYMWAL,SYMTIN,TEPVIR,TOXPUB,TOXRAD,TOXVER,VACCRA,VACFOR,VACFUS,VACSTA,VACTEN,VERACA,VERANG,VIBNUD,VIBPRU,VIOPED,VIOSP,VITROT,WOOAER,WOOVIR,XYRSP
S10P1,0.1,0,0,0,7,0,0,9.5,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,4.2,0,0,0,0,1.5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,1,0,11,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0
S10P2,0,0,0,0,60,0,0,12.5,0,0,0,0,4,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,7,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,22.5,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.7,0,0.1,0,0,0,0,18,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
S10P3,0.1,0,0,0,1.5,0,0,3,0,0,0,0,0,0,0,0,0,170,0,0,0,0,1,0,0,0,0,0,0,0,1.6,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
S10P4,4.2,0,0,0,4.5,0,0,6.1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,13.1,0,0,0,0.5,0,0,0,0,0.8,0,2.1,0,0,0,0.5,14,0,0,0,0,0,10,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3.1,0,5,0,0,0,0.1,0,0,0.2,0,12,0,0,0,0,0,0,1.1,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0
S11P1,0.1,0,0,0,0.7,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0.1,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,21,0,0,4,0,0,0,0,0,1.5,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
S11P2,0,0,0,0,0,0,0,0.5,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,88,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0
S11P3,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12P1,0,0,0,0,0.6,0,0,23,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1.6,0.7,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
S12P2,0,0,0,0,1,0,0,0,0,33,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0.5,0,0,0,10,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
S12P3,0,0,0,0,0,0,0,0,0.1,38,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
