Species ,Treatment,Age (days),Height (cm)
Calicotome villosa S.,K,23,1.5
Calicotome villosa S.,K,23,2.5
Calicotome villosa S.,K,23,2.3
Calicotome villosa S.,K,23,2.5
Calicotome villosa S.,K,23,3.4
Calicotome villosa S.,K,23,2
Calicotome villosa S.,K,23,2.5
Calicotome villosa S.,K,23,2.6
Calicotome villosa S.,NPK,23,4.5
Calicotome villosa S.,NPK,23,4
Calicotome villosa S.,NPK,23,2.5
Calicotome villosa S.,NPK,23,3
Calicotome villosa S.,NPK,23,2.8
Calicotome villosa S.,NPK,23,3.6
Calicotome villosa S.,NPK,23,4
Calicotome villosa S.,NPK,23,2
Calicotome villosa S.,PK,23,3
Calicotome villosa S.,PK,23,1.5
Calicotome villosa S.,PK,23,1.5
Calicotome villosa S.,PK,23,3.5
Calicotome villosa S.,PK,23,3
Calicotome villosa S.,PK,23,3
Calicotome villosa S.,PK,23,1
Calicotome villosa S.,PK,23,1.5
Calicotome villosa T.,K,23,2
Calicotome villosa T.,K,23,2
Calicotome villosa T.,K,23,1
Calicotome villosa T.,K,23,2
Calicotome villosa T.,K,23,2
Calicotome villosa T.,K,23,2.5
Calicotome villosa T.,K,23,3.5
Calicotome villosa T.,K,23,3
Calicotome villosa T.,NPK,23,2
Calicotome villosa T.,NPK,23,3.5
Calicotome villosa T.,NPK,23,3.5
Calicotome villosa T.,NPK,23,3.5
Calicotome villosa T.,NPK,23,2.5
Calicotome villosa T.,NPK,23,3
Calicotome villosa T.,NPK,23,4.5
Calicotome villosa T.,NPK,23,3.5
Calicotome villosa T.,PK,23,2.5
Calicotome villosa T.,PK,23,2.5
Calicotome villosa T.,PK,23,1.5
Calicotome villosa T.,PK,23,2
Calicotome villosa T.,PK,23,2
Calicotome villosa T.,PK,23,2
Calicotome villosa T.,PK,23,2
Calicotome villosa T.,PK,23,1.5
Calicotome villosa S.,K,31,1.6
Calicotome villosa S.,K,31,2.4
Calicotome villosa S.,K,31,2.4
Calicotome villosa S.,K,31,3.6
Calicotome villosa S.,K,31,2.2
Calicotome villosa S.,K,31,3
Calicotome villosa S.,K,31,2.6
Calicotome villosa S.,K,31,2.6
Calicotome villosa S.,NPK,31,6.1
Calicotome villosa S.,NPK,31,6.3
Calicotome villosa S.,NPK,31,7
Calicotome villosa S.,NPK,31,5
Calicotome villosa S.,NPK,31,5.5
Calicotome villosa S.,NPK,31,4
Calicotome villosa S.,NPK,31,3.1
Calicotome villosa S.,NPK,31,5.5
Calicotome villosa S.,PK,31,3.5
Calicotome villosa S.,PK,31,2
Calicotome villosa S.,PK,31,3.7
Calicotome villosa S.,PK,31,2.5
Calicotome villosa S.,PK,31,2
Calicotome villosa S.,PK,31,4
Calicotome villosa S.,PK,31,2.6
Calicotome villosa S.,PK,31,3.2
Calicotome villosa T.,K,31,3.2
Calicotome villosa T.,K,31,2.7
Calicotome villosa T.,K,31,4
Calicotome villosa T.,K,31,2.8
Calicotome villosa T.,K,31,2.8
Calicotome villosa T.,K,31,2.6
Calicotome villosa T.,K,31,2.5
Calicotome villosa T.,K,31,2.7
Calicotome villosa T.,NPK,31,4
Calicotome villosa T.,NPK,31,6
Calicotome villosa T.,NPK,31,4.6
Calicotome villosa T.,NPK,31,4.1
Calicotome villosa T.,NPK,31,2
Calicotome villosa T.,NPK,31,4.6
Calicotome villosa T.,NPK,31,6.3
Calicotome villosa T.,NPK,31,5.1
Calicotome villosa T.,PK,31,2.6
Calicotome villosa T.,PK,31,2.6
Calicotome villosa T.,PK,31,2.4
Calicotome villosa T.,PK,31,3.1
Calicotome villosa T.,PK,31,2.5
Calicotome villosa T.,PK,31,2.8
Calicotome villosa T.,PK,31,3
Calicotome villosa T.,PK,31,2
Calicotome villosa S.,K,34,3.1
Calicotome villosa S.,K,34,3.1
Calicotome villosa S.,K,34,3.3
Calicotome villosa S.,K,34,3.9
Calicotome villosa S.,K,34,2.8
Calicotome villosa S.,K,34,2.8
Calicotome villosa S.,K,34,3
Calicotome villosa S.,K,34,2.2
Calicotome villosa S.,NPK,34,6.5
Calicotome villosa S.,NPK,34,7.1
Calicotome villosa S.,NPK,34,7.3
Calicotome villosa S.,NPK,34,6.7
Calicotome villosa S.,NPK,34,4.9
Calicotome villosa S.,NPK,34,6
Calicotome villosa S.,NPK,34,4.3
Calicotome villosa S.,NPK,34,5.8
Calicotome villosa S.,PK,34,3.9
Calicotome villosa S.,PK,34,2.7
Calicotome villosa S.,PK,34,4.4
Calicotome villosa S.,PK,34,3
Calicotome villosa S.,PK,34,3.7
Calicotome villosa S.,PK,34,3.6
Calicotome villosa S.,PK,34,2
Calicotome villosa S.,PK,34,2.5
Calicotome villosa T.,K,34,2.4
Calicotome villosa T.,K,34,2.9
Calicotome villosa T.,K,34,1.6
Calicotome villosa T.,K,34,2.5
Calicotome villosa T.,K,34,2.6
Calicotome villosa T.,K,34,3
Calicotome villosa T.,K,34,4
Calicotome villosa T.,K,34,3
Calicotome villosa T.,NPK,34,2.6
Calicotome villosa T.,NPK,34,4
Calicotome villosa T.,NPK,34,6.3
Calicotome villosa T.,NPK,34,4.8
Calicotome villosa T.,NPK,34,5.3
Calicotome villosa T.,NPK,34,6.8
Calicotome villosa T.,NPK,34,5.6
Calicotome villosa T.,NPK,34,5
Calicotome villosa T.,PK,34,2.9
Calicotome villosa T.,PK,34,2.5
Calicotome villosa T.,PK,34,2.3
Calicotome villosa T.,PK,34,3
Calicotome villosa T.,PK,34,2.6
Calicotome villosa T.,PK,34,2.7
Calicotome villosa T.,PK,34,3.1
Calicotome villosa T.,PK,34,2.4
Calicotome villosa S.,K,38,2.7
Calicotome villosa S.,K,38,2.8
Calicotome villosa S.,K,38,2.8
Calicotome villosa S.,K,38,2.4
Calicotome villosa S.,K,38,3.8
Calicotome villosa S.,K,38,2.6
Calicotome villosa S.,K,38,2.9
Calicotome villosa S.,K,38,2.4
Calicotome villosa S.,NPK,38,7
Calicotome villosa S.,NPK,38,7.9
Calicotome villosa S.,NPK,38,8.2
Calicotome villosa S.,NPK,38,6
Calicotome villosa S.,NPK,38,4.5
Calicotome villosa S.,NPK,38,5
Calicotome villosa S.,NPK,38,7
Calicotome villosa S.,NPK,38,5
Calicotome villosa S.,PK,38,2.6
Calicotome villosa S.,PK,38,3.5
Calicotome villosa S.,PK,38,3.5
Calicotome villosa S.,PK,38,2.1
Calicotome villosa S.,PK,38,3.2
Calicotome villosa S.,PK,38,4.4
Calicotome villosa S.,PK,38,3.9
Calicotome villosa S.,PK,38,2.4
Calicotome villosa T.,K,38,3.2
Calicotome villosa T.,K,38,2.7
Calicotome villosa T.,K,38,3.8
Calicotome villosa T.,K,38,2.7
Calicotome villosa T.,K,38,2.9
Calicotome villosa T.,K,38,2.5
Calicotome villosa T.,K,38,2.4
Calicotome villosa T.,K,38,2.4
Calicotome villosa T.,NPK,38,2.8
Calicotome villosa T.,NPK,38,4.5
Calicotome villosa T.,NPK,38,7.2
Calicotome villosa T.,NPK,38,5.5
Calicotome villosa T.,NPK,38,5.5
Calicotome villosa T.,NPK,38,6
Calicotome villosa T.,NPK,38,7.4
Calicotome villosa T.,NPK,38,5.9
Calicotome villosa T.,PK,38,2.7
Calicotome villosa T.,PK,38,2.5
Calicotome villosa T.,PK,38,2.2
Calicotome villosa T.,PK,38,3
Calicotome villosa T.,PK,38,2.5
Calicotome villosa T.,PK,38,2.7
Calicotome villosa T.,PK,38,3
Calicotome villosa T.,PK,38,3.5
Anagyris foetida,K,54,9
Anagyris foetida,K,54,11
Anagyris foetida,K,54,9.5
Anagyris foetida,K,54,10.5
Anagyris foetida,K,54,9
Anagyris foetida,NPK,54,13
Anagyris foetida,NPK,54,20
Anagyris foetida,NPK,54,16
Anagyris foetida,NPK,54,17
Anagyris foetida,NPK,54,15.5
Anagyris foetida,PK,54,9.5
Anagyris foetida,PK,54,8.5
Anagyris foetida,PK,54,9.5
Anagyris foetida,PK,54,10
Anagyris foetida,PK,54,7.6
Ononis spinosa,K,54,10.5
Ononis spinosa,K,54,8
Ononis spinosa,K,54,9.5
Ononis spinosa,K,54,7
Ononis spinosa,K,54,6
Ononis spinosa,NPK,54,6.57
Ononis spinosa,NPK,54,9.27
Ononis spinosa,NPK,54,9
Ononis spinosa,NPK,54,8.1
Ononis spinosa,NPK,54,2.25
Ononis spinosa,PK,54,7.8
Ononis spinosa,PK,54,4.6
Ononis spinosa,PK,54,9.5
Ononis spinosa,PK,54,7.5
Ononis spinosa,PK,54,7.6
Spartium junceum,K,54,2.2
Spartium junceum,K,54,2
Spartium junceum,K,54,2
Spartium junceum,K,54,3.5
Spartium junceum,K,54,3
Spartium junceum,NPK,54,5.5
Spartium junceum,NPK,54,6.5
Spartium junceum,NPK,54,8.5
Spartium junceum,NPK,54,3
Spartium junceum,NPK,54,7
Spartium junceum,PK,54,4
Spartium junceum,PK,54,3.3
Spartium junceum,PK,54,3
Spartium junceum,PK,54,3
Spartium junceum,PK,54,3
Calicotome villosa S.,K,56,3.9
Calicotome villosa S.,K,56,4.5
Calicotome villosa S.,K,56,3.7
Calicotome villosa S.,K,56,2.7
Calicotome villosa S.,NPK,56,13.3
Calicotome villosa S.,NPK,56,15
Calicotome villosa S.,NPK,56,16.6
Calicotome villosa S.,NPK,56,14.1
Calicotome villosa S.,PK,56,5
Calicotome villosa S.,PK,56,4.1
Calicotome villosa S.,PK,56,5
Calicotome villosa S.,PK,56,5.3
Calicotome villosa T.,K,56,3.2
Calicotome villosa T.,K,56,4.1
Calicotome villosa T.,K,56,3.4
Calicotome villosa T.,K,56,3.1
Calicotome villosa T.,NPK,56,8.5
Calicotome villosa T.,NPK,56,13
Calicotome villosa T.,NPK,56,10.4
Calicotome villosa T.,NPK,56,14
Calicotome villosa T.,PK,56,3.5
Calicotome villosa T.,PK,56,2.6
Calicotome villosa T.,PK,56,2.9
Calicotome villosa T.,PK,56,5
Anagyris foetida,K,61,9.3
Anagyris foetida,K,61,11.5
Anagyris foetida,K,61,9.5
Anagyris foetida,K,61,10.4
Anagyris foetida,K,61,8.2
Anagyris foetida,NPK,61,14.5
Anagyris foetida,NPK,61,17
Anagyris foetida,NPK,61,23
Anagyris foetida,NPK,61,21
Anagyris foetida,NPK,61,19
Anagyris foetida,PK,61,7
Anagyris foetida,PK,61,10.2
Anagyris foetida,PK,61,8.5
Anagyris foetida,PK,61,9.5
Anagyris foetida,PK,61,10.2
Ononis spinosa,K,61,13.5
Ononis spinosa,K,61,8.9
Ononis spinosa,K,61,13
Ononis spinosa,K,61,8.5
Ononis spinosa,K,61,8.3
Ononis spinosa,NPK,61,15
Ononis spinosa,NPK,61,18
Ononis spinosa,NPK,61,17
Ononis spinosa,NPK,61,18
Ononis spinosa,NPK,61,19.5
Ononis spinosa,PK,61,8.2
Ononis spinosa,PK,61,7.3
Ononis spinosa,PK,61,10.3
Ononis spinosa,PK,61,10
Ononis spinosa,PK,61,9
Spartium junceum,K,61,2.5
Spartium junceum,K,61,2.5
Spartium junceum,K,61,4
Spartium junceum,K,61,3.5
Spartium junceum,K,61,2
Spartium junceum,NPK,61,5.8
Spartium junceum,NPK,61,7.9
Spartium junceum,NPK,61,11.5
Spartium junceum,NPK,61,9
Spartium junceum,NPK,61,13
Spartium junceum,PK,61,4.3
Spartium junceum,PK,61,4
Spartium junceum,PK,61,3.9
Spartium junceum,PK,61,4
Spartium junceum,PK,61,4.2
Calicotome villosa S.,K,62,3.7
Calicotome villosa S.,K,62,3.7
Calicotome villosa S.,K,62,4
Calicotome villosa S.,K,62,3.5
Calicotome villosa S.,K,62,5
Calicotome villosa S.,K,62,4.1
Calicotome villosa S.,K,62,3.5
Calicotome villosa S.,NPK,62,16.2
Calicotome villosa S.,NPK,62,18
Calicotome villosa S.,NPK,62,16
Calicotome villosa S.,NPK,62,11.5
Calicotome villosa S.,NPK,62,10.2
Calicotome villosa S.,NPK,62,12.6
Calicotome villosa S.,NPK,62,18
Calicotome villosa S.,NPK,62,15
Calicotome villosa S.,PK,62,5.5
Calicotome villosa S.,PK,62,4.5
Calicotome villosa S.,PK,62,3.4
Calicotome villosa S.,PK,62,5.5
