Species ,Treatment,Plant dry biomass (gr),Nodules dry biomass (gr),Root mass fraction (%),Plant fixation (µmole C2H4 h-1),%N leaf,,,,,,
Anagyris foetida,K,1.5565,0.0325,78,0,1.35,,,,,,
Anagyris foetida,K,1.6697,0.0557,74.5,0,1.23,,,,,,
Anagyris foetida,K,5.5331,0.1591,67.48,0.0331,1.88,,,,,,
Anagyris foetida,K,1.929,0.015,75.38,0.0008,1.29,,,,,,
Anagyris foetida,K,2.2828,0.0388,75.08,0.0048,1.69,,,,,,
Anagyris foetida,K,1.3262,0.0622,74.95,0.4033,1.78,,,,,,
Anagyris foetida,K,4.8542,0.1502,68.06,2.3698,2.28,,,,,,
Anagyris foetida,K,1.589,0.065,73.25,0.2092,1.71,,,,,,
Anagyris foetida,K,2.6622,0.0982,59.88,0.0905,2.3,,,,,,
Anagyris foetida,NPK,28.67,0,41.44,0,4.11,,,,,,
Anagyris foetida,NPK,15.54,0,56.82,0,3.68,,,,,,
Anagyris foetida,NPK,18.73,0,44.26,0,4.23,,,,,,
Anagyris foetida,NPK,14.09,0.01,63.09,0.0022,3.49,,,,,,
Anagyris foetida,NPK,22.4,0,47.81,0,3.72,,,,,,
Anagyris foetida,NPK,9.21,0.01,61.78,0,2.91,,,,,,
Anagyris foetida,NPK,28.61,0.01,48.79,0.0078,4,,,,,,
Anagyris foetida,NPK,17.1514,0.0014,59.12,0,3.4,,,,,,
Anagyris foetida,NPK,30.7019,0.0119,41.76,0,4.46,,,,,,
Anagyris foetida,NPK,30.8615,0.0015,39.37,0,4.32,,,,,,
Anagyris foetida,PK,1.6329,0.0689,71.28,0.01,1.82,,,,,,
Anagyris foetida,PK,1.8769,0.1229,54.56,0,2.92,,,,,,
Anagyris foetida,PK,2.727,0.123,58.09,0.0232,2.82,,,,,,
Anagyris foetida,PK,1.5541,0.0101,71.04,0.1437,1.42,,,,,,
Anagyris foetida,PK,1.2611,0.0471,70.1,0,1.21,,,,,,
Anagyris foetida,PK,3.4843,0.1803,61.25,0,2.13,,,,,,
Anagyris foetida,PK,4.1124,0.1084,70.13,0,1.6,,,,,,
Anagyris foetida,PK,2.6268,0.1028,61.82,0.8223,3.07,,,,,,
Anagyris foetida,PK,9.0474,0.5574,59.8,1.4188,2.06,,,,,,
Anagyris foetida,PK,7.4716,0.2876,65.77,0.003,2.54,,,,,,
Calicotome villosa S.,K,3.7138,0.0798,29.97,2.4442,2.19,,,,,,
Calicotome villosa S.,K,2.1134,0.0594,29.36,1.948,1.79,,,,,,
Calicotome villosa S.,K,2.1645,0.0505,26.8,4.0738,2.73,,,,,,
Calicotome villosa S.,K,5.0208,0.1868,29.39,0.0689,2.57,,,,,,
Calicotome villosa S.,K,3.6191,0.0951,36.51,1.7153,2.36,,,,,,
Calicotome villosa S.,K,6.9845,0.1105,25.99,1.8868,2.55,,,,,,
Calicotome villosa S.,K,8.4301,0.2461,34.19,1.3137,2.42,,,,,,
Calicotome villosa S.,K,4.0209,0.0969,25.69,0.771,1.91,,,,,,
Calicotome villosa S.,K,9.7529,0.1589,43.81,0.0529,2.13,,,,,,
Calicotome villosa S.,NPK,99.5682,0.0382,19.25,1.6635,3.5,,,,,,
Calicotome villosa S.,NPK,106.2289,0.0789,16.53,0.0042,4.1,,,,,,
Calicotome villosa S.,NPK,119.3325,0.0725,11.17,0.0796,3.95,,,,,,
Calicotome villosa S.,NPK,107.2522,0.0422,16.06,0.0366,3.37,,,,,,
Calicotome villosa S.,NPK,104.9878,0.0478,16.12,0.0479,3.2,,,,,,
Calicotome villosa S.,NPK,101.9602,0.1302,13.22,0.0033,3.93,,,,,,
Calicotome villosa S.,NPK,65.1485,0.0185,17.48,0,3.08,,,,,,
Calicotome villosa S.,NPK,126.8717,0.0317,18.52,4.3799,3.31,,,,,,
Calicotome villosa S.,NPK,53.935,0.025,11.56,0.0299,3.24,,,,,,
Calicotome villosa S.,PK,1.4175,0.0535,24.96,5.0437,2.91,,,,,,
Calicotome villosa S.,PK,1.2311,0.0471,24.51,3.8438,3.02,,,,,,
Calicotome villosa S.,PK,4.1061,0.2021,36.77,0.8655,2.5,,,,,,
Calicotome villosa S.,PK,1.4766,0.0126,35.73,0.0013,2.5,,,,,,
Calicotome villosa S.,PK,7.7152,0.3812,26.79,2.4372,NA,,,,,,
Calicotome villosa S.,PK,2.5881,0.0541,21.36,3.2638,3.11,,,,,,
Calicotome villosa T.,K,1.9824,0.0584,40.23,2.1515,2.05,,,,,,
Calicotome villosa T.,K,1.4447,0.0307,33.31,2.9904,2.82,,,,,,
Calicotome villosa T.,K,11.9077,0.3937,38.53,1.2253,2.64,,,,,,
Calicotome villosa T.,K,3.6477,0.1337,26.97,5.96,2.71,,,,,,
Calicotome villosa T.,K,5.0854,0.1214,26.36,2.9131,1.96,,,,,,
Calicotome villosa T.,K,4.7477,0.1437,28.84,4.3198,2.97,,,,,,
Calicotome villosa T.,K,4.5292,0.1652,21.04,4.148,2.08,,,,,,
Calicotome villosa T.,K,0.6942,0.0202,30.19,3.0668,2.43,,,,,,
Calicotome villosa T.,K,3.8183,0.1543,29.26,5.4963,2.48,,,,,,
Calicotome villosa T.,NPK,3.9787,0.0947,11.66,0.1401,4.18,,,,,,
