species,growthForm,dimensions,lambda,SurvivalV,SurvivalS,SurvivalEraw,RecruitV,RecruitS,RecruitEraw,GrowthTotV,GrowthTotS,GrowthTotEraw,TotElas,SurvivalE,RecruitE,GrowthTotE,kingdom,phylum,AngioGymnosperm,dicotMonocot,class,order,family,raunkier,clonality,Country,criteriaSize,criteriaStage,criteriaAge,criteria,temporalReplication,start,end,spatialReplication,ecoregion2
Silene acaulis,Herbaceous perennial,12,1.00948083,0.970493333,1.026591858,1,0.189903793,0.031680739,0.008010973,0.214731084,0.618199373,0.024023143,1.032034116,0.937920432,0.015524628,0.04655494,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Caryophyllaceae,Chamaephyte,Genet,USA,Rosette number & Major axis length,NA,Yes,S.A,2,1995,1996,5,Arctic
Carlina vulgaris,Herbaceous perennial,3,0.691870653,0.667,104.7634096,1,45.33333333,0.000764891,0.150353456,0.556,0.474353254,0.378299001,1.528652457,0.308341861,0.19671372,0.494944419,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,Ramet,SWE,Yes,Yes,NA,S.ST,1,1997,1997,8,Arctic
Geranium sylvaticum,Herbaceous perennial,8,1.005133002,0.859875,1.153904914,1,0.395689824,0.06015987,0.092004675,0.433329318,3.321871171,0.194210425,1.286215099,0.554949869,0.143062657,0.301987474,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Geraniales,Geraniaceae,Hemicryptophyte,Genet,FIN,Yes,NA,NA,S,2,2003,2004,3,Arctic
Saxifraga cotyledon,Herbaceous perennial,7,1.201039656,0.732681429,2.073306678,1,31.97523787,0.00479026,0.066934182,0.978269641,3.247225358,0.365137782,1.432071964,0.396577861,0.093478796,0.509943343,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Saxifragales,Saxifragaceae,Hemicryptophyte,Ramet,SWE,Yes,Based on size (Rosette height),NA,S,5,1992,1996,1,Arctic
Abies concolor,Tree,5,1.043540886,0.946,1.096060781,1,0.2558159,0.024279677,0.029759866,0.112309629,0.558219135,0.05733094,1.087090806,0.839772711,0.05475139,0.105475898,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Pinaceae,Megaphanerophyte,Genet,USA,DBH,NA,NA,S,22,1982,2003,15,Arctic
Agave marmorata,Succulent,12,0.921521129,0.749104167,1.207463388,1,4.141332854,0.056640977,0.048140803,0.298447989,0.81910209,0.109122167,1.15726297,0.728215671,0.083197691,0.188586638,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Asparagaceae,Nanophanerophyte,Genet,NA,Yes,Yes,NA,S.ST,3,2002,2004,2,Desert
Oenothera deltoides,Herbaceous perennial,4,0.87420239,0.609514,1.124200545,1,0.458606776,0.043260667,0.053045439,0.566914466,0.388395536,0.081040252,1.134085691,0.763535169,0.093547496,0.142917335,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Myrtales,Onagraceae,Hemicryptophyte,Genet,USA,Canopy volume,Based on size,NA,S,4,1997,2000,1,Desert
Lupinus tidestromii,Herbaceous perennial,4,0.918122061,0.703,1.378233807,1,0.279431896,0.226558678,0.140506013,0.936565897,0.469346356,0.191855144,1.332361157,0.501094496,0.210912803,0.2879927,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Chamaephyte,Genet,USA,NA,Yes,NA,ST,3,2005,2007,2,Desert
Carnegiea gigantea,Succulent,15,0.540559412,0.443711089,1.076301162,1,703383.2105,4.67E-008,0.000852816,0.071642295,4.66594404,0.003603276,1.004456093,0.991127352,0.001698066,0.007174582,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,Mesophanerophyte,Genet,NA,Height,Yes,NA,S.ST,NA,NA,NA,1,Desert
Prosopis laevigata,Tree,5,1.008361787,0.92356,1.02041687,1,0.020948167,0.331338054,0.01021715,0.255372888,0.163096457,0.010773137,1.020990287,0.958882494,0.020014197,0.021103309,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Mimosaceae,Mesophanerophyte,Genet,MEX,Height,Based on size,NA,S,NA,NA,NA,NA,Desert
