Grassland,Vegetation,Treatment,Taxa,Life form,SLA,P,C,N
G6,Short-grass,2Deer,Trifolium repens,Legume,181.8273775,0.252,44.2,6.08
G6,Short-grass,5Insect,Trifolium repens,Legume,263.4122222,0.197,42.4,5.46
G6,Short-grass,2Deer,Trifolium repens,Legume,194.8792517,0.198,42.3,5.33
G6,Short-grass,3Marmot,Trifolium repens,Legume,195.2559829,0.272,42.6,5.15
G6,Short-grass,1Control,Trifolium repens,Legume,163.0546392,0.198,42,4.97
G6,Short-grass,4Mouse,Trifolium repens,Legume,221.2243478,0.24,42.8,4.94
G6,Short-grass,3Marmot,Trifolium repens,Legume,189.2431611,0.199,41.7,4.67
G6,Short-grass,1Control,Trifolium repens,Legume,200.7936709,0.206,41.3,4.51
G1,Short-grass,5Insect,Lotus corniculatus,Legume,178.1032258,0.29,41.3,4.4
G6,Short-grass,4Mouse,Trifolium repens,Legume,238.7803077,0.229,42.6,4.51
G6,Short-grass,1Control,Lotus corniculatus,Legume,102.4601266,0.242,41.8,4.38
G3,Short-grass,3Marmot,Festuca rubra,Forb,130.475,0.149,41,4.25
G3,Short-grass,4Mouse,Lotus corniculatus,Legume,128.161126,0.171,42,4.28
G1,Short-grass,5Insect,Trifolium repens,Legume,290.5522759,0.408,41.2,4.15
G3,Short-grass,2Deer,Lotus corniculatus,Legume,132.2406977,0.2,40.9,4.05
G1,Short-grass,3Marmot,Lotus corniculatus,Legume,119.0913253,0.224,41.2,3.99
G1,Short-grass,1Control,Lotus corniculatus,Legume,107.8889381,0.231,40.4,3.88
G1,Short-grass,3Marmot,Trifolium repens,Legume,193.2091589,0.191,41.3,3.95
G3,Short-grass,5Insect,Lotus corniculatus,Legume,176.9937833,0.19,43.4,4.12
G2,Short-grass,5Insect,Festuca rubra,Forb,240.1533333,0.179,38.9,3.68
G1,Short-grass,1Control,Trifolium repens,Legume,151.3004098,0.195,40.5,3.82
G4,Short-grass,2Deer,Lotus corniculatus,Legume,105.9798851,0.167,41.2,3.87
G1,Short-grass,2Deer,Lotus corniculatus,Legume,129.3401055,0.226,41,3.83
G1,Short-grass,2Deer,Trifolium repens,Legume,176.4902655,0.236,40.8,3.79
G2,Short-grass,1Control,Lotus corniculatus,Legume,101.5516129,0.198,41.1,3.81
G5,Short-grass,1Control,Lotus corniculatus,Legume,89.18611825,0.218,42.3,3.91
G1,Short-grass,4Mouse,Trifolium repens,Legume,215.5767606,0.16,40.5,3.74
G6,Short-grass,1Control,Galium pumilum,Forb,203.4713793,0.244,42,3.84
G5,Short-grass,5Insect,Lotus corniculatus,Legume,143.7845946,0.189,41.8,3.79
G4,Short-grass,2Deer,Trifolium repens,Legume,187.9586022,0.126,41.2,3.72
G2,Short-grass,2Deer,Lotus corniculatus,Legume,147.4671875,0.193,39.9,3.6
