Reference,Plantform,Plantform2,Flush,Old.Plantspp,Plantspp,Family,Experiment,Biogeography,Trait,Traitclass,Traitmore,LRR,LRR_var
Aide.Londono.1989,tree,deciduous,synchronous,Gustavia.superba,Gustavia.superba,Lecythidaceae,field,tropics,physical,toughness,penetrometer,0.938269639,0.003161712
Aide.Londono.1989,tree,deciduous,synchronous,Gustavia.superba,Gustavia.superba,Lecythidaceae,field,tropics,nutrients,water,,-0.0189853,7.18E-05
Alves.etal.2007,tree,evergreen,asynchronous,Brugmansia.suaveolens,Brugmansia.suaveolens,Solanaceae,garden,subtropical,secondary.chemistry,alkaloids,tropane.alkaloids,-1.65882646,0.174753076
Amsellem.McKey.2006,tree,evergreen,asynchronous,Leonardoxa.africana,Leonardoxa.africana,Fabaceae,field,tropics,secondary.chemistry,phenolics,lignin,0.974387012,0.061141427
Amsellem.McKey.2006,tree,evergreen,asynchronous,Barteria.nigritana,Barteria.nigritana,Passifloraceae,field,tropics,secondary.chemistry,phenolics,lignin,0.5364146,0.000865849
Basset.1991,tree,evergreen,synchronous,Argyrodendron.actinophyllum,Argyrodendron.actinophyllum,Malvaceae,field,subtropical,nutrients,nitrogen,,-0.105360516,0.001658673
Basset.1991,tree,evergreen,synchronous,Argyrodendron.actinophyllum,Argyrodendron.actinophyllum,Malvaceae,field,subtropical,nutrients,water,,-0.210588697,0.000114958
Basset.1991,tree,evergreen,synchronous,Argyrodendron.actinophyllum,Argyrodendron.actinophyllum,Malvaceae,field,subtropical,physical,toughness,LMA,0.402002329,0.001314346
BrenesArguedes.etal.2006,tree,evergreen,synchronous,Inga.goldmanii,Inga.goldmanii,Fabaceae,field,tropics,secondary.chemistry,phenolics,flavonoids,-0.579818495,0.052318367
BrenesArguedes.etal.2006,tree,evergreen,synchronous,Inga.umbellifera,Inga.umbellifera,Fabaceae,field,tropics,secondary.chemistry,phenolics,flavonoids,-1.178654996,0.028938609
BrenesArguedes.etal.2006,tree,evergreen,synchronous,Inga.goldmanii,Inga.goldmanii,Fabaceae,field,tropics,nutrients,water,,-0.048790164,0.004308758
BrenesArguedes.etal.2006,tree,evergreen,synchronous,Inga.umbellifera,Inga.umbellifera,Fabaceae,field,tropics,nutrients,water,,-0.230523659,0.003951085
Brunt.etal.2006,tree,evergreen,synchronous,Nothofagus.moorei,Nothofagus.moorei,Nothofagaceae,greenhouse,temperate,physical,toughness,penetrometer,2.375333684,0.181935236
Brunt.etal.2006,tree,deciduous,synchronous,Toona.ciliata,Toona.ciliata,Meliaceae,greenhouse,subtropical,physical,toughness,penetrometer,0.880358723,0.092853488
Brunt.etal.2006,tree,deciduous,synchronous,Toona.ciliata,Toona.ciliata,Meliaceae,greenhouse,subtropical,secondary.chemistry,phenolics,phenolics,0.172534236,0.108866972
Brunt.etal.2006,tree,evergreen,synchronous,Nothofagus.moorei,Nothofagus.moorei,Nothofagaceae,greenhouse,temperate,nutrients,nitrogen,,-1.2523799,0.044120514
Brunt.etal.2006,tree,deciduous,synchronous,Toona.ciliata,Toona.ciliata,Meliaceae,greenhouse,subtropical,nutrients,nitrogen,,-0.407161985,0.031255926
Brunt.etal.2006,tree,evergreen,synchronous,Nothofagus.moorei,Nothofagus.moorei,Nothofagaceae,greenhouse,temperate,secondary.chemistry,phenolics,phenolics,-1.177540027,0.012226763
Brunt.etal.2006,tree,evergreen,synchronous,Nothofagus.moorei,Nothofagus.moorei,Nothofagaceae,greenhouse,temperate,nutrients,water,,-0.342194763,0.002078438
Brunt.etal.2006,tree,deciduous,synchronous,Toona.ciliata,Toona.ciliata,Meliaceae,greenhouse,subtropical,nutrients,water,,-0.11921492,0.001266732
Calvo.Molina.2005,tree,evergreen,asynchronous,Citrus.reticulata,Citrus.reticulata,Rutaceae,garden,temperate,physical,toughness,LMA,0.207639365,0.000886563
Calvo.Molina.2005,tree,evergreen,asynchronous,Citrus.reticulata,Citrus.reticulata,Rutaceae,garden,temperate,secondary.chemistry,phenolics,phenolics,0.092523369,0.01995262
Calvo.Molina.2005,tree,evergreen,asynchronous,Citrus.reticulata,Citrus.reticulata,Rutaceae,garden,temperate,nutrients,nitrogen,,-0.177548278,0.000658147
Calvo.Molina.2005,tree,evergreen,asynchronous,Citrus.reticulata,Citrus.reticulata,Rutaceae,garden,temperate,nutrients,water,,-0.176296661,0.003680527
Chen.Poland.2009,tree,deciduous,synchronous,Fraxinus.pennsylvanica,Fraxinus.pennsylvanica,Oleaceae,greenhouse,temperate,secondary.chemistry,defensive.proteins,defensive.proteins,-0.515466003,0.097113304
Chen.Poland.2009,tree,deciduous,synchronous,Fraxinus.pennsylvanica,Fraxinus.pennsylvanica,Oleaceae,greenhouse,temperate,nutrients,nitrogen,,0.051825068,0.007757986
Chen.Poland.2009,tree,deciduous,synchronous,Fraxinus.pennsylvanica,Fraxinus.pennsylvanica,Oleaceae,greenhouse,temperate,secondary.chemistry,defensive.proteins,defensive.proteins,-0.274753001,0.075028936
Chen.Poland.2009,tree,deciduous,synchronous,Fraxinus.pennsylvanica,Fraxinus.pennsylvanica,Oleaceae,greenhouse,temperate,secondary.chemistry,phenolics,phenolics,-0.48088887,0.016516315
Close.etal.2005,tree,evergreen,asynchronous,Eucalyptus.nitens,Eucalyptus.nitens,Myrtaceae,garden,temperate,secondary.chemistry,terpenes,monoterpenes,-1.621099008,0.014142789
Close.etal.2005,tree,evergreen,asynchronous,Eucalyptus.nitens,Eucalyptus.nitens,Myrtaceae,garden,temperate,nutrients,nitrogen,,-0.047252885,0.028420451
Close.etal.2005,tree,evergreen,asynchronous,Eucalyptus.nitens,Eucalyptus.nitens,Myrtaceae,garden,temperate,secondary.chemistry,phenolics,flavonoids,-0.08767739,0.018859231
Close.etal.2005,tree,evergreen,asynchronous,Eucalyptus.nitens,Eucalyptus.nitens,Myrtaceae,garden,temperate,secondary.chemistry,phenolics,gallotannins,-0.288825964,0.01589951
Cornelissen.Fernandes.2001,shrub,deciduous,synchronous,Bauhinia.brevipes,Bauhinia.brevipes,Fabaceae,field,tropics,secondary.chemistry,phenolics,tannins,0.365011743,0.019995256
Denno.etal.1990,tree,deciduous,asynchronous,Salix.viminalis,Salix.viminalis,Salicaceae,garden,boreal,physical,toughness,penetrometer,0.250597735,0.027369668
Denno.etal.1990,tree,deciduous,asynchronous,Salix.dasyclados,Salix.gmelinii,Salicaceae,garden,boreal,physical,toughness,penetrometer,0.407179452,0.025623115
Denno.etal.1990,tree,deciduous,asynchronous,Salix.fragilis,Salix.fragilis,Salicaceae,garden,boreal,physical,toughness,penetrometer,0.615610107,0.006526998
Gleadow.etal.1998,tree,evergreen,asynchronous,Eucalyptus.cladocalyx,Eucalyptus.cladocalyx,Myrtaceae,greenhouse,subtropical,nutrients,nitrogen,,-0.08497056,0.004105799
Gleadow.etal.1998,tree,evergreen,asynchronous,Eucalyptus.cladocalyx,Eucalyptus.cladocalyx,Myrtaceae,greenhouse,subtropical,secondary.chemistry,cyanogenesis,cyanogenesis,-0.254424851,0.017761005
Gleadow.Woodrow.2000,tree,evergreen,asynchronous,Eucalyptus.cladocalyx,Eucalyptus.cladocalyx,Myrtaceae,field,temperate,secondary.chemistry,cyanogenesis,cyanogenesis,1.353019572,0.017493323
Gleadow.Woodrow.2000,tree,evergreen,asynchronous,Eucalyptus.cladocalyx,Eucalyptus.cladocalyx,Myrtaceae,field,temperate,nutrients,nitrogen,,-0.454716467,0.005816145
Gould.etal.2007,tree,deciduous,synchronous,Populus.deltoides,Populus.deltoides,Salicaceae,greenhouse,temperate,secondary.chemistry,phenolics,phenolic.glycosides,0,0.3125
Gould.etal.2007,tree,deciduous,synchronous,Populus.deltoides,Populus.deltoides,Salicaceae,greenhouse,temperate,secondary.chemistry,phenolics,lignin,0.187234445,0.019672491
Jackson.etal.1999,shrub,deciduous,synchronous,Euonymus.europaeus,Euonymus.europaeus,Celastraceae,field,temperate,physical,toughness,LMA,0.740104164,0.005728266
Jackson.etal.1999,shrub,deciduous,asynchronous,Rosa.canina,Rosa.canina,Rosaceae,field,temperate,physical,toughness,LMA,0.660990069,0.00401525
Jackson.etal.1999,shrub,deciduous,asynchronous,Prunus.spinosa,Prunus.spinosa,Rosaceae,field,temperate,physical,toughness,LMA,0.729413359,0.002490112
Jackson.etal.1999,shrub,deciduous,asynchronous,Ligustrum.vulgare,Ligustrum.vulgare,Oleaceae,field,temperate,physical,toughness,LMA,0.736912209,0.002775598
Jackson.etal.1999,shrub,deciduous,asynchronous,Cornus.sanguinea,Cornus.sanguinea,Cornaceae,field,temperate,physical,toughness,LMA,0.67242105,0.004444553
Jackson.etal.1999,shrub,deciduous,asynchronous,Ligustrum.vulgare,Ligustrum.vulgare,Oleaceae,field,temperate,nutrients,nitrogen,,0.009901071,0.002444421
Jackson.etal.1999,shrub,deciduous,asynchronous,Rosa.canina,Rosa.canina,Rosaceae,field,temperate,nutrients,nitrogen,,0.045256592,0.00372909
Jackson.etal.1999,shrub,deciduous,asynchronous,Cornus.sanguinea,Cornus.sanguinea,Cornaceae,field,temperate,nutrients,nitrogen,,-0.047320656,0.004930136
Jackson.etal.1999,shrub,deciduous,asynchronous,Prunus.spinosa,Prunus.spinosa,Rosaceae,field,temperate,nutrients,nitrogen,,0.201394808,0.002571011
Jackson.etal.1999,shrub,deciduous,synchronous,Euonymus.europaeus,Euonymus.europaeus,Celastraceae,field,temperate,nutrients,nitrogen,,-0.028170877,0.00544897
Jackson.etal.1999,shrub,deciduous,asynchronous,Ligustrum.vulgare,Ligustrum.vulgare,Oleaceae,field,temperate,nutrients,water,,0.060724149,0.000508681
