PLOT_TYPE,NAME,COMMON_NAME,SITE,PLOT,X__INDIV,DBH__CM_,BASAL_AREA_M2,INDIV_TREE_BA_M2,BA_PER_HA_M2,NUM_INDIV_PER_HA,TALLY_OUT_AVG,PERCENT_COVER
herb,Cyrtandra sp.,,BRY,1,,,,,,,7.25,8.951
herb,Dioscorea pentaphylla ,(tri-lobe),BRY,1,,,,,,,4.25,5.247
herb,leaf litter,,BRY,1,,,,,,,27.75,34.259
herb,moss,,BRY,1,,,,,,,3.75,4.63
herb,Nephrolepis multiflora ,(Nephrolepis multiflora ,BRY,1,,,,,,,11.50,14.198
herb,Oplismenus hirtellus ,(basket grass),BRY,1,,,,,,,26.50,32.716
herb,bare ground,,BRY,2,,,,,,,0.75,.926
herb,Freycinetia arborea ,('ie'ie),BRY,2,,,,,,,5.25,6.481
herb,leaf litter,,BRY,2,,,,,,,37.25,45.988
herb,lichen,,BRY,2,,,,,,,0.75,.926
herb,Melastoma candidum,,BRY,2,,,,,,,6.75,8.333
herb,moss,,BRY,2,,,,,,,13.75,16.975
herb,Nephrolepis multiflora ,(Nephrolepis multiflora ,BRY,2,,,,,,,12.00,14.815
herb,Oplismenus hirtellus ,(basket grass),BRY,2,,,,,,,1.25,1.543
herb,Psidium cattleianum ,(strawberry guava),BRY,2,,,,,,,3.25,4.012
herb,Freycinetia arborea ,('ie'ie),BRY,3,,,,,,,0.50,.617
herb,leaf litter,,BRY,3,,,,,,,30.00,37.037
herb,Melastoma candidum,,BRY,3,,,,,,,1.75,2.16
herb,moss,,BRY,3,,,,,,,14.50,17.901
herb,Nephrolepis multiflora ,(Nephrolepis multiflora ,BRY,3,,,,,,,20.00,24.691
herb,Ophioderma pendulum ,(adder's tongue),BRY,3,,,,,,,0.25,.309
herb,Oplismenus hirtellus ,(basket grass),BRY,3,,,,,,,11.50,14.198
herb,Psidium cattleianum ,(strawberry guava),BRY,3,,,,,,,2.50,3.086
herb,Dicranopteris linearis ,(uluhe),BRY,4,,,,,,,47.25,58.333
herb,leaf litter,,BRY,4,,,,,,,19.25,23.765
herb,Melastoma candidum,,BRY,4,,,,,,,14.25,17.593
herb,Ophioderma pendulum ,(adder's tongue),BRY,4,,,,,,,0.25,.309
herb,Cibotium glaucum ,(hapu'u pulu),BRY,5,,,,,,,1.25,1.543
herb,Cibotium menziesii ,(hapu'u i'i),BRY,5,,,,,,,2.25,2.778
herb,Dioscorea pentaphylla ,(tri-lobe),BRY,5,,,,,,,0.75,.926
herb,Freycinetia arborea ,('ie'ie),BRY,5,,,,,,,1.50,1.852
herb,leaf litter,,BRY,5,,,,,,,33.50,41.358
herb,Melastoma candidum,,BRY,5,,,,,,,1.25,1.543
herb,moss,,BRY,5,,,,,,,12.00,14.815
herb,Nephrolepis multiflora ,(Nephrolepis multiflora ,BRY,5,,,,,,,12.00,14.815
herb,Oplismenus hirtellus ,(basket grass),BRY,5,,,,,,,15.50,19.136
herb,Spathoglottis plicata ,(Philippine ground orchid),BRY,5,,,,,,,1.00,1.235
herb,bare ground,,BRY,6,,,,,,,0.50,.617
herb,Cibotium glaucum ,(hapu'u pulu),BRY,6,,,,,,,3.25,4.012
herb,Cibotium menziesii ,(hapu'u i'i),BRY,6,,,,,,,9.75,12.037
herb,Dioscorea pentaphylla ,(tri-lobe),BRY,6,,,,,,,0.75,.926
herb,Freycinetia arborea ,('ie'ie),BRY,6,,,,,,,0.25,.309
herb,leaf litter,,BRY,6,,,,,,,40.50,50.0
herb,Melastoma candidum,,BRY,6,,,,,,,0.25,.309
