plot.code,block,plot,spac,div,Unique.ID,plot_x,plot_y,species,fam,Mort.april 11,Mort.sept 11,Mort. april 12,Mort. Aug 12,Mort.Jan 13,Mort. July 13,aspect,slope,planter,Days of sun,wood.density,forest dist,Surv.0.to.4.months,Surv.4.to.9.months,Surv.4.to.16.months,Surv.9.to.16.months,Surv.9.to.31.months,Surv.16.to.31.months,Surv.at.apri.11,Surv.at.sept.11,Surv.at.april.12,Surv.at.aug.12,Surv.at.jan.13,Surv.at.july.13
B1P1,1,1a,2,2,"5,5",13,13,ND,laur,1,1,0,0,0,0,N,40,All,1,0.498,30.78061728,1,1,0,0,0,NA,1,1,0,NA,NA,NA
B1P1,1,1a,2,2,"5,6",13,16,ND,laur,1,1,1,1,0,0,N,40,All,1,0.498,30.78061728,1,1,1,1,0,0,1,1,1,1,0,NA
B1P1,1,1a,2,2,"5,7",13,19,CA,sapin,0,0,0,0,0,0,N,40,All,1,0.607,30.78061728,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
B1P1,1,1a,2,2,"5,8",13,22,CS,protea,0,0,0,0,0,0,N,40,All,1,0.464,30.78061728,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
B1P1,1,1a,2,2,"5,9",13,25,CS,protea,1,1,1,1,1,1,N,40,All,1,0.464,30.78061728,1,1,1,1,1,1,1,1,1,1,1,1
B1P1,1,1a,2,2,"5,10",13,28,CA,sapin,1,1,0,0,0,0,N,40,All,1,0.607,30.78061728,1,1,0,0,0,NA,1,1,0,NA,NA,NA
B1P1,1,1a,2,2,"5,11",13,31,CS,protea,1,1,1,1,1,1,N,40,All,1,0.464,30.78061728,1,1,1,1,1,1,1,1,1,1,1,1
B1P1,1,1a,2,2,"5,12",13,34,CA,sapin,1,1,1,1,1,1,N,40,All,1,0.607,30.78061728,1,1,1,1,1,1,1,1,1,1,1,1
B1P1,1,1a,2,2,"5,13",13,37,FS,mor,1,1,1,1,1,1,N,40,All,1,0.421,30.78061728,1,1,1,1,1,1,1,1,1,1,1,1
B1P1,1,1a,2,2,"6,5",16,13,CS,protea,1,1,1,1,1,1,N,40,All,1,0.464,30.78061728,1,1,1,1,1,1,1,1,1,1,1,1
