species,wood density,Maximum tree height (m),Seed mass,Successional stage,dispersal vector
AA,0.551,27,89,Late secondary,animal
AR,0.676,40,551.331,Mature,animal
CA,0.607,45,2765,Late secondary,animal
CO,0.474,35,7650,Mature,animal
CS,0.464,35,582,Late secondary,animal
DF,0.517,30,385,Early,wind
ES,0.68,30,5600,Mature,animal
FB,0.481,35,93,Late secondary,wind
FC,0.381,6,0.32,Early,animal
FD,0.42,40,0.4,Mature,animal
FO,0.521,50,0.44,Mature,animal
FS,0.421,15,0.21,Early,animal
GA,0.607,20,33,Early,animal
GL,0.536,15,49,Early,animal
LF,0.839,25,25,Late secondary,wind
LL,0.421,30,600,Late secondary,animal
ME,0.524,35,1.61,Early,animal
MJ,0.516,35,7.7,Early,animal
ML,0.697,20,59,Late secondary,animal
ND,0.498,15,146,Early,animal
RS,0.839,10,30,Early,animal
SC,0.672,30,11307,Mature,animal
SK,0.581,35,5321.3,Mature,animal
SL,0.607,40,54,Mature,animal
SS,0.646,35,20.2,Mature,wind
