Experiment,Duck ID,Date of experiment,Plant species,No. seeds fed,Faeces collection time (hours post-feeding),No. seeds passed
1,1,10/22/2013,Echinochloa crus-galli,100,4,21
1,1,10/22/2013,Echinochloa crus-galli,100,7,0
1,1,10/22/2013,Echinochloa crus-galli,100,21,0
1,1,10/22/2013,Echinochloa crus-galli,100,31,0
1,1,10/22/2013,Echinochloa crus-galli,100,45,0
1,1,10/22/2013,Elatine hungarica,100,4,19
1,1,10/22/2013,Elatine hungarica,100,7,0
1,1,10/22/2013,Elatine hungarica,100,21,0
1,1,10/22/2013,Elatine hungarica,100,31,0
1,1,10/22/2013,Elatine hungarica,100,45,0
1,1,10/22/2013,Cyperus flavescens,100,4,64
1,1,10/22/2013,Cyperus flavescens,100,7,1
1,1,10/22/2013,Cyperus flavescens,100,21,2
1,1,10/22/2013,Cyperus flavescens,100,31,0
1,1,10/22/2013,Cyperus flavescens,100,45,0
1,1,10/22/2013,Cirsium brachycephalum,92,4,11
1,1,10/22/2013,Cirsium brachycephalum,92,7,2
1,1,10/22/2013,Cirsium brachycephalum,92,21,0
1,1,10/22/2013,Cirsium brachycephalum,92,31,0
1,1,10/22/2013,Cirsium brachycephalum,92,45,0
1,1,10/22/2013,Angelica palustris,75,4,1
1,1,10/22/2013,Angelica palustris,75,7,1
1,1,10/22/2013,Angelica palustris,75,21,0
1,1,10/22/2013,Angelica palustris,75,31,0
1,1,10/22/2013,Angelica palustris,75,45,0
1,1,10/22/2013,Glycirrhiza echinata,50,4,4
1,1,10/22/2013,Glycirrhiza echinata,50,7,0
1,1,10/22/2013,Glycirrhiza echinata,50,21,0
1,1,10/22/2013,Glycirrhiza echinata,50,31,0
1,1,10/22/2013,Glycirrhiza echinata,50,45,0
1,1,10/22/2013,Lychnis coronaria,94,4,0
1,1,10/22/2013,Lychnis coronaria,94,7,3
1,1,10/22/2013,Lychnis coronaria,94,21,0
1,1,10/22/2013,Lychnis coronaria,94,31,0
1,1,10/22/2013,Lychnis coronaria,94,45,0
1,1,10/22/2013,Cuscuta lupuliformis,96,4,43
1,1,10/22/2013,Cuscuta lupuliformis,96,7,3
1,1,10/22/2013,Cuscuta lupuliformis,96,21,2
1,1,10/22/2013,Cuscuta lupuliformis,96,31,0
1,1,10/22/2013,Cuscuta lupuliformis,96,45,0
1,1,10/22/2013,Allium angulosum,100,4,45
1,1,10/22/2013,Allium angulosum,100,7,1
1,1,10/22/2013,Allium angulosum,100,21,1
1,1,10/22/2013,Allium angulosum,100,31,0
1,1,10/22/2013,Allium angulosum,100,45,0
1,1,10/22/2013,Astragalus contortuplicatus,100,4,78
1,1,10/22/2013,Astragalus contortuplicatus,100,7,8
1,1,10/22/2013,Astragalus contortuplicatus,100,21,0
1,1,10/22/2013,Astragalus contortuplicatus,100,31,0
