"Species","length","width","height","volume","thousand_seedmass","dry_load","wet_load","ratio_water_permeability","shape_dry","shape_wet"
"Cirsium brachycephalum",2.3576,0.9614,0.7462,1.7034977,0.735,0.69559387,0.4715021667,1.2345536321,1.2345536321,0.0817182022
"Sparganium erectum",8.8666,5.2532,4.28,202.33944562,39.831,13.2150754,13.2354453,1.2148222448,0.0481113667,0.0520750512
"Glycyrrhiza echinata",3.5756,2.6842,1.9682,18.91443712,11.737,5.5242044,11.713574,1.0585938441,0.0346725686,0.0332022479
"Echinochloa crus-galli",2.748,1.4452,0.9872,3.98207318,1.886,0.5821104222,1.264017482,1.1908900365,1.1908900365,0.1658043587
"Allium angulosum",1.9212,1.2794,0.9472,2.32793296,1.271,2.8945191,2.39193036,1.1863397585,0.0455893751,0.0426062802
"Bolboschoenus planiculmis",3.276,2.0254,0.9308,6.19166164,2.749,3.5123214,6.6157928889,1.1550044101,0.0699235351,0.0675829239
"Angelica palustris",4.3412,2.3896,0.5656,5.97851556,1.746,2.2042683,1.6694786,1.5640868223,0.120559309,0.1091081562
"Cuscuta lupuliformis",2.4286,2.0034,1.5302,7.69004164,5.667,7.45973771,13.92065519,1.0708616849,1.0708616849,0.0242558614
"Lychnis coronaria",0.9406,0.8016,0.6884,0.52422234,0.421,0.9959064222,0.7317196,1.1855154754,0.0197266863,0.0189104855
"Cyperus flavescens",0.329,0.251,0.1786,0.01594568,0.079,0.176237983,0.1686097791,1.1789201182,1.1789201182,0.0439097462
"Astragalus contortuplicatus",0.9956,0.8182,0.5108,0.41692804,0.331,1.62776348,1.69526566,1.1008871101,0.0500801969,0.0503592746
"Elatine hungarica",0.4498,0.3446,0.2002,0.03111414,0.008,0.0648273425,0.0524533533,1.1160625096,0.0597686927,0.058514369
"Elatine hydropiper",0.5562,0.3486,0.149,0.02875528,0.017,0.0446660623,0.0507911908,1.057094947,0.0594319325,0.058825201
