site,Leaf_N_g/kg,Leaf_P_g/kg,NPP_kgCm-2y-1,Mean_annual_temperature_°„C,Thornthwaite_moisture_index,Soil_total_N_Concentration_g/kg,Soil_total_P_Concentration_g/kg,Type
AH001,15.90908074,1.040428554,0.738575,14.8526625,52.9977417,1.15069855,NA,Shrub community
AH002,16.30882196,0.777574533,0.5223,15.0731,56.15746307,0.9779799,NA,Shrub community
AH003,19.32834731,1.356438095,0.59385,13.85213917,81.50164795,0.75879805,NA,Shrub community
AH004,17.31811561,0.841192286,NA,15.0103175,63.96973801,1.01406803,NA,Shrub community
AH005,18.71556371,1.579516834,0.5659,12.93058733,97.26485443,1.18952004,NA,Shrub community
AH006,17.36129287,0.972608917,0.595225,14.60468917,72.49729156,1.30302656,NA,Shrub community
AH007,15.04811545,0.812852825,0.624775,14.6389525,72.56061554,1.07343664,NA,Shrub community
AH008,17.95570051,1.037258991,0.7448,14.90926167,57.13474274,0.58632505,NA,Shrub community
AH009,13.46489171,0.877864696,0.34825,16.35392833,62.43828964,1.10485257,0.55675545,Shrub community
AH010,21.43830686,1.078107613,0.54255,15.668805,78.69109344,2.79517731,0.56448825,Shrub community
AH011,16.13783436,1.011504033,0.6058,14.718,91.36557007,3.27534963,0.73479682,Shrub community
AH012,16.51967144,1.017858256,0.59005,15.409925,73.91057587,1.2250351,0.24560209,Shrub community
AH013,15.47376385,0.743746577,0.71205,15.43489917,59.42469025,1.03867987,0.19069488,Shrub community
AH014,16.77928031,0.897351716,0.51025,15.37989333,53.43300629,0.73830233,0.19135442,Shrub community
AH015,18.40429343,1.10111692,0.674,14.98768583,106.311348,0.6145442,0.18650388,Shrub community
AH016,12.96194346,0.755618476,0.592175,15.37598167,102.6195831,1.78979009,0.37643493,Shrub community
AH017,14.14926758,0.892586653,0.737525,15.88036667,103.9579315,2.14494187,0.50399719,Shrub community
AH018,15.8579512,1.236542578,0.5977,15.8913375,105.7482834,1.38085508,0.26763092,Shrub community
AH019,16.67398051,0.8903403,0.6133,15.87713917,102.5791245,3.41648767,0.59924491,Shrub community
AH020,11.42876105,0.792674652,0.72905,15.81294333,86.11373138,3.28752177,0.88782925,Shrub community
BJ001,21.96008474,1.282546453,0.3649,9.91005,-28.92193413,0.27580427,NA,Shrub community
BJ002,19.36560723,1.117035685,0.3649,9.716525,-28.01046753,0.73747406,NA,Shrub community
BJ003,22.30688294,1.303688212,0.458025,6.67849425,-19.36160278,0.5585383,0.61724296,Shrub community
BJ004,16.30142053,0.931887301,0.458025,6.67849425,-19.36160278,0.57296139,0.60158943,Shrub community
BJ009,23.99366951,1.404088895,0.458025,6.67849425,-19.36179161,1.86521892,2.68541649,Shrub community
BJ010,21.31001512,1.36033165,0.359525,9.264856667,-24.56141281,0.61770099,0.46879487,Shrub community
CQ001,8.475648615,0.537627528,0.56715,10.76927653,131.3039856,0.90333193,0.19888641,Shrub community
CQ002,12.45005196,0.699322562,0.591025,15.52690083,58.38409424,4.12590429,0.4107775,Shrub community
CQ003,6.363438524,0.479938608,0.58345,14.40992083,73.25308228,2.95926698,0.61113421,Shrub community
CQ004,13.37168698,1.309097386,0.4328,17.341955,34.16307831,2.02611472,0.52559171,Shrub community
CQ005,10.27681379,0.744029386,0.389825,18.70716167,14.42617989,2.16856566,0.44744846,Shrub community
CQ006,5.432565918,0.36537709,0.401925,13.7461175,60.88156891,2.46055943,0.3774096,Shrub community
CQ007,9.574615971,0.82997166,0.49925,14.54164417,50.91347504,1.81981237,0.80001423,Shrub community
CQ008,19.39888166,1.79304037,0.47345,17.39316417,20.29213715,0.5631878,0.40781114,Shrub community
CQ009,30.7644476,3.186206638,0.39595,16.77774167,28.21455002,0.57215623,0.24388954,Shrub community
CQ010,12.60320107,0.966923564,0.54555,16.93732,21.85222054,0.98574323,0.38010552,Shrub community
CQ011,10.46951646,0.74603738,0.43755,16.55325917,38.59335709,0.52694787,0.18956488,Shrub community
CQ012,19.32415157,1.478554803,0.519625,14.94182917,52.59751511,1.31684827,0.43623043,Shrub community
CQ013,24.06588978,1.236866975,0.923475,10.56655392,98.55493927,1.50371755,0.4551054,Shrub community
CQ014,24.71739189,1.600712126,0.483175,13.17864833,64.82803345,1.70789922,0.46052599,Shrub community
CQ015,9.824302364,0.426090965,0.686375,14.051865,49.50619125,1.15613714,0.31409894,Shrub community
CQ016,8.494252471,0.461826929,NA,16.49023917,34.17294312,0.82996865,0.2837545,Shrub community
CQ017,10.54707065,1.216861609,0.6789,14.3107475,59.92601776,1.13262625,0.54427282,Shrub community
CQ018,7.559870741,1.10499248,0.718875,13.73138,73.01117706,0.91615029,0.53023839,Shrub community
CQ019,14.89879215,1.02244947,0.5884,15.93887583,41.24636078,2.22532867,0.30894813,Shrub community
CQ020,11.84022753,0.947210524,0.771175,15.00442333,48.42808914,0.50260112,0.53588559,Shrub community
CQ021,13.28134352,1.332482301,0.54265,10.43945417,113.7075348,1.22598396,0.45971516,Shrub community
CQ022,4.886447219,0.891117517,0.912775,10.78664942,101.2572403,1.0437263,0.41808979,Shrub community
